ClassName,ID,a,b,c,d,f,g,h,i,j,k
PCA4,R6.3.0(1),PCA4,R6.3.0(1),PCA4,R6.3.0(1),PCA4,R6.3.0(1),PCA4,R6.3.0(1),PCA4,R6.3.0(1)
PCA4,R6.3.0(8),PCA4,R6.3.0(8),PCA4,R6.3.0(8),PCA4,R6.3.0(8),PCA4,R6.3.0(8),PCA4,R6.3.0(8)
PCA4,R6.4.0(6),PCA4,R6.4.0(6),PCA4,R6.4.0(6),PCA4,R6.4.0(6),PCA4,R6.4.0(6),PCA4,R6.4.0(6)
PCA7,R5.9.0(1),PCA7,R5.9.0(1),PCA7,R5.9.0(1),PCA7,R5.9.0(1),PCA7,R5.9.0(1),PCA7,R5.9.0(1)
PCA9,R6.1.0(1),PCA9,R6.1.0(1),PCA9,R6.1.0(1),PCA9,R6.1.0(1),PCA9,R6.1.0(1),PCA9,R6.1.0(1)
PCA11,R5.9.0(6),PCA11,R5.9.0(6),PCA11,R5.9.0(6),PCA11,R5.9.0(6),PCA11,R5.9.0(6),PCA11,R5.9.0(6)
PCA13,R5.6.0(8),PCA13,R5.6.0(8),PCA13,R5.6.0(8),PCA13,R5.6.0(8),PCA13,R5.6.0(8),PCA13,R5.6.0(8)
PCA14,R6.4.0(1),PCA14,R6.4.0(1),PCA14,R6.4.0(1),PCA14,R6.4.0(1),PCA14,R6.4.0(1),PCA14,R6.4.0(1)
PCA17,R5.8.0(9),PCA17,R5.8.0(9),PCA17,R5.8.0(9),PCA17,R5.8.0(9),PCA17,R5.8.0(9),PCA17,R5.8.0(9)
PCA18,R6.4.0(6),PCA18,R6.4.0(6),PCA18,R6.4.0(6),PCA18,R6.4.0(6),PCA18,R6.4.0(6),PCA18,R6.4.0(6)
PCA18,R5.6.0(8),PCA18,R5.6.0(8),PCA18,R5.6.0(8),PCA18,R5.6.0(8),PCA18,R5.6.0(8),PCA18,R5.6.0(8)
PCA18,R6.1.0(1),PCA18,R6.1.0(1),PCA18,R6.1.0(1),PCA18,R6.1.0(1),PCA18,R6.1.0(1),PCA18,R6.1.0(1)
PCA19,R5.6.0(8),PCA19,R5.6.0(8),PCA19,R5.6.0(8),PCA19,R5.6.0(8),PCA19,R5.6.0(8),PCA19,R5.6.0(8)
PCA20,R5.6.0(1),PCA20,R5.6.0(1),PCA20,R5.6.0(1),PCA20,R5.6.0(1),PCA20,R5.6.0(1),PCA20,R5.6.0(1)
PCA20,R5.9.0(6),PCA20,R5.9.0(6),PCA20,R5.9.0(6),PCA20,R5.9.0(6),PCA20,R5.9.0(6),PCA20,R5.9.0(6)
PCA20,R5.4.4(3),PCA20,R5.4.4(3),PCA20,R5.4.4(3),PCA20,R5.4.4(3),PCA20,R5.4.4(3),PCA20,R5.4.4(3)
PCA21,R5.6.0(1),PCA21,R5.6.0(1),PCA21,R5.6.0(1),PCA21,R5.6.0(1),PCA21,R5.6.0(1),PCA21,R5.6.0(1)
PCA21,R5.8.0(1),PCA21,R5.8.0(1),PCA21,R5.8.0(1),PCA21,R5.8.0(1),PCA21,R5.8.0(1),PCA21,R5.8.0(1)
PCA21,R7.1.0(3),PCA21,R7.1.0(3),PCA21,R7.1.0(3),PCA21,R7.1.0(3),PCA21,R7.1.0(3),PCA21,R7.1.0(3)
PCA24,R5.8.0(1),PCA24,R5.8.0(1),PCA24,R5.8.0(1),PCA24,R5.8.0(1),PCA24,R5.8.0(1),PCA24,R5.8.0(1)
PCA25,R5.7.0(5),PCA25,R5.7.0(5),PCA25,R5.7.0(5),PCA25,R5.7.0(5),PCA25,R5.7.0(5),PCA25,R5.7.0(5)
PCA26,R5.9.0(1),PCA26,R5.9.0(1),PCA26,R5.9.0(1),PCA26,R5.9.0(1),PCA26,R5.9.0(1),PCA26,R5.9.0(1)
PCA26,R5.4.4(3),PCA26,R5.4.4(3),PCA26,R5.4.4(3),PCA26,R5.4.4(3),PCA26,R5.4.4(3),PCA26,R5.4.4(3)
PCA26,R6.3.0(8),PCA26,R6.3.0(8),PCA26,R6.3.0(8),PCA26,R6.3.0(8),PCA26,R6.3.0(8),PCA26,R6.3.0(8)
PCA29,R5.8.0(9),PCA29,R5.8.0(9),PCA29,R5.8.0(9),PCA29,R5.8.0(9),PCA29,R5.8.0(9),PCA29,R5.8.0(9)
PCA33,R5.8.0(1),PCA33,R5.8.0(1),PCA33,R5.8.0(1),PCA33,R5.8.0(1),PCA33,R5.8.0(1),PCA33,R5.8.0(1)
PCA33,R5.8.0(9),PCA33,R5.8.0(9),PCA33,R5.8.0(9),PCA33,R5.8.0(9),PCA33,R5.8.0(9),PCA33,R5.8.0(9)
PCA33,R4.1.0(2),PCA33,R4.1.0(2),PCA33,R4.1.0(2),PCA33,R4.1.0(2),PCA33,R4.1.0(2),PCA33,R4.1.0(2)
PCA35,R5.1.0(1),PCA35,R5.1.0(1),PCA35,R5.1.0(1),PCA35,R5.1.0(1),PCA35,R5.1.0(1),PCA35,R5.1.0(1)
PCA35,R6.5.0(1),PCA35,R6.5.0(1),PCA35,R6.5.0(1),PCA35,R6.5.0(1),PCA35,R6.5.0(1),PCA35,R6.5.0(1)
PCA35,R6.5.0(1),PCA35,R6.5.0(1),PCA35,R6.5.0(1),PCA35,R6.5.0(1),PCA35,R6.5.0(1),PCA35,R6.5.0(1)
PCA39,R5.7.0(5),PCA39,R5.7.0(5),PCA39,R5.7.0(5),PCA39,R5.7.0(5),PCA39,R5.7.0(5),PCA39,R5.7.0(5)
PCA39,R7.1.0(3),PCA39,R7.1.0(3),PCA39,R7.1.0(3),PCA39,R7.1.0(3),PCA39,R7.1.0(3),PCA39,R7.1.0(3)
PCA39,R7.3.0(4),PCA39,R7.3.0(4),PCA39,R7.3.0(4),PCA39,R7.3.0(4),PCA39,R7.3.0(4),PCA39,R7.3.0(4)
PCA40,R5.1.0(1),PCA40,R5.1.0(1),PCA40,R5.1.0(1),PCA40,R5.1.0(1),PCA40,R5.1.0(1),PCA40,R5.1.0(1)
PCA40,R7.1.0(3),PCA40,R7.1.0(3),PCA40,R7.1.0(3),PCA40,R7.1.0(3),PCA40,R7.1.0(3),PCA40,R7.1.0(3)
PCA40,R4.1.0(1),PCA40,R4.1.0(1),PCA40,R4.1.0(1),PCA40,R4.1.0(1),PCA40,R4.1.0(1),PCA40,R4.1.0(1)
PCA43,R5.7.0(1),PCA43,R5.7.0(1),PCA43,R5.7.0(1),PCA43,R5.7.0(1),PCA43,R5.7.0(1),PCA43,R5.7.0(1)
PCA43,R5.6.0(8),PCA43,R5.6.0(8),PCA43,R5.6.0(8),PCA43,R5.6.0(8),PCA43,R5.6.0(8),PCA43,R5.6.0(8)
PCA43,R6.3.0(8),PCA43,R6.3.0(8),PCA43,R6.3.0(8),PCA43,R6.3.0(8),PCA43,R6.3.0(8),PCA43,R6.3.0(8)
PCA45,R6.2.0(1),PCA45,R6.2.0(1),PCA45,R6.2.0(1),PCA45,R6.2.0(1),PCA45,R6.2.0(1),PCA45,R6.2.0(1)
PCA45,R5.5.0(1),PCA45,R5.5.0(1),PCA45,R5.5.0(1),PCA45,R5.5.0(1),PCA45,R5.5.0(1),PCA45,R5.5.0(1)
PCA45,R6.3.0(1),PCA45,R6.3.0(1),PCA45,R6.3.0(1),PCA45,R6.3.0(1),PCA45,R6.3.0(1),PCA45,R6.3.0(1)
PCA46,R6.1.0(1),PCA46,R6.1.0(1),PCA46,R6.1.0(1),PCA46,R6.1.0(1),PCA46,R6.1.0(1),PCA46,R6.1.0(1)
PCA49,R6.3.0(9),PCA49,R6.3.0(9),PCA49,R6.3.0(9),PCA49,R6.3.0(9),PCA49,R6.3.0(9),PCA49,R6.3.0(9)
PCA53,R5.7.0(5),PCA53,R5.7.0(5),PCA53,R5.7.0(5),PCA53,R5.7.0(5),PCA53,R5.7.0(5),PCA53,R5.7.0(5)
PCA53,R6.2.0(8),PCA53,R6.2.0(8),PCA53,R6.2.0(8),PCA53,R6.2.0(8),PCA53,R6.2.0(8),PCA53,R6.2.0(8)
PCA53,R5.6.0(1),PCA53,R5.6.0(1),PCA53,R5.6.0(1),PCA53,R5.6.0(1),PCA53,R5.6.0(1),PCA53,R5.6.0(1)
PCA57,R5.1.0(1),PCA57,R5.1.0(1),PCA57,R5.1.0(1),PCA57,R5.1.0(1),PCA57,R5.1.0(1),PCA57,R5.1.0(1)
PCA57,R5.7.0(5),PCA57,R5.7.0(5),PCA57,R5.7.0(5),PCA57,R5.7.0(5),PCA57,R5.7.0(5),PCA57,R5.7.0(5)
PCA57,R7.3.0(4),PCA57,R7.3.0(4),PCA57,R7.3.0(4),PCA57,R7.3.0(4),PCA57,R7.3.0(4),PCA57,R7.3.0(4)
PCA60,R5.8.0(1),PCA60,R5.8.0(1),PCA60,R5.8.0(1),PCA60,R5.8.0(1),PCA60,R5.8.0(1),PCA60,R5.8.0(1)
PCA60,R4.1.0(2),PCA60,R4.1.0(2),PCA60,R4.1.0(2),PCA60,R4.1.0(2),PCA60,R4.1.0(2),PCA60,R4.1.0(2)
PCA60,R6.4.0(7),PCA60,R6.4.0(7),PCA60,R6.4.0(7),PCA60,R6.4.0(7),PCA60,R6.4.0(7),PCA60,R6.4.0(7)
PCA61,R6.2.0(8),PCA61,R6.2.0(8),PCA61,R6.2.0(8),PCA61,R6.2.0(8),PCA61,R6.2.0(8),PCA61,R6.2.0(8)
PCA61,R5.5.0(1),PCA61,R5.5.0(1),PCA61,R5.5.0(1),PCA61,R5.5.0(1),PCA61,R5.5.0(1),PCA61,R5.5.0(1)
PCA61,R6.3.0(9),PCA61,R6.3.0(9),PCA61,R6.3.0(9),PCA61,R6.3.0(9),PCA61,R6.3.0(9),PCA61,R6.3.0(9)
PCA63,R5.6.0(1),PCA63,R5.6.0(1),PCA63,R5.6.0(1),PCA63,R5.6.0(1),PCA63,R5.6.0(1),PCA63,R5.6.0(1)
PCA63,R5.1.0(1),PCA63,R5.1.0(1),PCA63,R5.1.0(1),PCA63,R5.1.0(1),PCA63,R5.1.0(1),PCA63,R5.1.0(1)
PCA63,R6.4.0(6),PCA63,R6.4.0(6),PCA63,R6.4.0(6),PCA63,R6.4.0(6),PCA63,R6.4.0(6),PCA63,R6.4.0(6)
PCA64,R5.5.0(9),PCA64,R5.5.0(9),PCA64,R5.5.0(9),PCA64,R5.5.0(9),PCA64,R5.5.0(9),PCA64,R5.5.0(9)
PCA64,R6.3.0(1),PCA64,R6.3.0(1),PCA64,R6.3.0(1),PCA64,R6.3.0(1),PCA64,R6.3.0(1),PCA64,R6.3.0(1)
PCA64,R5.5.0(1),PCA64,R5.5.0(1),PCA64,R5.5.0(1),PCA64,R5.5.0(1),PCA64,R5.5.0(1),PCA64,R5.5.0(1)
PCA66,R5.6.0(8),PCA66,R5.6.0(8),PCA66,R5.6.0(8),PCA66,R5.6.0(8),PCA66,R5.6.0(8),PCA66,R5.6.0(8)
PCA66,R6.1.0(1),PCA66,R6.1.0(1),PCA66,R6.1.0(1),PCA66,R6.1.0(1),PCA66,R6.1.0(1),PCA66,R6.1.0(1)
PCA66,R5.5.0(1),PCA66,R5.5.0(1),PCA66,R5.5.0(1),PCA66,R5.5.0(1),PCA66,R5.5.0(1),PCA66,R5.5.0(1)
