"AID","DID"
"AID1153","DID1377"
"AID1728","DID1377"
"AID1185","DID1377"
"AID1134","DID1377"
"AID1914","DID1377"
"AID1979","DID1377"
"AID1153","DID1498"
"AID1728","DID1498"
"AID1185","DID1498"
"AID1134","DID1498"
"AID1914","DID1498"
"AID1979","DID1498"
"AID1153","DID177"
"AID1728","DID177"
"AID1185","DID177"
"AID1134","DID177"
"AID1914","DID177"
"AID1979","DID177"
"AID1153","DID331"
"AID1728","DID331"
"AID1185","DID331"
"AID1134","DID331"
"AID1914","DID331"
"AID1979","DID331"
"AID1153","DID366"
"AID1728","DID366"
"AID1185","DID366"
"AID1134","DID366"
"AID1914","DID366"
"AID1979","DID366"
"AID1153","DID462"
"AID1728","DID462"
"AID1185","DID462"
"AID1134","DID462"
"AID1914","DID462"
"AID1979","DID462"
"AID321","DID1186"
"AID1557","DID1186"
"AID2329","DID1186"
"AID2401","DID1186"
"AID81","DID1186"
"AID824","DID1186"
"AID2259","DID1186"
"AID321","DID323"
"AID1557","DID323"
"AID2329","DID323"
"AID2401","DID323"
"AID81","DID323"
"AID824","DID323"
"AID2259","DID323"
"AID321","DID760"
"AID1557","DID760"
"AID2329","DID760"
"AID2401","DID760"
"AID81","DID760"
"AID824","DID760"
"AID2259","DID760"
"AID1486","DID1282"
"AID1560","DID1282"
"AID2614","DID1282"
"AID88","DID1282"
"AID2693","DID1282"
"AID1486","DID1341"
"AID1560","DID1341"
"AID2614","DID1341"
"AID88","DID1341"
"AID2693","DID1341"
"AID1486","DID223"
"AID1560","DID223"
"AID2614","DID223"
"AID88","DID223"
"AID2693","DID223"
"AID194","DID1048"
"AID449","DID1048"
"AID2312","DID1048"
"AID2716","DID1048"
"AID194","DID1244"
"AID449","DID1244"
"AID2312","DID1244"
"AID2716","DID1244"
"AID194","DID1352"
"AID449","DID1352"
"AID2312","DID1352"
"AID2716","DID1352"
"AID194","DID1365"
"AID449","DID1365"
"AID2312","DID1365"
"AID2716","DID1365"
"AID194","DID447"
"AID449","DID447"
"AID2312","DID447"
"AID2716","DID447"
"AID194","DID784"
"AID449","DID784"
"AID2312","DID784"
"AID2716","DID784"
"AID194","DID900"
"AID449","DID900"
"AID2312","DID900"
"AID2716","DID900"
"AID976","DID1037"
"AID2941","DID1037"
"AID2862","DID1037"
"AID1647","DID1037"
"AID2266","DID1037"
"AID2311","DID1037"
"AID8","DID1037"
"AID326","DID1037"
"AID588","DID1037"
"AID712","DID1037"
"AID1967","DID1037"
"AID2191","DID1037"
"AID2611","DID1037"
"AID397","DID1037"
"AID1227","DID1037"
"AID2499","DID1037"
"AID51","DID1037"
"AID1363","DID1037"
"AID2154","DID1037"
"AID96","DID1133"
"AID124","DID1133"
"AID742","DID1133"
"AID2840","DID1133"
"AID648","DID1133"
"AID439","DID1133"
"AID1376","DID1133"
"AID1366","DID1133"
"AID1615","DID1133"
"AID420","DID1133"
"AID581","DID1133"
"AID963","DID1133"
"AID96","DID1239"
"AID124","DID1239"
"AID742","DID1239"
"AID2840","DID1239"
"AID648","DID1239"
"AID439","DID1239"
"AID1376","DID1239"
"AID1366","DID1239"
"AID1615","DID1239"
"AID420","DID1239"
"AID581","DID1239"
"AID963","DID1239"
"AID96","DID75"
"AID124","DID75"
"AID742","DID75"
"AID2840","DID75"
"AID648","DID75"
"AID439","DID75"
"AID1376","DID75"
"AID1366","DID75"
"AID1615","DID75"
"AID420","DID75"
"AID581","DID75"
"AID963","DID75"
"AID96","DID881"
"AID124","DID881"
"AID742","DID881"
"AID2840","DID881"
"AID648","DID881"
"AID439","DID881"
"AID1376","DID881"
"AID1366","DID881"
"AID1615","DID881"
"AID420","DID881"
"AID581","DID881"
"AID963","DID881"
"AID96","DID976"
"AID124","DID976"
"AID742","DID976"
"AID2840","DID976"
"AID648","DID976"
"AID439","DID976"
"AID1376","DID976"
"AID1366","DID976"
"AID1615","DID976"
"AID420","DID976"
"AID581","DID976"
"AID963","DID976"
"AID807","DID391"
"AID221","DID391"
"AID274","DID391"
"AID285","DID391"
"AID387","DID391"
"AID1674","DID391"
"AID2020","DID391"
"AID807","DID393"
"AID221","DID393"
"AID274","DID393"
"AID285","DID393"
"AID387","DID393"
"AID1674","DID393"
"AID2020","DID393"
"AID807","DID495"
"AID221","DID495"
"AID274","DID495"
"AID285","DID495"
"AID387","DID495"
"AID1674","DID495"
"AID2020","DID495"
"AID473","DID1021"
"AID1745","DID1021"
"AID2435","DID1021"
"AID2474","DID1021"
"AID568","DID1021"
"AID1588","DID1021"
"AID2773","DID1021"
"AID2921","DID1021"
"AID719","DID1021"
"AID1294","DID1021"
"AID473","DID1078"
"AID1745","DID1078"
"AID2435","DID1078"
"AID2474","DID1078"
"AID568","DID1078"
"AID1588","DID1078"
"AID2773","DID1078"
"AID2921","DID1078"
"AID719","DID1078"
"AID1294","DID1078"
"AID473","DID356"
"AID1745","DID356"
"AID2435","DID356"
"AID2474","DID356"
"AID568","DID356"
"AID1588","DID356"
"AID2773","DID356"
"AID2921","DID356"
"AID719","DID356"
"AID1294","DID356"
"AID438","DID1426"
"AID796","DID1426"
"AID913","DID1426"
"AID1026","DID1426"
"AID2302","DID1426"
"AID2307","DID1426"
"AID1254","DID1426"
"AID1387","DID1426"
"AID1613","DID1426"
"AID2556","DID1426"
"AID438","DID1486"
"AID796","DID1486"
"AID913","DID1486"
"AID1026","DID1486"
"AID2302","DID1486"
"AID2307","DID1486"
"AID1254","DID1486"
"AID1387","DID1486"
"AID1613","DID1486"
"AID2556","DID1486"
"AID438","DID158"
"AID796","DID158"
"AID913","DID158"
"AID1026","DID158"
"AID2302","DID158"
"AID2307","DID158"
"AID1254","DID158"
"AID1387","DID158"
"AID1613","DID158"
"AID2556","DID158"
"AID438","DID448"
"AID796","DID448"
"AID913","DID448"
"AID1026","DID448"
"AID2302","DID448"
"AID2307","DID448"
"AID1254","DID448"
"AID1387","DID448"
"AID1613","DID448"
"AID2556","DID448"
"AID438","DID497"
"AID796","DID497"
"AID913","DID497"
"AID1026","DID497"
"AID2302","DID497"
"AID2307","DID497"
"AID1254","DID497"
"AID1387","DID497"
"AID1613","DID497"
"AID2556","DID497"
"AID836","DID286"
"AID1953","DID286"
"AID1556","DID286"
"AID2093","DID286"
"AID1820","DID286"
"AID1798","DID286"
"AID471","DID286"
"AID836","DID625"
"AID1953","DID625"
"AID1556","DID625"
"AID2093","DID625"
"AID1820","DID625"
"AID1798","DID625"
"AID471","DID625"
"AID836","DID742"
"AID1953","DID742"
"AID1556","DID742"
"AID2093","DID742"
"AID1820","DID742"
"AID1798","DID742"
"AID471","DID742"
"AID836","DID843"
"AID1953","DID843"
"AID1556","DID843"
"AID2093","DID843"
"AID1820","DID843"
"AID1798","DID843"
"AID471","DID843"
"AID836","DID871"
"AID1953","DID871"
"AID1556","DID871"
"AID2093","DID871"
"AID1820","DID871"
"AID1798","DID871"
"AID471","DID871"
"AID812","DID1430"
"AID2618","DID1430"
"AID214","DID1430"
"AID1882","DID1430"
"AID2547","DID1430"
"AID1569","DID1430"
"AID2847","DID1430"
"AID184","DID1430"
"AID791","DID1430"
"AID1224","DID1430"
"AID1395","DID1430"
"AID872","DID1430"
"AID1198","DID1430"
"AID2359","DID1430"
"AID812","DID1457"
"AID2618","DID1457"
"AID214","DID1457"
"AID1882","DID1457"
"AID2547","DID1457"
"AID1569","DID1457"
"AID2847","DID1457"
"AID184","DID1457"
"AID791","DID1457"
"AID1224","DID1457"
"AID1395","DID1457"
"AID872","DID1457"
"AID1198","DID1457"
"AID2359","DID1457"
"AID812","DID173"
"AID2618","DID173"
"AID214","DID173"
"AID1882","DID173"
"AID2547","DID173"
"AID1569","DID173"
"AID2847","DID173"
"AID184","DID173"
"AID791","DID173"
"AID1224","DID173"
"AID1395","DID173"
"AID872","DID173"
"AID1198","DID173"
"AID2359","DID173"
"AID812","DID610"
"AID2618","DID610"
"AID214","DID610"
"AID1882","DID610"
"AID2547","DID610"
"AID1569","DID610"
"AID2847","DID610"
"AID184","DID610"
"AID791","DID610"
"AID1224","DID610"
"AID1395","DID610"
"AID872","DID610"
"AID1198","DID610"
"AID2359","DID610"
"AID812","DID858"
"AID2618","DID858"
"AID214","DID858"
"AID1882","DID858"
"AID2547","DID858"
"AID1569","DID858"
"AID2847","DID858"
"AID184","DID858"
"AID791","DID858"
"AID1224","DID858"
"AID1395","DID858"
"AID872","DID858"
"AID1198","DID858"
"AID2359","DID858"
"AID573","DID1289"
"AID1632","DID1289"
"AID2712","DID1289"
"AID1731","DID1289"
"AID573","DID1399"
"AID1632","DID1399"
"AID2712","DID1399"
"AID1731","DID1399"
"AID573","DID66"
"AID1632","DID66"
"AID2712","DID66"
"AID1731","DID66"
"AID573","DID799"
"AID1632","DID799"
"AID2712","DID799"
"AID1731","DID799"
"AID573","DID856"
"AID1632","DID856"
"AID2712","DID856"
"AID1731","DID856"
"AID942","DID136"
"AID147","DID136"
"AID902","DID136"
"AID457","DID136"
"AID735","DID136"
"AID917","DID136"
"AID1026","DID136"
"AID2418","DID136"
"AID2738","DID136"
"AID942","DID197"
"AID147","DID197"
"AID902","DID197"
"AID457","DID197"
"AID735","DID197"
"AID917","DID197"
"AID1026","DID197"
"AID2418","DID197"
"AID2738","DID197"
"AID942","DID247"
"AID147","DID247"
"AID902","DID247"
"AID457","DID247"
"AID735","DID247"
"AID917","DID247"
"AID1026","DID247"
"AID2418","DID247"
"AID2738","DID247"
"AID942","DID464"
"AID147","DID464"
"AID902","DID464"
"AID457","DID464"
"AID735","DID464"
"AID917","DID464"
"AID1026","DID464"
"AID2418","DID464"
"AID2738","DID464"
"AID942","DID55"
"AID147","DID55"
"AID902","DID55"
"AID457","DID55"
"AID735","DID55"
"AID917","DID55"
"AID1026","DID55"
"AID2418","DID55"
"AID2738","DID55"
"AID942","DID76"
"AID147","DID76"
"AID902","DID76"
"AID457","DID76"
"AID735","DID76"
"AID917","DID76"
