"DID","AID"
"DID471","AID112"
"DID696","AID112"
"DID471","AID511"
"DID696","AID511"
"DID471","AID859"
"DID696","AID859"
"DID471","AID911"
"DID696","AID911"
"DID471","AID1074"
"DID696","AID1074"
"DID471","AID1469"
"DID696","AID1469"
"DID471","AID1505"
"DID696","AID1505"
"DID471","AID1594"
"DID696","AID1594"
"DID239","AID600"
"DID239","AID728"
"DID239","AID933"
"DID239","AID1131"
"DID239","AID1255"
"DID239","AID1558"
"DID239","AID541"
"DID239","AID586"
"DID239","AID1629"
"DID239","AID1638"
"DID239","AID1947"
"DID268","AID289"
"DID268","AID965"
"DID268","AID1431"
"DID268","AID1633"
"DID807","AID484"
"DID807","AID708"
"DID807","AID1151"
"DID807","AID1482"
"DID807","AID879"
"DID807","AID1162"
"DID807","AID1898"
"DID422","AID643"
"DID50","AID643"
"DID422","AID865"
"DID50","AID865"
"DID422","AID867"
"DID50","AID867"
"DID422","AID1111"
"DID50","AID1111"
"DID422","AID1263"
"DID50","AID1263"
"DID422","AID1555"
"DID50","AID1555"
"DID422","AID1620"
"DID50","AID1620"
"DID422","AID1755"
"DID50","AID1755"
"DID422","AID1853"
"DID50","AID1853"
"DID422","AID256"
"DID50","AID256"
"DID422","AID319"
"DID50","AID319"
"DID422","AID499"
"DID50","AID499"
"DID422","AID519"
"DID50","AID519"
"DID422","AID647"
"DID50","AID647"
"DID422","AID1105"
"DID50","AID1105"
"DID422","AID1310"
"DID50","AID1310"
"DID422","AID1446"
"DID50","AID1446"
"DID422","AID1459"
"DID50","AID1459"
"DID422","AID1706"
"DID50","AID1706"
"DID422","AID1769"
"DID50","AID1769"
"DID213","AID261"
"DID711","AID261"
"DID213","AID375"
"DID711","AID375"
"DID213","AID830"
"DID711","AID830"
"DID213","AID984"
"DID711","AID984"
"DID213","AID985"
"DID711","AID985"
"DID213","AID1840"
"DID711","AID1840"
"DID213","AID1915"
"DID711","AID1915"
"DID213","AID163"
"DID711","AID163"
"DID213","AID695"
"DID711","AID695"
"DID213","AID1102"
"DID711","AID1102"
"DID213","AID1224"
"DID711","AID1224"
"DID213","AID1838"
"DID711","AID1838"
"DID528","AID314"
"DID528","AID649"
"DID528","AID847"
"DID528","AID946"
"DID528","AID998"
"DID528","AID1211"
"DID528","AID1560"
"DID528","AID1920"
"DID528","AID149"
"DID528","AID280"
"DID528","AID411"
"DID528","AID495"
"DID528","AID597"
"DID528","AID817"
"DID528","AID1862"
"DID348","AID34"
"DID348","AID369"
"DID348","AID747"
"DID348","AID889"
"DID348","AID1016"
"DID348","AID1553"
"DID348","AID1793"
"DID348","AID1829"
"DID348","AID1949"
"DID524","AID817"
"DID524","AID838"
"DID524","AID839"
"DID524","AID1286"
"DID524","AID1449"
"DID524","AID827"
"DID524","AID845"
"DID524","AID947"
"DID524","AID1059"
"DID524","AID1239"
"DID524","AID1982"
"DID384","AID225"
"DID81","AID225"
"DID384","AID667"
"DID81","AID667"
"DID384","AID1251"
"DID81","AID1251"
"DID384","AID1536"
"DID81","AID1536"
"DID981","AID66"
"DID981","AID79"
"DID981","AID369"
"DID981","AID1742"
"DID981","AID1993"
"DID236","AID356"
"DID236","AID543"
"DID236","AID804"
"DID236","AID1657"
"DID236","AID1778"
"DID764","AID71"
"DID764","AID475"
"DID764","AID713"
"DID764","AID792"
"DID764","AID892"
"DID764","AID1250"
"DID764","AID1566"
"DID764","AID1604"
"DID764","AID1948"
"DID478","AID39"
"DID66","AID39"
"DID478","AID387"
"DID66","AID387"
"DID478","AID1321"
"DID66","AID1321"
"DID478","AID1468"
"DID66","AID1468"
"DID478","AID1484"
"DID66","AID1484"
"DID478","AID1678"
"DID66","AID1678"
"DID912","AID177"
"DID912","AID218"
"DID912","AID688"
"DID912","AID1494"
"DID912","AID1611"
"DID294","AID1353"
"DID819","AID1353"
"DID19","AID242"
"DID19","AID403"
"DID19","AID466"
"DID19","AID570"
"DID19","AID571"
"DID19","AID1327"
"DID19","AID1333"
"DID19","AID1421"
"DID19","AID44"
"DID19","AID299"
"DID19","AID422"
"DID19","AID428"
"DID19","AID820"
"DID19","AID1473"
"DID15","AID111"
"DID648","AID111"
"DID15","AID189"
"DID648","AID189"
"DID15","AID512"
"DID648","AID512"
"DID15","AID836"
"DID648","AID836"
"DID15","AID1043"
"DID648","AID1043"
"DID15","AID1237"
"DID648","AID1237"
"DID15","AID1563"
"DID648","AID1563"
"DID297","AID396"
"DID845","AID396"
"DID297","AID1228"
"DID845","AID1228"
"DID297","AID1348"
"DID845","AID1348"
"DID297","AID1818"
"DID845","AID1818"
"DID297","AID1101"
"DID845","AID1101"
"DID297","AID1846"
"DID845","AID1846"
"DID803","AID68"
"DID803","AID104"
"DID803","AID133"
"DID803","AID618"
"DID803","AID637"
"DID803","AID779"
"DID803","AID786"
"DID803","AID1388"
"DID803","AID1403"
"DID510","AID172"
"DID510","AID275"
"DID510","AID416"
"DID510","AID460"
"DID510","AID597"
"DID510","AID1461"
"DID510","AID1656"
"DID510","AID109"
"DID510","AID148"
"DID510","AID567"
"DID510","AID691"
"DID510","AID1357"
"DID75","AID286"
"DID75","AID676"
"DID75","AID704"
"DID75","AID1552"
"DID75","AID1557"
"DID75","AID1573"
"DID75","AID1734"
"DID75","AID400"
"DID75","AID1406"
"DID75","AID1674"
"DID75","AID1834"
"DID792","AID67"
"DID894","AID67"
"DID792","AID361"
"DID894","AID361"
"DID792","AID629"
"DID894","AID629"
"DID792","AID1342"
"DID894","AID1342"
"DID792","AID1629"
"DID894","AID1629"
"DID792","AID1774"
"DID894","AID1774"
"DID792","AID1976"
"DID894","AID1976"
"DID792","AID422"
"DID894","AID422"
"DID792","AID493"
"DID894","AID493"
"DID792","AID563"
"DID894","AID563"
"DID792","AID579"
"DID894","AID579"
"DID792","AID806"
"DID894","AID806"
