"AID","DID"
"AID1710","DID2099"
"AID4886","DID2099"
"AID329","DID2099"
"AID1008","DID2099"
"AID566","DID2034"
"AID3015","DID1569"
"AID3015","DID2589"
"AID1020","DID1813"
"AID1020","DID651"
"AID5490","DID1813"
"AID5490","DID651"
"AID1222","DID1486"
"AID1222","DID2022"
"AID1289","DID1486"
"AID1289","DID2022"
"AID5549","DID1338"
"AID5549","DID1918"
"AID5549","DID2394"
"AID5549","DID2746"
"AID5549","DID2890"
"AID5549","DID997"
"AID631","DID895"
"AID4173","DID895"
"AID20","DID895"
"AID4483","DID895"
"AID4600","DID895"
"AID4942","DID895"
"AID1730","DID1331"
"AID2406","DID1331"
"AID890","DID1989"
"AID890","DID2013"
"AID890","DID312"
"AID4126","DID1989"
"AID4126","DID2013"
"AID4126","DID312"
"AID3648","DID1989"
"AID3648","DID2013"
"AID3648","DID312"
"AID2784","DID1989"
"AID2784","DID2013"
"AID2784","DID312"
"AID4160","DID1989"
"AID4160","DID2013"
"AID4160","DID312"
"AID4850","DID1989"
"AID4850","DID2013"
"AID4850","DID312"
"AID2825","DID1557"
"AID2825","DID2370"
"AID5125","DID1557"
"AID5125","DID2370"
"AID212","DID1557"
"AID212","DID2370"
"AID77","DID1161"
"AID77","DID2798"
"AID1019","DID1410"
"AID1019","DID965"
"AID2230","DID1410"
"AID2230","DID965"
"AID2620","DID1410"
"AID2620","DID965"
"AID1832","DID225"
"AID3057","DID1116"
"AID3057","DID643"
"AID4207","DID1116"
"AID4207","DID643"
"AID962","DID1116"
"AID962","DID643"
"AID3681","DID1116"
"AID3681","DID643"
"AID26","DID1116"
"AID26","DID643"
"AID1489","DID1116"
"AID1489","DID643"
"AID3005","DID2789"
"AID3005","DID601"
"AID2375","DID178"
"AID5961","DID178"
"AID4474","DID515"
"AID5172","DID515"
"AID5847","DID515"
"AID2124","DID1599"
"AID2124","DID619"
"AID2248","DID1599"
"AID2248","DID619"
"AID2825","DID1565"
"AID5125","DID1565"
"AID1660","DID2151"
"AID1660","DID980"
"AID2236","DID2151"
"AID2236","DID980"
"AID2290","DID1377"
"AID2290","DID2280"
"AID2290","DID600"
"AID2290","DID612"
"AID4699","DID1377"
"AID4699","DID2280"
"AID4699","DID600"
"AID4699","DID612"
"AID3826","DID1377"
"AID3826","DID2280"
"AID3826","DID600"
"AID3826","DID612"
"AID286","DID1377"
"AID286","DID2280"
"AID286","DID600"
"AID286","DID612"
"AID3121","DID1377"
"AID3121","DID2280"
"AID3121","DID600"
"AID3121","DID612"
"AID323","DID907"
"AID1517","DID1266"
"AID1517","DID1543"
"AID4688","DID1266"
"AID4688","DID1543"
"AID5809","DID1266"
"AID5809","DID1543"
"AID1573","DID1266"
"AID1573","DID1543"
"AID2511","DID2584"
"AID2511","DID2733"
"AID4747","DID2584"
"AID4747","DID2733"
"AID2618","DID1178"
"AID4377","DID1178"
"AID5313","DID1178"
"AID575","DID2382"
"AID2214","DID204"
"AID2214","DID295"
"AID5166","DID204"
"AID5166","DID295"
"AID872","DID1161"
"AID872","DID533"
"AID3088","DID1161"
"AID3088","DID533"
"AID3873","DID1161"
"AID3873","DID533"
"AID3962","DID1161"
"AID3962","DID533"
"AID5608","DID1858"
"AID2312","DID1858"
"AID4670","DID2755"
"AID4670","DID276"
"AID354","DID1938"
"AID354","DID927"
"AID4701","DID1938"
"AID4701","DID927"
"AID1899","DID1938"
"AID1899","DID927"
"AID3353","DID1564"
"AID3353","DID2470"
"AID4432","DID1564"
"AID4432","DID2470"
"AID5875","DID1564"
"AID5875","DID2470"
"AID568","DID1564"
"AID568","DID2470"
"AID4935","DID1564"
"AID4935","DID2470"
"AID1766","DID1564"
"AID1766","DID2470"
"AID2063","DID1564"
"AID2063","DID2470"
"AID440","DID1564"
"AID440","DID2470"
"AID2762","DID1564"
"AID2762","DID2470"
"AID944","DID1418"
"AID2862","DID1418"
"AID3880","DID1418"
"AID179","DID2639"
"AID4766","DID733"
"AID1785","DID634"
"AID595","DID268"
"AID5099","DID1948"
"AID1899","DID1948"
"AID312","DID2576"
"AID312","DID537"
"AID3439","DID2576"
"AID3439","DID537"
"AID3226","DID113"
"AID3226","DID15"
"AID3226","DID1883"
"AID3226","DID781"
"AID3581","DID113"
"AID3581","DID15"
"AID3581","DID1883"
"AID3581","DID781"
"AID1222","DID113"
"AID1222","DID15"
"AID1222","DID1883"
"AID1222","DID781"
"AID1289","DID113"
"AID1289","DID15"
"AID1289","DID1883"
"AID1289","DID781"
"AID5991","DID113"
"AID5991","DID15"
"AID5991","DID1883"
"AID5991","DID781"
"AID908","DID1077"
"AID3503","DID1077"
"AID961","DID1077"
"AID2691","DID1077"
"AID2771","DID2699"
"AID2993","DID2699"
"AID389","DID1113"
"AID3692","DID1113"
"AID554","DID1113"
"AID2777","DID1113"
"AID985","DID1152"
"AID2950","DID1607"
"AID284","DID1607"
"AID1343","DID1607"
"AID4860","DID1607"
"AID2416","DID2577"
"AID2416","DID2887"
"AID1054","DID2577"
"AID1054","DID2887"
"AID4287","DID2271"
"AID446","DID1089"
"AID446","DID1115"
"AID446","DID1338"
"AID446","DID1616"
"AID446","DID243"
"AID446","DID2937"
"AID1853","DID1089"
"AID1853","DID1115"
"AID1853","DID1338"
"AID1853","DID1616"
"AID1853","DID243"
"AID1853","DID2937"
"AID5266","DID1089"
"AID5266","DID1115"
"AID5266","DID1338"
"AID5266","DID1616"
"AID5266","DID243"
"AID5266","DID2937"
"AID1085","DID2762"
"AID2306","DID2762"
"AID2287","DID2606"
"AID2287","DID567"
"AID3636","DID2606"
"AID3636","DID567"
"AID867","DID2606"
"AID867","DID567"
"AID5934","DID2606"
"AID5934","DID567"
"AID667","DID2606"
"AID667","DID567"
"AID4579","DID2606"
"AID4579","DID567"
"AID3333","DID1126"
"AID3333","DID150"
"AID5036","DID1126"
"AID5036","DID150"
"AID2276","DID2376"
"AID4275","DID2376"
"AID4657","DID2376"
"AID1406","DID1066"
"AID1406","DID1470"
"AID1406","DID1514"
"AID1406","DID1574"
"AID3313","DID1066"
"AID3313","DID1470"
"AID3313","DID1514"
"AID3313","DID1574"
"AID3687","DID1066"
"AID3687","DID1470"
"AID3687","DID1514"
"AID3687","DID1574"
"AID505","DID1066"
"AID505","DID1470"
"AID505","DID1514"
"AID505","DID1574"
"AID1949","DID1066"
"AID1949","DID1470"
"AID1949","DID1514"
"AID1949","DID1574"
"AID5849","DID1066"
"AID5849","DID1470"
"AID5849","DID1514"
"AID5849","DID1574"
"AID5612","DID1066"
"AID5612","DID1470"
"AID5612","DID1514"
"AID5612","DID1574"
"AID1242","DID1066"
"AID1242","DID1470"
"AID1242","DID1514"
"AID1242","DID1574"
"AID4461","DID1242"
"AID4671","DID1242"
"AID5587","DID1242"
"AID311","DID1856"
"AID311","DID362"
"AID3719","DID1856"
"AID3719","DID362"
"AID654","DID133"
"AID654","DID1916"
"AID654","DID2111"
"AID654","DID2361"
"AID654","DID2924"
"AID5712","DID433"
"AID5155","DID433"
"AID1669","DID1609"
"AID2424","DID1609"
"AID2151","DID102"
"AID2151","DID2559"
"AID5358","DID2101"
"AID5358","DID2232"
"AID5358","DID2323"
"AID5358","DID2464"
"AID5358","DID2492"
"AID2657","DID1418"
"AID4645","DID1418"
"AID3960","DID1418"
"AID5359","DID2346"
"AID5359","DID581"
"AID4990","DID2346"
"AID4990","DID581"
"AID2794","DID2146"
"AID2794","DID552"
"AID3562","DID2146"
"AID3562","DID552"
"AID4133","DID1807"
"AID4133","DID2725"
"AID4807","DID1807"
"AID4807","DID2725"
"AID4907","DID1807"
"AID4907","DID2725"
"AID1386","DID1807"
"AID1386","DID2725"
"AID1999","DID1614"
"AID1999","DID198"
"AID1999","DID2423"
"AID1999","DID4"
"AID1110","DID1614"
"AID1110","DID198"
"AID1110","DID2423"
"AID1110","DID4"
"AID1924","DID1614"
"AID1924","DID198"
"AID1924","DID2423"
"AID1924","DID4"
"AID453","DID1437"
"AID453","DID2430"
"AID453","DID268"
"AID453","DID2977"
"AID453","DID598"
"AID453","DID906"
"AID4189","DID1437"
"AID4189","DID2430"
"AID4189","DID268"
"AID4189","DID2977"
"AID4189","DID598"
"AID4189","DID906"
"AID4971","DID1437"
"AID4971","DID2430"
"AID4971","DID268"
"AID4971","DID2977"
"AID4971","DID598"
"AID4971","DID906"
"AID4274","DID200"
"AID4274","DID2511"
"AID4274","DID2653"
"AID4274","DID2968"
"AID4274","DID2971"
"AID694","DID200"
"AID694","DID2511"
"AID694","DID2653"
"AID694","DID2968"
"AID694","DID2971"
"AID3811","DID200"
"AID3811","DID2511"
"AID3811","DID2653"
"AID3811","DID2968"
"AID3811","DID2971"
"AID5108","DID200"
"AID5108","DID2511"
"AID5108","DID2653"
"AID5108","DID2968"
"AID5108","DID2971"
"AID5461","DID200"
"AID5461","DID2511"
"AID5461","DID2653"
"AID5461","DID2968"
"AID5461","DID2971"
"AID5504","DID200"
"AID5504","DID2511"
"AID5504","DID2653"
"AID5504","DID2968"
"AID5504","DID2971"
"AID3528","DID200"
"AID3528","DID2511"
"AID3528","DID2653"
"AID3528","DID2968"
"AID3528","DID2971"
"AID377","DID200"
"AID377","DID2511"
"AID377","DID2653"
"AID377","DID2968"
"AID377","DID2971"
"AID4159","DID200"
"AID4159","DID2511"
"AID4159","DID2653"
"AID4159","DID2968"
"AID4159","DID2971"
"AID2430","DID1274"
"AID4037","DID1569"
"AID4037","DID47"
"AID63","DID2802"
"AID784","DID856"
"AID804","DID856"
"AID3174","DID2230"
"AID5512","DID2648"
"AID2433","DID2648"
"AID2169","DID526"
"AID2963","DID2121"
"AID3404","DID2787"
"AID3404","DID2977"
"AID3404","DID804"
"AID1610","DID2787"
"AID1610","DID2977"
"AID1610","DID804"
"AID3579","DID2787"
"AID3579","DID2977"
"AID3579","DID804"
"AID5104","DID2787"
"AID5104","DID2977"
"AID5104","DID804"
