AID,BID
AID1,BID2720
AID2,BID632
AID2,BID827
AID3,BID1140
AID3,BID2018
AID4,BID1741
AID4,BID2581
AID5,BID1036
AID5,BID1047
AID5,BID91
AID6,BID477
AID7,BID1016
AID7,BID399
AID8,BID2516
AID8,BID292
AID8,BID758
AID9,BID1719
AID10,BID1164
AID10,BID1344
AID11,BID526
AID11,BID948
AID12,BID1509
AID12,BID2383
AID13,BID717
AID14,BID1508
AID15,BID833
AID16,BID1440
AID16,BID180
AID17,BID1057
AID17,BID2873
AID18,BID1740
AID18,BID1854
AID18,BID2774
AID19,BID1987
AID20,BID1875
AID21,BID1478
AID21,BID2850
AID21,BID871
AID22,BID709
AID23,BID2502
AID24,BID1063
AID24,BID1541
AID24,BID308
AID25,BID1049
AID26,BID1208
AID26,BID1628
AID26,BID2420
AID27,BID362
AID28,BID2314
AID28,BID667
AID29,BID2112
AID29,BID2691
AID30,BID2613
AID31,BID1076
AID31,BID1850
AID32,BID765
AID32,BID941
AID33,BID1525
AID33,BID2551
AID33,BID44
AID34,BID2054
AID34,BID314
AID35,BID1888
AID35,BID2710
AID36,BID2041
AID36,BID2628
AID37,BID1876
AID38,BID1456
AID38,BID2716
AID39,BID102
AID39,BID2522
AID40,BID1475
AID41,BID1108
AID41,BID1456
AID41,BID238
AID42,BID1636
AID42,BID500
AID42,BID953
AID43,BID1849
AID43,BID785
AID44,BID664
AID45,BID1017
AID45,BID2767
AID46,BID2745
AID47,BID1326
AID47,BID1639
AID48,BID1416
AID48,BID1618
AID48,BID2567
AID49,BID1600
AID49,BID2348
AID50,BID2542
AID50,BID2635
AID50,BID345
AID51,BID170
AID51,BID424
AID51,BID987
AID52,BID1641
AID52,BID2996
AID53,BID1929
AID53,BID418
AID54,BID2632
AID55,BID516
AID56,BID2399
AID57,BID2473
AID58,BID1726
AID58,BID2923
AID59,BID1110
AID59,BID1813
AID59,BID973
AID60,BID1224
AID61,BID959
AID62,BID1340
AID62,BID1803
AID63,BID1149
AID63,BID2451
AID64,BID1187
AID64,BID121
AID64,BID1498
AID65,BID1556
AID66,BID140
AID66,BID2353
AID67,BID1443
AID67,BID395
AID68,BID685
AID69,BID1451
AID70,BID1766
AID70,BID2874
AID71,BID1526
AID72,BID1151
AID72,BID2185
AID73,BID1927
AID73,BID1961
AID73,BID934
AID74,BID1830
AID75,BID1198
AID75,BID476
AID75,BID657
AID76,BID166
AID76,BID329
AID76,BID517
AID77,BID2158
AID78,BID1591
AID79,BID2968
AID79,BID514
AID80,BID1622
AID80,BID501
AID81,BID1058
AID81,BID65
AID82,BID2934
AID83,BID278
AID84,BID2383
AID84,BID2899
AID84,BID553
AID85,BID2537
AID85,BID2618
AID85,BID559
AID86,BID1513
AID87,BID1428
AID88,BID1187
AID88,BID3000
AID88,BID515
AID89,BID1662
AID89,BID1738
AID89,BID2904
AID90,BID2325
AID91,BID2254
AID92,BID2458
AID92,BID885
AID93,BID212
AID94,BID2456
AID94,BID2757
AID94,BID2810
AID95,BID411
AID95,BID489
AID95,BID503
AID96,BID1157
AID96,BID2806
AID97,BID1714
AID97,BID2558
AID98,BID2974
AID99,BID1625
AID99,BID438
AID100,BID1440
AID100,BID2412
AID101,BID1117
AID101,BID1712
AID102,BID1016
AID102,BID1275
AID102,BID2878
AID103,BID1462
AID104,BID1372
AID104,BID295
AID104,BID45
AID105,BID1924
AID105,BID213
AID105,BID2680
AID106,BID2379
AID107,BID1771
AID108,BID1109
AID109,BID915
AID110,BID2043
AID111,BID772
AID111,BID921
AID112,BID1679
AID112,BID1787
AID113,BID2344
AID114,BID2296
AID115,BID1
AID115,BID2012
AID116,BID1103
AID116,BID216
AID116,BID945
AID117,BID1170
AID117,BID2515
AID117,BID866
