BID,AID
BID1,AID4398
BID2,AID253
BID3,AID2843
BID3,AID5979
BID4,AID4529
BID4,AID5652
BID5,AID1236
BID5,AID5456
BID6,AID1640
BID6,AID220
BID7,AID3543
BID7,AID5241
BID8,AID4346
BID8,AID972
BID9,AID3473
BID10,AID2958
BID11,AID496
BID11,AID5801
BID12,AID1399
BID12,AID5365
BID13,AID121
BID13,AID3959
BID14,AID5977
BID14,AID962
BID15,AID2768
BID16,AID5944
BID17,AID1394
BID17,AID4869
BID18,AID3578
BID18,AID5260
BID19,AID2907
BID19,AID678
BID20,AID5390
BID21,AID4469
BID22,AID324
BID22,AID3664
BID23,AID3893
BID23,AID681
BID24,AID1638
BID24,AID5660
BID25,AID438
BID26,AID1948
BID26,AID690
BID27,AID4178
BID28,AID1627
BID28,AID4512
BID29,AID318
BID30,AID5840
BID31,AID5154
BID32,AID2033
BID33,AID5996
BID34,AID1660
BID34,AID3950
BID35,AID4212
BID35,AID67
BID36,AID5642
BID37,AID2191
BID37,AID4024
BID38,AID2305
BID38,AID5548
BID39,AID1849
BID39,AID3077
BID40,AID4057
BID41,AID4445
BID41,AID5053
BID42,AID280
BID43,AID5339
BID44,AID1668
BID45,AID5016
BID46,AID284
BID46,AID5495
BID47,AID4600
BID47,AID4927
BID48,AID3385
BID48,AID3997
BID49,AID1883
BID49,AID5557
BID50,AID1173
BID50,AID2297
BID51,AID1376
BID52,AID1160
BID53,AID2621
BID53,AID3866
BID54,AID4595
BID54,AID4994
BID55,AID2007
BID56,AID111
BID56,AID3796
BID57,AID5794
BID57,AID749
BID58,AID1001
BID58,AID1627
BID59,AID1637
BID59,AID4823
BID60,AID1981
BID61,AID1982
BID61,AID2401
BID62,AID723
BID63,AID2449
BID64,AID2714
BID64,AID5670
BID65,AID1178
BID65,AID2403
BID66,AID1096
BID67,AID3560
BID68,AID1963
BID68,AID3574
BID69,AID4819
BID70,AID1142
BID71,AID3437
BID72,AID3604
BID72,AID4027
BID73,AID4449
BID74,AID3969
BID75,AID3329
BID75,AID3364
BID76,AID4090
BID76,AID4677
BID77,AID1405
BID77,AID3011
BID78,AID5580
BID79,AID3489
BID80,AID2282
BID80,AID3984
BID81,AID2127
BID81,AID4746
BID82,AID4578
BID83,AID3453
BID83,AID5431
BID84,AID20
BID85,AID1159
BID86,AID2927
BID87,AID4507
BID88,AID3773
BID88,AID4416
BID89,AID179
BID89,AID5030
BID90,AID1868
BID90,AID373
BID91,AID1419
BID92,AID1974
BID93,AID5632
BID94,AID2163
BID94,AID4033
BID95,AID3932
BID95,AID763
BID96,AID4320
BID96,AID4800
BID97,AID4641
BID98,AID5434
BID98,AID5436
BID99,AID4353
BID100,AID3638
BID100,AID4121
BID101,AID2717
BID102,AID5559
BID102,AID5639
BID103,AID404
BID104,AID2607
BID105,AID2561
BID105,AID3850
BID106,AID1115
BID106,AID2330
BID107,AID1696
BID107,AID3868
BID108,AID1029
BID109,AID3697
BID110,AID183
BID111,AID1087
BID111,AID3341
BID112,AID3865
BID112,AID5470
BID113,AID1358
BID113,AID1902
BID114,AID4950
BID114,AID5893
BID115,AID2158
BID116,AID5293
BID116,AID68
BID117,AID5105
BID118,AID2385
BID118,AID5068
BID119,AID1037
BID119,AID1888
BID120,AID2422
BID120,AID5173
BID121,AID1846
BID121,AID3723
BID122,AID5107
BID122,AID5445
BID123,AID812
BID124,AID4026
BID125,AID1337
BID125,AID3203
BID126,AID4412
BID126,AID5138
BID127,AID499
BID127,AID5350
BID128,AID5531
BID128,AID836
BID129,AID98
BID130,AID5979
BID131,AID226
BID131,AID625
BID132,AID4037
BID132,AID525
BID133,AID3165
BID133,AID5484
BID134,AID2622
BID134,AID5116
BID135,AID572
BID136,AID3643
BID136,AID4048
BID137,AID3234
BID137,AID5681
BID138,AID5769
BID139,AID1460
BID139,AID3252
BID140,AID2740
BID140,AID2936
BID141,AID2502
BID141,AID5117
BID142,AID53
BID143,AID3437
BID143,AID3560
BID144,AID5700
BID145,AID5006
BID145,AID949
BID146,AID766
BID147,AID106
BID148,AID2397
BID149,AID2560
BID149,AID5828
BID150,AID4517
BID151,AID3284
BID152,AID3739
BID153,AID3577
BID153,AID4826
BID154,AID1661
BID155,AID4271
BID156,AID2906
BID157,AID1838
BID157,AID862
BID158,AID4629
BID158,AID5011
BID159,AID2186
BID159,AID656
BID160,AID2561
BID160,AID2900
BID161,AID4246
BID161,AID5486
BID162,AID3350
BID162,AID5894
BID163,AID4268
BID164,AID1253
BID164,AID5213
BID165,AID2932
BID165,AID4972
BID166,AID977
BID167,AID1824
BID168,AID4601
