AID,BID
AID1,BID1626
AID1,BID2218
AID1,BID2460
AID2,BID1159
AID2,BID1265
AID2,BID200
AID3,BID2939
AID3,BID939
AID3,BID970
AID4,BID15
AID4,BID1519
AID4,BID375
AID5,BID1418
AID5,BID2238
AID5,BID61
AID6,BID1630
AID6,BID271
AID6,BID2912
AID7,BID1311
AID7,BID2056
AID7,BID2879
AID8,BID1363
AID8,BID1749
AID8,BID833
AID9,BID1652
AID9,BID2757
AID9,BID767
AID10,BID113
AID10,BID1232
AID10,BID141
AID11,BID1789
AID11,BID2498
AID11,BID2748
AID12,BID2701
AID12,BID2740
AID12,BID505
AID13,BID1287
AID13,BID2318
AID13,BID2673
AID14,BID1013
AID14,BID2575
AID14,BID2635
AID15,BID1086
AID15,BID1311
AID15,BID2818
AID16,BID1783
AID16,BID1973
AID16,BID884
AID17,BID2416
AID17,BID547
AID17,BID931
AID18,BID2382
AID18,BID2405
AID18,BID310
AID19,BID1648
AID19,BID499
AID19,BID761
AID20,BID1832
AID20,BID809
AID20,BID83
AID21,BID2704
AID21,BID2707
AID21,BID6
AID22,BID1282
AID22,BID2535
AID22,BID2890
AID23,BID1257
AID23,BID243
AID23,BID2604
AID24,BID1939
AID24,BID237
AID24,BID340
AID25,BID1808
AID25,BID621
AID25,BID657
AID26,BID1470
AID26,BID1793
AID26,BID2225
AID27,BID1530
AID27,BID1702
AID27,BID650
AID28,BID1694
AID28,BID2780
AID28,BID731
AID29,BID1383
AID29,BID1611
AID29,BID645
AID30,BID2508
AID30,BID34
AID30,BID38
AID31,BID1424
AID31,BID237
AID31,BID608
AID32,BID1597
AID32,BID2537
AID32,BID520
AID33,BID1031
AID33,BID1220
AID33,BID2818
AID34,BID466
AID34,BID624
AID34,BID695
AID35,BID1012
AID35,BID582
AID35,BID752
AID36,BID1406
AID36,BID252
AID36,BID517
AID37,BID1848
AID37,BID2445
AID37,BID703
AID38,BID1413
AID38,BID2935
AID38,BID957
AID39,BID1698
AID39,BID1808
AID39,BID673
AID40,BID1110
AID40,BID2416
AID40,BID506
AID41,BID1008
AID41,BID2756
AID41,BID2945
AID42,BID2609
AID42,BID488
AID42,BID817
AID43,BID1855
AID43,BID2058
AID43,BID2764
AID44,BID1056
AID44,BID1073
AID44,BID2972
AID45,BID1779
AID45,BID216
AID45,BID54
AID46,BID1864
AID46,BID1936
AID46,BID82
AID47,BID1399
AID47,BID2650
AID47,BID2994
AID48,BID1252
AID48,BID2008
AID48,BID2903
AID49,BID1219
AID49,BID2729
AID49,BID787
AID50,BID2004
AID50,BID269
AID50,BID789
AID51,BID1285
AID51,BID21
AID51,BID2457
AID52,BID561
AID52,BID72
AID52,BID757
AID53,BID1386
AID53,BID2754
AID53,BID2891
AID54,BID1289
AID54,BID2756
AID54,BID691
AID55,BID1572
AID55,BID404
AID55,BID98
AID56,BID1083
AID56,BID2377
AID56,BID776
AID57,BID1190
AID57,BID303
AID57,BID493
AID58,BID2077
AID58,BID51
AID58,BID920
AID59,BID1663
AID59,BID2086
AID59,BID2638
AID60,BID2187
AID60,BID2805
AID60,BID416
AID61,BID138
AID61,BID1750
AID61,BID608
AID62,BID1240
AID62,BID2240
AID62,BID2679
AID63,BID1353
AID63,BID270
AID63,BID364
AID64,BID1274
AID64,BID1640
AID64,BID40
AID65,BID1828
AID65,BID1831
AID65,BID331
AID66,BID1122
AID66,BID1501
AID66,BID970
AID67,BID1744
AID67,BID2370
AID67,BID2540
AID68,BID1286
AID68,BID2604
AID68,BID2741
AID69,BID237
AID69,BID2489
AID69,BID2979
AID70,BID1546
AID70,BID1592
AID70,BID696
AID71,BID2412
AID71,BID667
AID71,BID938
AID72,BID136
AID72,BID2102
AID72,BID2968
AID73,BID1591
AID73,BID2445
AID73,BID645
AID74,BID1383
AID74,BID2512
AID74,BID2571
AID75,BID2820
AID75,BID55
AID75,BID988
AID76,BID2931
AID76,BID463
AID76,BID880
AID77,BID1100
AID77,BID1511
AID77,BID80
AID78,BID2627
AID78,BID2665
AID78,BID2884
AID79,BID2432
AID79,BID2541
AID79,BID2952
AID80,BID1710
AID80,BID690
AID80,BID944
AID81,BID119
AID81,BID2212
AID81,BID2466
AID82,BID2484
AID82,BID2561
AID82,BID714
AID83,BID1944
AID83,BID2991
AID83,BID659
AID84,BID1203
AID84,BID745
AID84,BID862
AID85,BID2214
AID85,BID2638
AID85,BID436
AID86,BID2651
AID86,BID553
AID86,BID891
AID87,BID2648
AID87,BID2663
AID87,BID67
AID88,BID1350
AID88,BID1568
AID88,BID1661
AID89,BID2140
AID89,BID2839
AID89,BID2852
AID90,BID1360
AID90,BID1956
AID90,BID881
AID91,BID1590
AID91,BID170
AID91,BID2372
AID92,BID1115
AID92,BID1833
AID92,BID2918
AID93,BID2367
AID93,BID2647
AID93,BID520
AID94,BID1905
AID94,BID2621
AID94,BID616
AID95,BID1086
AID95,BID2266
