"AID","DID"
"AID1","DID1136"
"AID1","DID1940"
"AID1","DID2873"
"AID1","DID1467"
"AID1","DID1598"
"AID1","DID945"
"AID1","DID733"
"AID2","DID1831"
"AID2","DID2323"
"AID2","DID2712"
"AID2","DID659"
"AID3","DID79"
"AID3","DID1042"
"AID3","DID1055"
"AID3","DID1442"
"AID3","DID1491"
"AID3","DID1933"
"AID3","DID2119"
"AID3","DID2869"
"AID3","DID354"
"AID3","DID1116"
"AID3","DID2342"
"AID3","DID1100"
"AID3","DID1827"
"AID3","DID2321"
"AID3","DID260"
"AID3","DID2681"
"AID3","DID2989"
"AID3","DID80"
"AID3","DID603"
"AID3","DID1080"
"AID3","DID1890"
"AID3","DID147"
"AID3","DID1451"
"AID3","DID1756"
"AID3","DID667"
"AID3","DID1654"
"AID3","DID2053"
"AID3","DID2095"
"AID3","DID2493"
"AID3","DID264"
"AID3","DID2910"
"AID3","DID800"
"AID3","DID1163"
"AID3","DID1283"
"AID3","DID1360"
"AID3","DID1527"
"AID3","DID177"
"AID3","DID2320"
"AID3","DID2836"
"AID3","DID348"
"AID4","DID1151"
"AID4","DID1334"
"AID4","DID135"
"AID4","DID2661"
"AID4","DID427"
"AID4","DID674"
"AID4","DID1838"
"AID4","DID2232"
"AID4","DID2478"
"AID4","DID341"
"AID4","DID90"
"AID5","DID1021"
"AID5","DID1483"
"AID5","DID1554"
"AID5","DID181"
"AID5","DID2094"
"AID5","DID690"
"AID5","DID1279"
"AID5","DID1813"
"AID5","DID2554"
"AID5","DID2772"
"AID5","DID2672"
"AID5","DID413"
"AID5","DID1060"
"AID5","DID2087"
"AID5","DID2164"
"AID5","DID2644"
"AID5","DID2758"
"AID5","DID324"
"AID5","DID959"
"AID5","DID2125"
"AID5","DID2823"
"AID5","DID494"
"AID5","DID987"
"AID5","DID1185"
"AID5","DID2649"
"AID5","DID58"
"AID5","DID83"
"AID6","DID402"
"AID6","DID782"
"AID6","DID2068"
"AID6","DID2871"
"AID6","DID1233"
"AID6","DID1646"
"AID6","DID1909"
"AID6","DID2872"
"AID6","DID725"
"AID6","DID855"
"AID6","DID1412"
"AID6","DID158"
"AID6","DID1809"
"AID6","DID25"
"AID7","DID1004"
"AID7","DID1146"
"AID7","DID322"
"AID7","DID1037"
"AID7","DID2150"
"AID7","DID342"
"AID7","DID1021"
"AID7","DID2578"
"AID7","DID933"
"AID7","DID1065"
"AID7","DID144"
"AID7","DID1644"
"AID7","DID2018"
"AID7","DID2196"
"AID7","DID2459"
"AID7","DID823"
"AID7","DID1126"
"AID7","DID1510"
"AID7","DID508"
"AID7","DID932"
"AID7","DID1172"
"AID7","DID1984"
"AID7","DID2270"
"AID7","DID2415"
"AID7","DID2813"
"AID7","DID2822"
"AID7","DID349"
"AID8","DID1257"
"AID8","DID1593"
"AID8","DID1749"
"AID8","DID1884"
"AID8","DID940"
"AID8","DID10"
"AID8","DID1047"
"AID8","DID1501"
"AID8","DID1761"
"AID8","DID2669"
"AID8","DID826"
"AID8","DID1263"
"AID8","DID1308"
"AID8","DID1480"
"AID8","DID1671"
"AID8","DID2139"
"AID8","DID478"
"AID8","DID499"
"AID8","DID859"
"AID8","DID1102"
"AID8","DID1634"
"AID8","DID1972"
"AID8","DID2608"
"AID8","DID2709"
"AID8","DID847"
"AID8","DID1505"
"AID8","DID258"
"AID8","DID366"
"AID8","DID615"
"AID8","DID756"
"AID8","DID1035"
"AID8","DID2293"
"AID8","DID2563"
"AID8","DID2660"
"AID8","DID2819"
"AID8","DID2996"
"AID8","DID997"
"AID8","DID2224"
"AID8","DID2801"
"AID8","DID815"
"AID8","DID1228"
"AID8","DID1373"
"AID8","DID1666"
"AID8","DID888"
"AID8","DID922"
"AID8","DID1812"
"AID8","DID2316"
"AID8","DID2381"
"AID9","DID2107"
"AID9","DID753"
"AID9","DID1058"
"AID9","DID592"
"AID9","DID2718"
"AID9","DID1660"
"AID9","DID191"
"AID9","DID2657"
"AID9","DID54"
"AID9","DID1144"
"AID9","DID1153"
"AID9","DID1228"
"AID9","DID420"
"AID9","DID528"
"AID11","DID2781"
"AID11","DID685"
"AID11","DID857"
"AID11","DID523"
"AID11","DID808"
"AID11","DID1065"
"AID11","DID2068"
"AID11","DID524"
"AID11","DID730"
"AID11","DID569"
"AID11","DID1315"
"AID11","DID1008"
"AID11","DID1965"
"AID11","DID1977"
"AID11","DID2789"
"AID11","DID627"
"AID11","DID960"
"AID11","DID1995"
"AID11","DID205"
