"AID","DID"
"AID60","DID1019"
"AID1669","DID1019"
"AID2120","DID1019"
"AID2451","DID1019"
"AID2703","DID1019"
"AID2347","DID1019"
"AID1199","DID1019"
"AID1537","DID1019"
"AID1813","DID1019"
"AID1034","DID1019"
"AID1481","DID1019"
"AID1742","DID1019"
"AID2421","DID1019"
"AID60","DID1110"
"AID1669","DID1110"
"AID2120","DID1110"
"AID2451","DID1110"
"AID2703","DID1110"
"AID2347","DID1110"
"AID1199","DID1110"
"AID1537","DID1110"
"AID1813","DID1110"
"AID1034","DID1110"
"AID1481","DID1110"
"AID1742","DID1110"
"AID2421","DID1110"
"AID60","DID135"
"AID1669","DID135"
"AID2120","DID135"
"AID2451","DID135"
"AID2703","DID135"
"AID2347","DID135"
"AID1199","DID135"
"AID1537","DID135"
"AID1813","DID135"
"AID1034","DID135"
"AID1481","DID135"
"AID1742","DID135"
"AID2421","DID135"
"AID60","DID18"
"AID1669","DID18"
"AID2120","DID18"
"AID2451","DID18"
"AID2703","DID18"
"AID2347","DID18"
"AID1199","DID18"
"AID1537","DID18"
"AID1813","DID18"
"AID1034","DID18"
"AID1481","DID18"
"AID1742","DID18"
"AID2421","DID18"
"AID60","DID344"
"AID1669","DID344"
"AID2120","DID344"
"AID2451","DID344"
"AID2703","DID344"
"AID2347","DID344"
"AID1199","DID344"
"AID1537","DID344"
"AID1813","DID344"
"AID1034","DID344"
"AID1481","DID344"
"AID1742","DID344"
"AID2421","DID344"
"AID60","DID741"
"AID1669","DID741"
"AID2120","DID741"
"AID2451","DID741"
"AID2703","DID741"
"AID2347","DID741"
"AID1199","DID741"
"AID1537","DID741"
"AID1813","DID741"
"AID1034","DID741"
"AID1481","DID741"
"AID1742","DID741"
"AID2421","DID741"
"AID324","DID1150"
"AID2822","DID1150"
"AID786","DID1150"
"AID1615","DID1150"
"AID1695","DID1150"
"AID1846","DID1150"
"AID2066","DID1150"
"AID2890","DID1150"
"AID2166","DID1150"
"AID675","DID1150"
"AID794","DID1150"
"AID2143","DID1150"
"AID324","DID1285"
"AID2822","DID1285"
"AID786","DID1285"
"AID1615","DID1285"
"AID1695","DID1285"
"AID1846","DID1285"
"AID2066","DID1285"
"AID2890","DID1285"
"AID2166","DID1285"
"AID675","DID1285"
"AID794","DID1285"
"AID2143","DID1285"
"AID324","DID1463"
"AID2822","DID1463"
"AID786","DID1463"
"AID1615","DID1463"
"AID1695","DID1463"
"AID1846","DID1463"
"AID2066","DID1463"
"AID2890","DID1463"
"AID2166","DID1463"
"AID675","DID1463"
"AID794","DID1463"
"AID2143","DID1463"
"AID324","DID764"
"AID2822","DID764"
"AID786","DID764"
"AID1615","DID764"
"AID1695","DID764"
"AID1846","DID764"
"AID2066","DID764"
"AID2890","DID764"
"AID2166","DID764"
"AID675","DID764"
"AID794","DID764"
"AID2143","DID764"
"AID324","DID892"
"AID2822","DID892"
"AID786","DID892"
"AID1615","DID892"
"AID1695","DID892"
"AID1846","DID892"
"AID2066","DID892"
"AID2890","DID892"
"AID2166","DID892"
"AID675","DID892"
"AID794","DID892"
"AID2143","DID892"
"AID324","DID953"
"AID2822","DID953"
"AID786","DID953"
"AID1615","DID953"
"AID1695","DID953"
"AID1846","DID953"
"AID2066","DID953"
"AID2890","DID953"
"AID2166","DID953"
"AID675","DID953"
"AID794","DID953"
"AID2143","DID953"
"AID66","DID1086"
"AID131","DID1086"
"AID859","DID1086"
"AID964","DID1086"
"AID1413","DID1086"
"AID2773","DID1086"
"AID308","DID1086"
"AID1640","DID1086"
"AID2544","DID1086"
"AID2922","DID1086"
"AID569","DID1086"
"AID1767","DID1086"
"AID2042","DID1086"
"AID82","DID1086"
"AID1672","DID1086"
"AID2041","DID1086"
"AID583","DID1086"
"AID1065","DID1086"
"AID1471","DID1086"
"AID1831","DID1086"
"AID2982","DID1086"
"AID66","DID1099"
"AID131","DID1099"
"AID859","DID1099"
"AID964","DID1099"
"AID1413","DID1099"
"AID2773","DID1099"
"AID308","DID1099"
"AID1640","DID1099"
"AID2544","DID1099"
"AID2922","DID1099"
"AID569","DID1099"
"AID1767","DID1099"
"AID2042","DID1099"
"AID82","DID1099"
"AID1672","DID1099"
"AID2041","DID1099"
"AID583","DID1099"
"AID1065","DID1099"
"AID1471","DID1099"
"AID1831","DID1099"
"AID2982","DID1099"
"AID66","DID1138"
"AID131","DID1138"
"AID859","DID1138"
"AID964","DID1138"
"AID1413","DID1138"
"AID2773","DID1138"
"AID308","DID1138"
"AID1640","DID1138"
"AID2544","DID1138"
"AID2922","DID1138"
"AID569","DID1138"
"AID1767","DID1138"
"AID2042","DID1138"
"AID82","DID1138"
"AID1672","DID1138"
"AID2041","DID1138"
"AID583","DID1138"
"AID1065","DID1138"
"AID1471","DID1138"
"AID1831","DID1138"
"AID2982","DID1138"
"AID66","DID1228"
"AID131","DID1228"
"AID859","DID1228"
"AID964","DID1228"
"AID1413","DID1228"
"AID2773","DID1228"
"AID308","DID1228"
"AID1640","DID1228"
"AID2544","DID1228"
"AID2922","DID1228"
"AID569","DID1228"
"AID1767","DID1228"
"AID2042","DID1228"
"AID82","DID1228"
"AID1672","DID1228"
"AID2041","DID1228"
"AID583","DID1228"
"AID1065","DID1228"
"AID1471","DID1228"
"AID1831","DID1228"
"AID2982","DID1228"
"AID66","DID275"
"AID131","DID275"
"AID859","DID275"
"AID964","DID275"
"AID1413","DID275"
"AID2773","DID275"
"AID308","DID275"
"AID1640","DID275"
"AID2544","DID275"
"AID2922","DID275"
"AID569","DID275"
"AID1767","DID275"
"AID2042","DID275"
"AID82","DID275"
"AID1672","DID275"
"AID2041","DID275"
"AID583","DID275"
"AID1065","DID275"
"AID1471","DID275"
"AID1831","DID275"
"AID2982","DID275"
"AID66","DID994"
"AID131","DID994"
"AID859","DID994"
"AID964","DID994"
"AID1413","DID994"
"AID2773","DID994"
"AID308","DID994"
"AID1640","DID994"
"AID2544","DID994"
"AID2922","DID994"
"AID569","DID994"
"AID1767","DID994"
"AID2042","DID994"
"AID82","DID994"
"AID1672","DID994"
"AID2041","DID994"
"AID583","DID994"
"AID1065","DID994"
"AID1471","DID994"
"AID1831","DID994"
"AID2982","DID994"
"AID1101","DID1125"
"AID2602","DID1125"
"AID1333","DID1125"
"AID2169","DID1125"
"AID1572","DID1125"
"AID1659","DID1125"
"AID1710","DID1125"
"AID2075","DID1125"
"AID1101","DID187"
"AID2602","DID187"
"AID1333","DID187"
"AID2169","DID187"
"AID1572","DID187"
"AID1659","DID187"
"AID1710","DID187"
"AID2075","DID187"
"AID1101","DID528"
"AID2602","DID528"
"AID1333","DID528"
"AID2169","DID528"
"AID1572","DID528"
"AID1659","DID528"
"AID1710","DID528"
"AID2075","DID528"
"AID1101","DID815"
"AID2602","DID815"
"AID1333","DID815"
"AID2169","DID815"
"AID1572","DID815"
"AID1659","DID815"
"AID1710","DID815"
"AID2075","DID815"
"AID1101","DID851"
"AID2602","DID851"
"AID1333","DID851"
"AID2169","DID851"
"AID1572","DID851"
"AID1659","DID851"
"AID1710","DID851"
"AID2075","DID851"
"AID2586","DID1088"
"AID2830","DID1088"
"AID29","DID1088"
"AID784","DID1088"
"AID640","DID1088"
"AID1564","DID1088"
"AID1313","DID1088"
"AID1561","DID1088"
