"AID","CID"
"AID1","CID1441"
"AID2","CID257"
"AID2","CID39"
"AID2","CID317"
"AID2","CID454"
"AID2","CID913"
"AID2","CID327"
"AID2","CID791"
"AID2","CID1015"
"AID2","CID734"
"AID3","CID27"
"AID3","CID884"
"AID3","CID293"
"AID3","CID318"
"AID3","CID53"
"AID3","CID1464"
"AID4","CID115"
"AID4","CID383"
"AID4","CID410"
"AID4","CID575"
"AID4","CID1122"
"AID4","CID1335"
"AID5","CID391"
"AID5","CID1182"
"AID5","CID1260"
"AID5","CID506"
"AID5","CID841"
"AID5","CID1026"
"AID5","CID1351"
"AID6","CID28"
"AID6","CID1158"
"AID6","CID88"
"AID6","CID854"
"AID7","CID812"
"AID7","CID1007"
"AID7","CID1077"
"AID7","CID522"
"AID7","CID544"
"AID7","CID46"
"AID7","CID140"
"AID7","CID373"
"AID7","CID156"
"AID8","CID121"
"AID8","CID625"
"AID8","CID1236"
"AID8","CID1293"
"AID8","CID1489"
"AID8","CID812"
"AID8","CID831"
"AID8","CID959"
"AID8","CID5"
"AID9","CID368"
"AID9","CID846"
"AID9","CID942"
"AID10","CID653"
"AID11","CID817"
"AID11","CID1400"
"AID11","CID168"
"AID11","CID745"
"AID11","CID371"
"AID11","CID933"
"AID11","CID1465"
"AID12","CID258"
"AID13","CID403"
"AID13","CID942"
"AID13","CID1032"
"AID14","CID900"
"AID14","CID159"
"AID14","CID717"
"AID15","CID91"
"AID15","CID125"
"AID15","CID212"
"AID16","CID648"
"AID16","CID1003"
"AID16","CID1348"
"AID16","CID1128"
"AID16","CID1147"
"AID16","CID1268"
"AID17","CID32"
"AID17","CID273"
"AID18","CID1228"
"AID18","CID82"
"AID18","CID981"
"AID19","CID892"
"AID19","CID458"
"AID19","CID477"
"AID19","CID1216"
"AID20","CID176"
"AID20","CID576"
"AID20","CID639"
"AID20","CID550"
"AID20","CID600"
"AID20","CID890"
"AID20","CID1212"
"AID21","CID577"
"AID21","CID810"
"AID21","CID1180"
"AID21","CID264"
"AID21","CID810"
"AID21","CID981"
"AID21","CID201"
"AID21","CID390"
