"AID","CID"
"AID2718","CID1"
"AID1608","CID1"
"AID5609","CID1"
"AID618","CID1"
"AID3307","CID1"
"AID4937","CID1"
"AID5453","CID1"
"AID3977","CID1"
"AID4938","CID1"
"AID5148","CID1"
"AID563","CID2"
"AID2013","CID2"
"AID1638","CID2"
"AID2084","CID2"
"AID3291","CID2"
"AID1810","CID2"
"AID151","CID2"
"AID2710","CID2"
"AID2892","CID3"
"AID1245","CID3"
"AID525","CID3"
"AID1028","CID3"
"AID4476","CID3"
"AID416","CID3"
"AID3340","CID4"
"AID4223","CID4"
"AID2418","CID4"
"AID342","CID5"
"AID2984","CID5"
"AID179","CID5"
"AID759","CID5"
"AID5729","CID5"
"AID2892","CID5"
"AID4503","CID5"
"AID4965","CID5"
"AID2709","CID6"
"AID2807","CID6"
"AID4516","CID6"
"AID5088","CID6"
"AID775","CID6"
"AID1804","CID6"
"AID2850","CID6"
"AID1673","CID6"
"AID2650","CID6"
"AID4077","CID6"
"AID794","CID6"
"AID1536","CID6"
"AID1743","CID6"
"AID4697","CID6"
"AID4749","CID6"
"AID716","CID7"
"AID2317","CID7"
"AID2413","CID7"
"AID3740","CID7"
"AID1490","CID7"
"AID1322","CID7"
"AID3436","CID7"
"AID1272","CID8"
"AID1275","CID8"
"AID1741","CID8"
"AID4143","CID8"
"AID4347","CID8"
"AID4274","CID8"
"AID5092","CID8"
"AID2462","CID8"
"AID2568","CID8"
"AID3098","CID8"
"AID5254","CID8"
"AID3411","CID9"
"AID1835","CID9"
"AID2575","CID9"
"AID1339","CID9"
"AID4166","CID9"
"AID4800","CID9"
"AID857","CID9"
"AID1831","CID9"
"AID5283","CID9"
"AID4945","CID10"
"AID2670","CID10"
"AID2866","CID10"
"AID4505","CID10"
"AID26","CID11"
"AID666","CID11"
"AID994","CID11"
"AID2518","CID11"
"AID4613","CID11"
"AID169","CID11"
"AID2665","CID11"
"AID2364","CID11"
"AID4854","CID11"
"AID1120","CID11"
"AID4045","CID11"
