BID,BAUTHOR
BID1,Alex
BID2,Jane
BID3,Caleb
BID4,Alex
BID5,Jane
BID6,Caleb
BID7,Alex
BID8,Jane
BID9,Caleb
BID10,Alex
BID11,Jane
BID12,Caleb
BID13,Alex
BID14,Jane
BID15,Caleb
BID16,Alex
BID17,Jane
BID18,Caleb
BID19,Alex
BID20,Jane
BID21,Caleb
BID22,Alex
BID23,Jane
BID24,Caleb
BID25,Alex
BID26,Jane
BID27,Caleb
BID28,Alex
BID29,Jane
BID30,Caleb
BID31,Alex
BID32,Jane
BID33,Caleb
BID34,Alex
BID35,Jane
BID36,Caleb
BID37,Alex
BID38,Jane
BID39,Caleb
BID40,Alex
BID41,Jane
BID42,Caleb
BID43,Alex
BID44,Jane
BID45,Caleb
BID46,Alex
BID47,Jane
BID48,Caleb
BID49,Alex
BID50,Jane
BID51,Caleb
BID52,Alex
BID53,Jane
BID54,Caleb
BID55,Alex
BID56,Jane
BID57,Caleb
BID58,Alex
BID59,Jane
BID60,Caleb
BID61,Alex
BID62,Jane
BID63,Caleb
BID64,Alex
BID65,Jane
BID66,Caleb
BID67,Alex
BID68,Jane
BID69,Caleb
BID70,Alex
BID71,Jane
BID72,Caleb
BID73,Alex
BID74,Jane
BID75,Caleb
BID76,Alex
BID77,Jane
BID78,Caleb
BID79,Alex
BID80,Jane
BID81,Caleb
BID82,Alex
BID83,Jane
BID84,Caleb
BID85,Alex
BID86,Jane
BID87,Caleb
BID88,Alex
BID89,Jane
BID90,Caleb
BID91,Alex
BID92,Jane
BID93,Caleb
BID94,Alex
BID95,Jane
BID96,Caleb
BID97,Alex
BID98,Jane
BID99,Caleb
BID100,Alex
BID101,Jane
BID102,Caleb
BID103,Alex
BID104,Jane
BID105,Caleb
BID106,Alex
BID107,Jane
BID108,Caleb
BID109,Alex
BID110,Jane
BID111,Caleb
BID112,Alex
BID113,Jane
BID114,Caleb
BID115,Alex
BID116,Jane
BID117,Caleb
BID118,Alex
BID119,Jane
BID120,Caleb
BID121,Alex
BID122,Jane
BID123,Caleb
BID124,Alex
BID125,Jane
BID126,Caleb
BID127,Alex
BID128,Jane
BID129,Caleb
BID130,Alex
BID131,Jane
BID132,Caleb
BID133,Alex
BID134,Jane
BID135,Caleb
BID136,Alex
BID137,Jane
BID138,Caleb
BID139,Alex
BID140,Jane
BID141,Caleb
BID142,Alex
BID143,Jane
BID144,Caleb
BID145,Alex
BID146,Jane
BID147,Caleb
BID148,Alex
BID149,Jane
BID150,Caleb
BID151,Alex
BID152,Jane
BID153,Caleb
BID154,Alex
BID155,Jane
BID156,Caleb
BID157,Alex
BID158,Jane
BID159,Caleb
BID160,Alex
BID161,Jane
BID162,Caleb
BID163,Alex
BID164,Jane
BID165,Caleb
BID166,Alex
BID167,Jane
BID168,Caleb
BID169,Alex
BID170,Jane
BID171,Caleb
BID172,Alex
BID173,Jane
BID174,Caleb
BID175,Alex
BID176,Jane
BID177,Caleb
BID178,Alex
BID179,Jane
BID180,Caleb
BID181,Alex
BID182,Jane
BID183,Caleb
BID184,Alex
BID185,Jane
BID186,Caleb
