CID,BID
CID1,BID2276
CID2,BID2860
CID3,BID2380
CID4,BID1824
CID5,BID424
CID6,BID2792
CID6,BID442
CID7,BID2201
CID7,BID54
CID8,BID575
CID8,BID996
CID9,BID1785
CID10,BID1167
CID10,BID2774
CID11,BID31
CID12,BID34
CID12,BID906
CID13,BID1523
CID13,BID1571
CID14,BID1304
CID14,BID991
CID15,BID171
CID16,BID2826
CID17,BID2445
CID17,BID915
CID18,BID1004
CID18,BID585
CID19,BID336
CID20,BID1287
CID20,BID651
CID21,BID847
CID22,BID1044
CID22,BID645
CID23,BID614
CID24,BID1857
CID25,BID1065
CID25,BID505
CID26,BID1550
CID26,BID2983
CID27,BID26
CID28,BID1643
CID28,BID1963
CID29,BID721
CID30,BID1304
CID31,BID1920
CID31,BID2471
CID32,BID265
CID33,BID396
CID34,BID612
CID34,BID801
CID35,BID20
CID35,BID2692
CID36,BID1818
CID37,BID335
CID37,BID827
CID38,BID1971
CID38,BID2855
CID39,BID1435
CID39,BID1444
CID40,BID2680
CID41,BID1933
CID41,BID597
CID42,BID1242
CID42,BID2287
CID43,BID1993
CID43,BID39
CID44,BID395
CID45,BID332
CID46,BID804
CID47,BID1080
CID47,BID2413
CID48,BID2005
CID49,BID1876
CID50,BID143
CID50,BID2264
CID51,BID2864
CID52,BID742
CID52,BID944
CID53,BID1661
CID53,BID2965
CID54,BID1425
CID55,BID821
CID56,BID2287
CID57,BID1482
CID58,BID732
CID59,BID115
CID59,BID206
CID60,BID199
CID61,BID1687
CID61,BID315
CID62,BID144
CID63,BID1384
CID63,BID2000
CID64,BID1463
CID64,BID784
CID65,BID1077
CID65,BID1356
CID66,BID2703
CID66,BID2706
CID67,BID303
CID68,BID639
CID68,BID914
CID69,BID2240
CID69,BID2542
CID70,BID1008
CID71,BID135
CID72,BID1024
CID72,BID1958
CID73,BID1323
CID73,BID2031
CID74,BID1393
CID75,BID1381
CID76,BID1815
CID76,BID2736
CID77,BID1371
CID77,BID2342
CID78,BID1075
CID78,BID2789
CID79,BID1750
CID80,BID1677
CID81,BID1794
CID81,BID753
CID82,BID187
CID82,BID2564
CID83,BID1967
CID84,BID1784
CID84,BID2854
CID85,BID1130
CID86,BID1598
CID86,BID2577
CID87,BID2065
CID87,BID2410
CID88,BID2846
CID89,BID1296
CID90,BID976
CID91,BID747
CID92,BID2229
CID93,BID1470
CID94,BID2168
CID95,BID2264
CID95,BID41
CID96,BID1257
CID97,BID2053
CID97,BID685
CID98,BID1777
CID98,BID2992
CID99,BID1355
CID99,BID2097
CID100,BID100
CID100,BID1582
CID101,BID928
CID102,BID1075
CID102,BID1518
CID103,BID514
CID104,BID2377
CID104,BID2978
CID105,BID1703
CID106,BID1191
CID107,BID1634
CID108,BID960
CID109,BID1774
CID110,BID1614
CID110,BID1884
CID111,BID1694
CID112,BID1635
CID113,BID1010
CID114,BID403
CID115,BID1231
CID115,BID1793
CID116,BID342
CID117,BID1263
CID118,BID1
CID119,BID2838
CID119,BID817
CID120,BID596
CID121,BID2423
CID121,BID915
CID122,BID1058
CID122,BID403
CID123,BID2535
CID123,BID2992
CID124,BID128
CID125,BID2734
CID125,BID2805
CID126,BID1945
CID126,BID470
CID127,BID984
CID128,BID1015
CID128,BID74
CID129,BID1213
CID130,BID1373
CID130,BID875
CID131,BID1567
CID131,BID2090
CID132,BID13
CID133,BID182
CID133,BID1874
CID134,BID1517
CID134,BID293
CID135,BID2927
CID136,BID904
CID137,BID2043
CID138,BID835
CID139,BID1770
CID140,BID1763
CID140,BID840
CID141,BID1067
CID142,BID2874
CID143,BID2657
CID143,BID73
CID144,BID1790
CID145,BID1241
CID145,BID2994
CID146,BID2507
CID147,BID273
CID147,BID42
CID148,BID307
CID149,BID314
CID150,BID354
CID150,BID466
CID151,BID2619
CID151,BID356
CID152,BID1199
CID152,BID2413
CID153,BID1406
CID153,BID157
CID154,BID1538
CID154,BID1914
CID155,BID2524
CID156,BID252
CID157,BID365
CID158,BID2170
CID159,BID1317
CID159,BID2767
CID160,BID1255
CID160,BID706
CID161,BID1366
CID162,BID1138
CID162,BID833
