BID,CID
BID1,CID316
BID1,CID5381
BID1,CID6919
BID2,CID1730
BID2,CID2668
BID2,CID2932
BID2,CID4661
BID2,CID6646
BID2,CID7745
BID3,CID2636
BID3,CID360
BID3,CID3913
BID3,CID4470
BID3,CID4861
BID3,CID584
BID3,CID5996
BID4,CID6327
BID4,CID6953
BID5,CID1673
BID5,CID3903
BID5,CID6007
BID5,CID6280
BID5,CID8323
BID6,CID476
BID6,CID5985
BID7,CID2484
BID8,CID1051
BID8,CID2595
BID8,CID2995
BID8,CID7165
BID9,CID7098
BID10,CID5391
BID10,CID6229
BID10,CID6540
BID10,CID680
BID10,CID8149
BID10,CID8447
BID10,CID940
BID11,CID5145
BID11,CID5430
BID11,CID6833
BID12,CID5417
BID12,CID565
BID12,CID825
BID13,CID1038
BID13,CID2213
BID13,CID4519
BID13,CID6565
BID14,CID1229
BID14,CID1793
BID14,CID4885
BID14,CID5396
BID14,CID7168
BID14,CID739
BID14,CID8601
BID15,CID1405
BID15,CID4372
BID15,CID4829
BID15,CID4875
BID15,CID5675
BID15,CID81
BID16,CID3325
BID16,CID7001
BID17,CID1794
BID17,CID5776
BID17,CID5938
BID17,CID7613
BID18,CID5420
BID18,CID545
BID18,CID6638
BID18,CID7308
BID18,CID7767
BID18,CID8511
BID18,CID8697
BID19,CID1615
BID20,CID1575
BID20,CID3367
BID20,CID770
BID20,CID8050
BID20,CID893
BID21,CID8232
BID21,CID954
BID22,CID2686
BID22,CID2869
BID22,CID916
BID23,CID1976
BID23,CID2860
BID23,CID366
BID23,CID4528
BID23,CID7388
BID23,CID922
BID23,CID972
BID24,CID1567
BID24,CID3165
BID25,CID2684
BID26,CID4135
BID26,CID4737
BID26,CID5122
BID27,CID6541
BID27,CID8837
BID28,CID2996
BID28,CID4819
BID28,CID5273
BID28,CID6557
BID28,CID7790
BID28,CID8838
BID28,CID8875
BID29,CID3027
BID29,CID3081
BID29,CID3799
BID29,CID5564
BID29,CID692
BID29,CID8184
BID30,CID1886
BID30,CID2863
BID30,CID3125
BID30,CID7672
BID31,CID1089
BID31,CID1985
BID31,CID2687
BID31,CID4633
BID31,CID7286
BID31,CID8314
BID32,CID5303
BID32,CID8369
BID33,CID2339
BID33,CID49
BID33,CID6612
BID33,CID710
BID34,CID1407
BID34,CID5906
BID34,CID6690
BID34,CID6949
BID34,CID8591
BID35,CID1036
BID35,CID1794
BID35,CID6345
BID35,CID7308
BID35,CID7613
BID35,CID8481
BID36,CID6463
BID37,CID1134
BID37,CID2501
BID37,CID2678
BID37,CID6350
BID37,CID7008
BID37,CID7073
BID37,CID8075
BID38,CID1235
BID38,CID2036
BID38,CID2507
BID38,CID4260
BID39,CID1318
BID39,CID3115
BID39,CID3220
BID39,CID4748
BID39,CID4881
BID39,CID5698
BID40,CID1074
BID40,CID2549
BID40,CID5084
BID40,CID6399
BID40,CID7445
BID40,CID7545
BID40,CID7670
BID41,CID2589
BID41,CID3616
BID41,CID6041
BID41,CID8205
BID42,CID4141
BID42,CID4689
BID42,CID6474
BID42,CID7207
BID42,CID8571
BID43,CID3791
BID44,CID5077
BID44,CID6800
BID45,CID4826
BID45,CID4927
BID45,CID8050
BID46,CID1300
BID46,CID1394
BID46,CID1575
BID46,CID4917
BID46,CID6415
BID46,CID7466
BID46,CID966
BID47,CID1092
BID47,CID4710
BID47,CID7202
BID47,CID761
BID47,CID8000
BID48,CID3267
BID48,CID7703
BID48,CID985
BID49,CID1152
BID49,CID5892
BID50,CID2428
BID50,CID3793
BID51,CID1732
BID51,CID270
BID51,CID3789
BID52,CID1528
BID52,CID269
BID52,CID3146
BID52,CID4230
BID52,CID4420
BID52,CID7322
BID53,CID2384
BID54,CID4398
BID54,CID7186
BID55,CID238
BID55,CID3955
BID55,CID5288
BID55,CID5592
BID55,CID6128
BID55,CID6785
BID56,CID1244
BID56,CID3911
BID56,CID6244
BID56,CID68
BID56,CID7044
BID56,CID7110
BID56,CID873
BID57,CID2990
BID57,CID3297
BID57,CID3923
BID57,CID411
BID57,CID7800
BID57,CID8141
BID58,CID2776
BID58,CID5694
BID58,CID5893
BID59,CID6326
BID59,CID7943
BID60,CID2670
BID60,CID3118
BID60,CID316
BID60,CID6316
BID60,CID7768
BID60,CID8734
BID61,CID3494
BID61,CID3605
BID61,CID5531
BID61,CID6846
BID61,CID7117
BID61,CID8364
BID61,CID8596
BID62,CID1229
BID62,CID2631
BID62,CID3591
BID62,CID6229
BID63,CID2101
BID63,CID2585
BID63,CID5249
BID63,CID7972
BID63,CID8796
BID64,CID271
BID64,CID4942
BID64,CID722
BID64,CID7674
BID64,CID8651
BID64,CID8949
BID65,CID2130
BID65,CID3559
BID65,CID6695
BID65,CID7476
BID65,CID7732
BID65,CID8084
BID66,CID3497
BID66,CID5858
BID67,CID2086
BID67,CID2110
BID67,CID2760
BID67,CID4880
BID67,CID6860
BID67,CID7546
BID67,CID762
BID68,CID1556
BID68,CID2879
BID68,CID3352
BID68,CID3390
BID68,CID5092
BID68,CID5473
BID69,CID3333
BID69,CID39
BID69,CID4271
BID69,CID4708
BID70,CID1059
BID70,CID2893
BID70,CID34
BID70,CID4415
BID70,CID614
BID70,CID7648
BID70,CID8964
BID71,CID6154
BID71,CID6910
BID71,CID8403
BID71,CID8573
BID71,CID8627
BID72,CID2889
BID72,CID3137
BID72,CID5178
BID72,CID6970
BID72,CID7827
BID73,CID958
BID74,CID1103
BID74,CID4349
BID74,CID4910
BID74,CID5190
BID74,CID5377
BID74,CID748
BID74,CID84
BID75,CID1007
BID75,CID2100
BID75,CID5882
BID75,CID6332
BID76,CID1803
BID76,CID2090
BID76,CID3158
BID76,CID4480
BID76,CID4723
BID76,CID5097
BID77,CID2979
BID77,CID3727
BID77,CID3884
BID77,CID4336
BID77,CID7704
BID78,CID3704
BID78,CID371
BID78,CID3818
BID78,CID3828
BID78,CID4440
BID78,CID4501
BID78,CID8646
BID79,CID3629
BID79,CID919
BID80,CID2932
BID80,CID3125
BID80,CID3169
BID80,CID7676
BID80,CID8976
BID81,CID5034
BID81,CID5153
BID81,CID7270
BID81,CID7399
BID82,CID1745
BID82,CID2901
BID82,CID3568
BID82,CID4334
BID82,CID4620
BID82,CID5922
BID82,CID97
BID83,CID1091
BID83,CID1841
BID83,CID4294
BID83,CID6780
BID83,CID7772
BID84,CID1285
BID84,CID1334
BID84,CID2326
BID84,CID2612
BID84,CID2899
BID84,CID7112
BID85,CID2764
BID85,CID509
BID85,CID5090
BID86,CID1995
BID86,CID2761
BID87,CID1726
BID87,CID1733
BID87,CID2067
BID87,CID483
BID88,CID1055
BID88,CID5074
BID88,CID5397
BID88,CID5678
BID88,CID6937
BID88,CID7195
BID88,CID8075
BID89,CID2085
BID89,CID7171
BID90,CID3071
BID91,CID2579
BID91,CID2743
BID91,CID4515
BID91,CID4879
BID91,CID5662
BID91,CID7088
BID92,CID2364
BID92,CID2568
BID92,CID4204
BID92,CID441
BID92,CID6522
BID92,CID8344
BID92,CID8682
BID93,CID2569
BID94,CID5120
BID95,CID1796
BID95,CID2651
BID95,CID5134
BID95,CID6732
BID95,CID7948
BID95,CID87
BID96,CID4856
BID96,CID6553
BID96,CID7362
BID96,CID7614
BID96,CID8691
BID96,CID8912
BID97,CID3454
BID97,CID6706
BID97,CID693
BID97,CID7315
BID97,CID787
BID98,CID1037
BID98,CID1613
BID98,CID4550
BID98,CID65
BID99,CID2138
BID99,CID2203
BID99,CID3366
BID99,CID5814
BID100,CID1691
BID100,CID3860
BID100,CID4138
BID100,CID5657
BID100,CID8666
BID101,CID1570
BID101,CID1764
BID101,CID2792
BID101,CID2935
BID101,CID3334
BID101,CID7117
BID102,CID1750
BID102,CID3331
BID102,CID5506
BID102,CID6537
BID103,CID3819
BID103,CID6407
BID103,CID7601
BID104,CID1143
BID104,CID4921
BID104,CID8062
BID104,CID8686
BID104,CID8835
BID104,CID89
BID105,CID5115
BID105,CID776
BID106,CID208
BID106,CID2351
BID106,CID5566
BID107,CID3880
BID108,CID1569
BID108,CID4689
BID108,CID8077
BID109,CID464
BID109,CID5713
BID110,CID4310
BID111,CID2844
BID111,CID6565
BID111,CID7224
BID112,CID1050
BID113,CID284
BID113,CID8407
BID113,CID8709
BID114,CID3032
BID114,CID3663
BID114,CID3965
BID114,CID5243
BID114,CID7739
BID115,CID672
BID115,CID8260
BID116,CID2461
BID116,CID4203
BID116,CID4652
BID117,CID5051
BID117,CID5312
BID117,CID6516
BID118,CID2313
BID118,CID3914
BID118,CID5212
BID118,CID5741
BID118,CID7154
BID118,CID8542
BID119,CID6436
BID119,CID7
BID119,CID7376
BID119,CID8012
BID119,CID8190
BID120,CID2049
BID120,CID406
BID121,CID2896
BID121,CID3874
BID121,CID4640
BID121,CID985
BID122,CID2802
BID123,CID1147
BID123,CID2842
BID124,CID2788
BID124,CID3213
BID124,CID3656
BID124,CID596
BID124,CID6654
BID124,CID8723
BID125,CID2248
BID125,CID4337
BID125,CID7822
BID126,CID4467
BID126,CID4660
BID127,CID309
BID127,CID3255
BID127,CID4650
BID127,CID5910
BID127,CID6277
BID127,CID8460
BID128,CID1188
BID128,CID3475
BID128,CID3921
BID128,CID5042
BID128,CID775
BID128,CID7762
BID128,CID8363
BID129,CID2122
BID129,CID3772
BID129,CID43
BID129,CID4647
BID129,CID5186
BID129,CID6714
BID130,CID3724
BID130,CID5133
BID130,CID6967
BID131,CID1005
BID131,CID4016
BID131,CID7621
BID131,CID77
BID131,CID8835
BID132,CID285
BID133,CID5533
BID133,CID8813
BID133,CID8918
BID134,CID1076
BID134,CID2572
BID134,CID3722
BID134,CID3789
BID134,CID4145
BID134,CID6835
BID134,CID7652
BID135,CID6115
BID135,CID6264
BID135,CID6573
BID135,CID765
BID136,CID160
BID136,CID3775
BID136,CID4009
BID136,CID6226
BID136,CID6374
BID136,CID676
BID136,CID7791
BID137,CID2214
BID137,CID2313
BID137,CID252
BID137,CID6022
BID137,CID6341
BID137,CID7103
BID137,CID7668
BID138,CID6219
BID139,CID1230
BID139,CID1586
BID139,CID6450
BID139,CID6525
BID140,CID200
BID140,CID6925
BID141,CID1250
BID141,CID2097
BID141,CID2453
BID141,CID2527
BID141,CID3953
BID141,CID654
BID141,CID7965
BID142,CID156
BID142,CID3019
BID142,CID3793
BID142,CID6617
BID142,CID6711
BID142,CID7257
BID143,CID3497
BID143,CID5986
BID144,CID7566
BID145,CID4492
BID145,CID6081
BID145,CID6510
BID145,CID7170
BID146,CID184
BID146,CID305
BID146,CID4904
BID146,CID7746
BID147,CID2059
BID147,CID6545
BID147,CID7839
BID148,CID3563
BID148,CID3832
BID148,CID517
