CID,BID
CID1,BID1250
CID1,BID135
CID2,BID1060
CID2,BID973
CID3,BID51
CID3,BID682
CID4,BID1296
CID4,BID279
CID5,BID1189
CID5,BID1876
CID6,BID1327
CID6,BID1455
CID7,BID280
CID7,BID480
CID8,BID1164
CID8,BID1817
CID9,BID1754
CID9,BID586
CID10,BID1612
CID10,BID1701
CID11,BID406
CID11,BID898
CID12,BID1545
CID12,BID929
CID13,BID1574
CID13,BID937
CID14,BID1181
CID14,BID1421
CID15,BID1651
CID15,BID696
CID16,BID123
CID16,BID623
CID17,BID1066
CID17,BID1522
CID18,BID1701
CID18,BID233
CID19,BID1342
CID19,BID1942
CID20,BID972
CID20,BID996
CID21,BID1521
CID21,BID854
CID22,BID617
CID22,BID902
CID23,BID1205
CID23,BID1283
CID24,BID1071
CID24,BID1553
CID25,BID580
CID25,BID598
CID26,BID1425
CID26,BID1843
CID27,BID884
CID27,BID900
CID28,BID755
CID28,BID899
CID29,BID1200
CID29,BID1462
CID30,BID1188
CID30,BID393
CID31,BID1634
CID31,BID1826
CID32,BID1118
CID32,BID1566
CID33,BID1255
CID33,BID630
CID34,BID1364
CID34,BID727
CID35,BID1462
CID35,BID1488
CID36,BID1290
CID36,BID459
CID37,BID1302
CID37,BID222
CID38,BID1777
CID38,BID455
CID39,BID1017
CID39,BID992
CID40,BID125
CID40,BID439
CID41,BID1295
CID41,BID804
CID42,BID1778
CID42,BID370
CID43,BID310
CID43,BID355
CID44,BID1446
CID44,BID891
CID45,BID1525
CID45,BID339
CID46,BID1343
CID46,BID1551
CID47,BID1716
CID47,BID96
CID48,BID703
CID48,BID783
CID49,BID1620
CID49,BID1854
CID50,BID1400
CID50,BID88
CID51,BID783
CID51,BID831
CID52,BID369
CID52,BID898
CID53,BID1051
CID53,BID850
CID54,BID1767
CID54,BID728
CID55,BID376
CID55,BID666
CID56,BID1180
CID56,BID1671
CID57,BID1715
CID57,BID332
CID58,BID481
CID58,BID853
CID59,BID483
CID59,BID819
CID60,BID352
CID60,BID797
CID61,BID380
CID61,BID521
CID62,BID1150
CID62,BID545
CID63,BID495
CID63,BID870
CID64,BID492
CID64,BID53
CID65,BID434
CID65,BID864
CID66,BID1705
CID66,BID1924
CID67,BID1593
CID67,BID1637
CID68,BID1074
CID68,BID1079
CID69,BID1715
CID69,BID344
CID70,BID1213
CID70,BID173
CID71,BID256
CID71,BID951
CID72,BID1143
CID72,BID922
CID73,BID1031
CID73,BID1648
CID74,BID1639
CID74,BID1682
CID75,BID1743
CID75,BID740
CID76,BID1164
CID76,BID348
CID77,BID127
CID77,BID1438
CID78,BID1079
CID78,BID525
CID79,BID1410
CID79,BID938
CID80,BID1391
CID80,BID617
CID81,BID87
CID81,BID897
CID82,BID1367
CID82,BID2000
CID83,BID169
CID83,BID858
CID84,BID1119
CID84,BID55
CID85,BID1288
CID85,BID1903
CID86,BID1381
CID86,BID656
CID87,BID194
CID87,BID83
CID88,BID1090
CID88,BID1240
CID89,BID286
CID89,BID85
CID90,BID1657
CID90,BID169
CID91,BID1572
CID91,BID765
