"BID","DID"
"BID1434","DID1377"
"BID1685","DID1377"
"BID402","DID1377"
"BID1434","DID1498"
"BID1685","DID1498"
"BID402","DID1498"
"BID1434","DID177"
"BID1685","DID177"
"BID402","DID177"
"BID1434","DID331"
"BID1685","DID331"
"BID402","DID331"
"BID1434","DID366"
"BID1685","DID366"
"BID402","DID366"
"BID1434","DID462"
"BID1685","DID462"
"BID402","DID462"
"BID1022","DID1186"
"BID489","DID1186"
"BID596","DID1186"
"BID1022","DID323"
"BID489","DID323"
"BID596","DID323"
"BID1022","DID760"
"BID489","DID760"
"BID596","DID760"
"BID1279","DID1282"
"BID1469","DID1282"
"BID1931","DID1282"
"BID1279","DID1341"
"BID1469","DID1341"
"BID1931","DID1341"
"BID1279","DID223"
"BID1469","DID223"
"BID1931","DID223"
"BID2026","DID1048"
"BID2053","DID1048"
"BID2095","DID1048"
"BID2026","DID1244"
"BID2053","DID1244"
"BID2095","DID1244"
"BID2026","DID1352"
"BID2053","DID1352"
"BID2095","DID1352"
"BID2026","DID1365"
"BID2053","DID1365"
"BID2095","DID1365"
"BID2026","DID447"
"BID2053","DID447"
"BID2095","DID447"
"BID2026","DID784"
"BID2053","DID784"
"BID2095","DID784"
"BID2026","DID900"
"BID2053","DID900"
"BID2095","DID900"
"BID1157","DID1037"
"BID1750","DID1037"
"BID1802","DID1037"
"BID2655","DID1037"
"BID423","DID1037"
"BID854","DID1037"
"BID976","DID1037"
"BID1157","DID1133"
"BID1220","DID1133"
"BID1379","DID1133"
"BID354","DID1133"
"BID650","DID1133"
"BID825","DID1133"
"BID886","DID1133"
"BID1157","DID1239"
"BID1220","DID1239"
"BID1379","DID1239"
"BID354","DID1239"
"BID650","DID1239"
"BID825","DID1239"
"BID886","DID1239"
"BID1157","DID75"
"BID1220","DID75"
"BID1379","DID75"
"BID354","DID75"
"BID650","DID75"
"BID825","DID75"
"BID886","DID75"
"BID1157","DID881"
"BID1220","DID881"
"BID1379","DID881"
"BID354","DID881"
"BID650","DID881"
"BID825","DID881"
"BID886","DID881"
"BID1157","DID976"
"BID1220","DID976"
"BID1379","DID976"
"BID354","DID976"
"BID650","DID976"
"BID825","DID976"
"BID886","DID976"
"BID1725","DID1109"
"BID2962","DID1109"
"BID1725","DID166"
"BID2962","DID166"
"BID2132","DID391"
"BID2276","DID391"
"BID2981","DID391"
"BID2132","DID393"
"BID2276","DID393"
"BID2981","DID393"
"BID2132","DID495"
"BID2276","DID495"
"BID2981","DID495"
"BID1108","DID1021"
"BID1113","DID1021"
"BID149","DID1021"
"BID1585","DID1021"
"BID2272","DID1021"
"BID571","DID1021"
"BID1108","DID1078"
"BID1113","DID1078"
"BID149","DID1078"
"BID1585","DID1078"
"BID2272","DID1078"
"BID571","DID1078"
"BID1108","DID356"
"BID1113","DID356"
"BID149","DID356"
"BID1585","DID356"
"BID2272","DID356"
"BID571","DID356"
"BID1900","DID1426"
"BID246","DID1426"
"BID1900","DID1486"
"BID246","DID1486"
"BID1900","DID158"
"BID246","DID158"
"BID1900","DID448"
"BID246","DID448"
"BID1900","DID497"
"BID246","DID497"
"BID1500","DID286"
"BID2195","DID286"
"BID2512","DID286"
"BID524","DID286"
"BID599","DID286"
"BID771","DID286"
