"BID","DID"
"BID1801","DID387"
"BID1858","DID387"
"BID2221","DID387"
"BID2811","DID387"
"BID492","DID387"
"BID1511","DID1304"
"BID219","DID1304"
"BID2404","DID1304"
"BID2544","DID1304"
"BID85","DID1304"
"BID1511","DID614"
"BID219","DID614"
"BID2404","DID614"
"BID2544","DID614"
"BID85","DID614"
"BID2477","DID177"
"BID858","DID177"
"BID2631","DID1272"
"BID656","DID1272"
"BID85","DID1272"
"BID1712","DID581"
"BID1751","DID581"
"BID2051","DID581"
"BID284","DID581"
"BID2938","DID581"
"BID331","DID581"
"BID1463","DID1424"
"BID1730","DID1424"
"BID2094","DID1424"
"BID2594","DID1424"
"BID401","DID1424"
"BID814","DID1424"
"BID1054","DID160"
"BID1219","DID160"
"BID2283","DID160"
"BID478","DID160"
"BID906","DID160"
"BID995","DID160"
"BID1054","DID657"
"BID1219","DID657"
"BID2283","DID657"
"BID478","DID657"
"BID906","DID657"
"BID995","DID657"
"BID2158","DID1285"
"BID2992","DID1285"
"BID502","DID1285"
"BID109","DID1229"
"BID1240","DID1229"
"BID1443","DID1229"
"BID2093","DID1229"
"BID2166","DID1229"
"BID2313","DID1229"
"BID1452","DID1392"
"BID1727","DID1392"
"BID2653","DID1392"
"BID601","DID1392"
"BID1452","DID730"
"BID1727","DID730"
"BID2653","DID730"
"BID601","DID730"
"BID1017","DID849"
"BID1737","DID849"
"BID1499","DID1167"
"BID2387","DID1167"
"BID2656","DID1167"
"BID685","DID1167"
"BID1214","DID1336"
"BID1872","DID1336"
"BID284","DID1336"
"BID571","DID1336"
"BID749","DID1336"
"BID1116","DID1399"
"BID1285","DID1399"
"BID2419","DID1399"
"BID288","DID1399"
"BID369","DID1399"
"BID1204","DID1478"
"BID310","DID1478"
"BID1204","DID856"
"BID310","DID856"
"BID2115","DID340"
"BID331","DID340"
"BID1171","DID108"
"BID440","DID108"
"BID1171","DID640"
"BID440","DID640"
"BID1907","DID1283"
"BID2174","DID1283"
"BID2681","DID1283"
"BID814","DID1283"
"BID828","DID1283"
"BID1907","DID185"
"BID2174","DID185"
"BID2681","DID185"
"BID814","DID185"
"BID828","DID185"
"BID2996","DID1063"
"BID457","DID1063"
"BID606","DID1063"
"BID823","DID1063"
"BID1349","DID760"
"BID1418","DID760"
"BID2995","DID760"
"BID556","DID760"
"BID1349","DID816"
"BID1418","DID816"
"BID2995","DID816"
"BID556","DID816"
"BID1688","DID1296"
"BID2534","DID1296"
"BID610","DID1296"
"BID1688","DID1300"
"BID2534","DID1300"
"BID610","DID1300"
"BID1513","DID1220"
"BID1531","DID1220"
"BID2407","DID1220"
"BID2476","DID1220"
"BID2690","DID1220"
"BID1734","DID631"
"BID2247","DID631"
"BID281","DID631"
"BID1734","DID947"
"BID2247","DID947"
"BID281","DID947"
"BID1557","DID418"
"BID1866","DID418"
"BID2647","DID418"
"BID2848","DID418"
"BID623","DID418"
"BID1326","DID1330"
"BID1555","DID1330"
"BID2208","DID1330"
"BID2989","DID1330"
"BID722","DID1330"
"BID1326","DID23"
"BID1555","DID23"
"BID2208","DID23"
"BID2989","DID23"
"BID722","DID23"
"BID1420","DID1358"
"BID1737","DID1358"
"BID2012","DID1358"
"BID2524","DID1358"
"BID549","DID1358"
"BID576","DID1358"
"BID2762","DID1449"
"BID2794","DID1449"
"BID350","DID1449"
"BID58","DID1449"
"BID821","DID1449"
"BID876","DID1449"
"BID1344","DID758"
"BID1913","DID758"
"BID2883","DID295"
"BID599","DID295"
"BID2883","DID617"
"BID599","DID617"
"BID304","DID38"
"BID322","DID38"
"BID738","DID38"
"BID16","DID596"
"BID1697","DID596"
"BID707","DID596"
"BID1013","DID1251"
"BID1095","DID1251"
"BID1129","DID1251"
"BID1611","DID1251"
"BID1884","DID1251"
"BID684","DID1251"
"BID1013","DID406"
"BID1095","DID406"
"BID1129","DID406"
"BID1611","DID406"
"BID1884","DID406"
"BID684","DID406"
"BID2633","DID414"
"BID2949","DID414"
"BID798","DID414"
"BID1447","DID1368"
"BID1886","DID1368"
"BID2541","DID1368"
"BID787","DID1368"
"BID1447","DID396"
"BID1886","DID396"
"BID2541","DID396"
"BID787","DID396"
"BID1159","DID685"
"BID1423","DID685"
"BID1435","DID685"
"BID1875","DID685"
"BID629","DID685"
"BID977","DID685"
"BID2223","DID694"
"BID2703","DID694"
"BID2772","DID694"
"BID2223","DID880"
"BID2703","DID880"
"BID2772","DID880"
"BID2737","DID130"
"BID653","DID130"
"BID860","DID130"
"BID1370","DID371"
"BID1566","DID371"
"BID1814","DID371"
"BID790","DID371"
"BID1143","DID1269"
"BID2095","DID1269"
"BID2640","DID1269"
"BID779","DID1269"
"BID2371","DID1389"
"BID2534","DID1389"
"BID2371","DID809"
"BID2534","DID809"
"BID1899","DID1404"
"BID2258","DID1404"
"BID2755","DID1404"
"BID2935","DID1404"
"BID2472","DID207"
"BID831","DID207"
"BID1431","DID1290"
"BID1693","DID1290"
"BID1787","DID1290"
"BID2256","DID1290"
"BID2332","DID1290"
"BID2605","DID1290"
"BID1431","DID672"
"BID1693","DID672"
"BID1787","DID672"
"BID2256","DID672"
"BID2332","DID672"
"BID2605","DID672"
"BID1337","DID1260"
"BID1577","DID1260"
"BID2194","DID1260"
"BID1078","DID1134"
"BID1721","DID1134"
