DID,CID
DID1,CID2846
DID1,CID3677
DID1,CID6397
DID2,CID1568
DID2,CID4668
DID2,CID5264
DID2,CID6788
DID3,CID2910
DID3,CID5895
DID4,CID7030
DID4,CID7713
DID4,CID7957
DID5,CID2075
DID5,CID2989
DID5,CID4219
DID5,CID8991
DID5,CID9849
DID6,CID8671
DID7,CID1058
DID7,CID1673
DID7,CID3075
DID7,CID352
DID7,CID3678
DID7,CID6808
DID8,CID3398
DID8,CID8361
DID9,CID3626
DID9,CID4074
DID9,CID412
DID9,CID4912
DID9,CID71
DID9,CID7252
DID10,CID2239
DID10,CID7298
DID11,CID2023
DID11,CID2062
DID11,CID6974
DID11,CID9986
DID12,CID1877
DID12,CID2735
DID12,CID3739
DID12,CID3887
DID12,CID5726
DID12,CID6020
DID13,CID3775
DID13,CID9007
DID14,CID4912
DID14,CID5231
DID14,CID7226
DID14,CID9321
DID15,CID2662
DID16,CID2213
DID16,CID2388
DID16,CID2520
DID17,CID5397
DID18,CID2525
DID18,CID271
DID18,CID2729
DID18,CID3089
DID18,CID7470
DID18,CID8534
DID19,CID2080
DID19,CID264
DID19,CID3922
DID19,CID5813
DID19,CID6598
DID20,CID5967
DID20,CID8371
DID21,CID9589
DID22,CID8095
DID23,CID1014
DID23,CID170
DID23,CID1804
DID23,CID655
DID23,CID6947
DID24,CID8005
DID24,CID8722
DID25,CID8569
DID26,CID1672
DID26,CID5260
DID26,CID7400
DID27,CID1665
DID28,CID7750
DID29,CID4171
DID29,CID6124
DID29,CID802
DID30,CID8909
DID31,CID4104
DID31,CID4760
DID31,CID526
DID31,CID8698
DID32,CID2796
DID32,CID5688
DID32,CID8211
DID33,CID4388
DID33,CID4959
DID33,CID6552
DID34,CID2864
DID34,CID4670
DID34,CID4923
DID34,CID7709
DID34,CID9365
DID35,CID2604
DID35,CID3686
DID35,CID5397
DID35,CID9985
DID36,CID2585
DID36,CID7216
DID36,CID7414
DID37,CID4988
DID38,CID6765
DID39,CID1822
DID39,CID2794
DID40,CID3091
DID40,CID5826
DID40,CID6321
DID40,CID7938
DID41,CID1666
DID41,CID3432
DID41,CID3452
DID41,CID6694
DID41,CID7714
DID41,CID799
DID42,CID1342
DID43,CID3562
DID43,CID6033
DID44,CID2220
DID44,CID8022
DID45,CID2402
DID45,CID2581
DID45,CID8327
DID46,CID1850
DID46,CID2027
DID46,CID4741
DID46,CID8135
DID47,CID6396
