CID,DID
CID1,DID329
CID1,DID528
CID1,DID888
CID2,DID170
CID2,DID637
CID2,DID936
CID3,DID125
CID3,DID284
CID3,DID576
CID4,DID489
CID4,DID850
CID4,DID96
CID5,DID579
CID5,DID58
CID5,DID817
CID6,DID176
CID6,DID583
CID6,DID939
CID7,DID64
CID7,DID673
CID7,DID95
CID8,DID144
CID8,DID24
CID8,DID805
CID9,DID456
CID9,DID538
CID9,DID802
CID10,DID252
CID10,DID45
CID10,DID704
CID11,DID234
CID11,DID781
CID11,DID892
CID12,DID461
CID12,DID779
CID12,DID883
CID13,DID252
CID13,DID423
CID13,DID496
CID14,DID482
CID14,DID73
CID14,DID994
CID15,DID336
CID15,DID381
CID15,DID575
CID16,DID325
CID16,DID433
CID16,DID487
CID17,DID220
CID17,DID327
CID17,DID369
CID18,DID827
CID18,DID982
CID18,DID985
CID19,DID275
CID19,DID43
CID19,DID487
CID20,DID215
CID20,DID221
CID20,DID643
CID21,DID785
CID21,DID790
CID21,DID834
CID22,DID249
CID22,DID550
CID22,DID813
CID23,DID241
CID23,DID621
CID23,DID958
CID24,DID459
CID24,DID625
CID24,DID874
CID25,DID234
CID25,DID487
CID25,DID647
CID26,DID348
CID26,DID418
CID26,DID595
CID27,DID287
CID27,DID527
CID27,DID672
CID28,DID778
CID28,DID842
CID28,DID889
CID29,DID143
CID29,DID857
CID29,DID921
CID30,DID652
CID30,DID659
CID30,DID717
CID31,DID28
CID31,DID827
CID31,DID944
CID32,DID320
CID32,DID737
CID32,DID765
CID33,DID124
CID33,DID628
CID33,DID986
CID34,DID131
CID34,DID306
CID34,DID526
CID35,DID313
CID35,DID713
CID35,DID769
CID36,DID175
CID36,DID532
CID36,DID819
CID37,DID381
CID37,DID456
CID37,DID890
CID38,DID203
CID38,DID686
CID38,DID945
CID39,DID289
CID39,DID389
CID39,DID594
CID40,DID229
CID40,DID493
CID40,DID845
CID41,DID161
CID41,DID403
CID41,DID976
CID42,DID114
CID42,DID202
CID42,DID995
CID43,DID41
CID43,DID43
CID43,DID54
CID44,DID350
CID44,DID482
CID44,DID752
CID45,DID530
CID45,DID637
CID45,DID885
CID46,DID14
CID46,DID164
CID46,DID958
CID47,DID711
CID47,DID836
CID47,DID972
CID48,DID236
CID48,DID554
CID48,DID594
CID49,DID655
CID49,DID702
CID49,DID920
CID50,DID28
CID50,DID449
CID50,DID663
CID51,DID166
CID51,DID450
CID51,DID870
CID52,DID180
CID52,DID536
CID52,DID657
CID53,DID340
CID53,DID863
CID53,DID906
CID54,DID235
CID54,DID328
CID54,DID60
CID55,DID147
CID55,DID26
CID55,DID585
CID56,DID593
CID56,DID946
CID56,DID978
CID57,DID213
CID57,DID780
CID57,DID902
CID58,DID181
CID58,DID743
CID58,DID797
CID59,DID322
CID59,DID46
CID59,DID905
CID60,DID151
CID60,DID427
CID60,DID575
CID61,DID400
CID61,DID545
CID61,DID817
CID62,DID445
CID62,DID508
CID62,DID70
CID63,DID618
CID63,DID684
CID63,DID863
CID64,DID538
CID64,DID579
CID64,DID675
CID65,DID261
