CID,DID
CID1,DID393
CID1,DID850
CID2,DID428
CID2,DID518
CID3,DID244
CID3,DID430
CID4,DID887
CID4,DID972
CID5,DID474
CID5,DID495
CID6,DID179
CID6,DID630
CID7,DID208
CID7,DID930
CID8,DID624
CID8,DID699
CID9,DID101
CID9,DID652
CID10,DID455
CID10,DID96
CID11,DID199
CID11,DID318
CID12,DID521
CID12,DID987
CID13,DID69
CID13,DID693
CID14,DID144
CID14,DID688
CID15,DID601
CID15,DID639
CID16,DID695
CID16,DID842
CID17,DID147
CID17,DID536
CID18,DID120
CID18,DID804
CID19,DID677
CID19,DID796
CID20,DID167
CID20,DID493
CID21,DID126
CID21,DID151
CID22,DID100
CID22,DID777
CID23,DID580
CID23,DID782
CID24,DID502
CID24,DID950
CID25,DID525
CID25,DID934
CID26,DID710
CID26,DID777
CID27,DID32
CID27,DID541
CID28,DID513
CID28,DID600
CID29,DID53
CID29,DID656
CID30,DID213
CID30,DID832
CID31,DID37
CID31,DID536
CID32,DID702
CID32,DID884
CID33,DID553
CID33,DID894
CID34,DID473
CID34,DID681
CID35,DID648
CID35,DID881
CID36,DID125
CID36,DID316
CID37,DID283
CID37,DID307
CID38,DID164
CID38,DID875
CID39,DID324
CID39,DID573
CID40,DID766
CID40,DID818
CID41,DID391
CID41,DID687
CID42,DID113
CID42,DID794
CID43,DID264
CID43,DID652
CID44,DID118
CID44,DID81
CID45,DID394
CID45,DID714
CID46,DID458
CID46,DID783
CID47,DID169
CID47,DID360
CID48,DID478
CID48,DID824
CID49,DID174
CID49,DID574
CID50,DID507
CID50,DID830
CID51,DID337
CID51,DID532
CID52,DID271
CID52,DID532
CID53,DID163
CID53,DID245
CID54,DID488
CID54,DID70
CID55,DID490
CID55,DID776
CID56,DID213
CID56,DID280
CID57,DID658
CID57,DID662
CID58,DID311
CID58,DID81
CID59,DID187
CID59,DID922
CID60,DID512
CID60,DID916
CID61,DID283
CID61,DID769
CID62,DID157
CID62,DID599
CID63,DID236
CID63,DID563
CID64,DID231
CID64,DID274
CID65,DID72
CID65,DID8
CID66,DID407
CID66,DID904
CID67,DID408
CID67,DID67
CID68,DID246
CID68,DID935
CID69,DID593
CID69,DID726
CID70,DID251
CID70,DID902
CID71,DID410
CID71,DID610
CID72,DID874
CID72,DID921
CID73,DID141
CID73,DID378
CID74,DID727
CID74,DID732
CID75,DID332
CID75,DID357
CID76,DID668
CID76,DID938
CID77,DID221
CID77,DID644
CID78,DID138
CID78,DID437
CID79,DID547
CID79,DID854
CID80,DID869
CID80,DID898
CID81,DID341
CID81,DID959
CID82,DID744
CID82,DID844
CID83,DID687
CID83,DID837
CID84,DID251
CID84,DID357
CID85,DID456
CID85,DID628
CID86,DID68
CID86,DID70
CID87,DID222
CID87,DID474
CID88,DID66
CID88,DID78
CID89,DID492
CID89,DID981
CID90,DID233
CID90,DID622
CID91,DID11
CID91,DID196
CID92,DID269
CID92,DID498
CID93,DID252
CID93,DID69
CID94,DID204
CID94,DID876
CID95,DID112
CID95,DID510
CID96,DID889
CID96,DID903
CID97,DID335
CID97,DID851
CID98,DID322
CID98,DID513
CID99,DID65
CID99,DID770
CID100,DID369
CID100,DID465
CID101,DID914
CID101,DID948
CID102,DID513
CID102,DID575
CID103,DID312
CID103,DID953
CID104,DID364
CID104,DID551
CID105,DID245
CID105,DID34
CID106,DID250
CID106,DID449
CID107,DID514
CID107,DID741
CID108,DID109
CID108,DID153
CID109,DID253
CID109,DID292
CID110,DID181
CID110,DID386
CID111,DID151
CID111,DID846
CID112,DID182
CID112,DID472
CID113,DID169
CID113,DID876
CID114,DID799
CID114,DID911
CID115,DID133
CID115,DID29
CID116,DID375
CID116,DID723
CID117,DID127
CID117,DID68
CID118,DID164
CID118,DID647
CID119,DID175
CID119,DID717
CID120,DID328
CID120,DID488
CID121,DID637
CID121,DID65
CID122,DID349
CID122,DID360
CID123,DID784
CID123,DID825
CID124,DID269
CID124,DID861
CID125,DID235
CID125,DID73
CID126,DID447
CID126,DID696
CID127,DID550
CID127,DID840
CID128,DID532
CID128,DID651
CID129,DID660
CID129,DID963
CID130,DID322
CID130,DID956
CID131,DID320
CID131,DID416
CID132,DID171
CID132,DID963
CID133,DID495
CID133,DID667
CID134,DID184
CID134,DID577
CID135,DID559
CID135,DID696
CID136,DID531
CID136,DID752
CID137,DID263
CID137,DID420
CID138,DID395
CID138,DID684
CID139,DID374
CID139,DID407
CID140,DID391
CID140,DID63
CID141,DID675
CID141,DID725
CID142,DID114
CID142,DID406
CID143,DID1
CID143,DID975
CID144,DID230
CID144,DID416
CID145,DID148
CID145,DID967
CID146,DID203
CID146,DID229
CID147,DID444
CID147,DID555
CID148,DID673
CID148,DID93
CID149,DID153
CID149,DID779
CID150,DID574
CID150,DID833
CID151,DID782
CID151,DID814
CID152,DID291
CID152,DID784
CID153,DID595
CID153,DID615
CID154,DID153
CID154,DID273
CID155,DID784
CID155,DID89
CID156,DID177
CID156,DID605
CID157,DID464
CID157,DID546
CID158,DID41
CID158,DID948
CID159,DID152
CID159,DID552
CID160,DID217
CID160,DID441
CID161,DID599
CID161,DID981
CID162,DID101
CID162,DID326
CID163,DID538
CID163,DID716
CID164,DID738
CID164,DID800
CID165,DID399
CID165,DID731
CID166,DID722
CID166,DID985
CID167,DID326
CID167,DID676
CID168,DID322
CID168,DID447
CID169,DID323
CID169,DID996
CID170,DID14
CID170,DID441
CID171,DID270
CID171,DID473
CID172,DID322
CID172,DID624
CID173,DID396
CID173,DID565
CID174,DID166
CID174,DID233
CID175,DID637
CID175,DID680
CID176,DID180
CID176,DID931
CID177,DID334
CID177,DID500
CID178,DID886
CID178,DID903
CID179,DID571
CID179,DID642
CID180,DID108
CID180,DID71
CID181,DID295
CID181,DID826
CID182,DID229
CID182,DID909
CID183,DID39
CID183,DID756
CID184,DID618
CID184,DID92
CID185,DID56
CID185,DID853
CID186,DID21
CID186,DID380
CID187,DID536
CID187,DID78
CID188,DID447
CID188,DID573
CID189,DID159
CID189,DID352
CID190,DID348
CID190,DID406
CID191,DID414
CID191,DID831
CID192,DID141
CID192,DID391
CID193,DID471
CID193,DID919
CID194,DID261
CID194,DID816
CID195,DID608
CID195,DID752
CID196,DID121
CID196,DID342
CID197,DID262
CID197,DID865
CID198,DID455
CID198,DID85
CID199,DID793
CID199,DID908
CID200,DID215
CID200,DID288
CID201,DID727
CID201,DID969
CID202,DID434
CID202,DID666
CID203,DID652
CID203,DID696
CID204,DID511
CID204,DID622
CID205,DID199
CID205,DID682
CID206,DID547
CID206,DID981
CID207,DID749
CID207,DID823
CID208,DID561
CID208,DID854
CID209,DID786
CID209,DID926
CID210,DID29
CID210,DID662
CID211,DID710
CID211,DID83
CID212,DID179
CID212,DID23
CID213,DID720
CID213,DID801
CID214,DID1000
CID214,DID914
CID215,DID166
CID215,DID918
CID216,DID102
CID216,DID128
CID217,DID162
CID217,DID634
CID218,DID674
CID218,DID931
CID219,DID564
CID219,DID597
CID220,DID242
CID220,DID322
CID221,DID807
CID221,DID953
CID222,DID26
CID222,DID772
CID223,DID549
CID223,DID637
CID224,DID363
CID224,DID768
CID225,DID584
CID225,DID946
CID226,DID12
CID226,DID861
CID227,DID395
CID227,DID809
CID228,DID876
CID228,DID907
CID229,DID605
CID229,DID935
CID230,DID294
CID230,DID321
CID231,DID505
CID231,DID657
CID232,DID396
CID232,DID63
CID233,DID646
CID233,DID815
CID234,DID25
CID234,DID409
CID235,DID547
CID235,DID789
CID236,DID491
CID236,DID816
CID237,DID119
CID237,DID73
CID238,DID28
CID238,DID41
CID239,DID159
CID239,DID465
CID240,DID331
CID240,DID36
CID241,DID522
CID241,DID87
CID242,DID25
CID242,DID913
CID243,DID574
CID243,DID84
CID244,DID336
CID244,DID918
CID245,DID396
CID245,DID477
CID246,DID157
CID246,DID419
CID247,DID744
CID247,DID796
CID248,DID503
CID248,DID879
CID249,DID343
CID249,DID639
CID250,DID693
CID250,DID818
CID251,DID292
CID251,DID76
CID252,DID200
CID252,DID915
CID253,DID242
CID253,DID743
CID254,DID75
CID254,DID834
CID255,DID901
CID255,DID913
CID256,DID448
CID256,DID474
CID257,DID687
CID257,DID711
CID258,DID220
CID258,DID466
CID259,DID656
CID259,DID778
CID260,DID296
CID260,DID356
CID261,DID361
CID261,DID931
CID262,DID705
CID262,DID922
CID263,DID215
CID263,DID695
CID264,DID587
CID264,DID795
CID265,DID517
CID265,DID589
CID266,DID485
CID266,DID912
CID267,DID499
CID267,DID746
CID268,DID407
CID268,DID987
CID269,DID503
CID269,DID808
CID270,DID169
CID270,DID793
CID271,DID102
CID271,DID26
CID272,DID472
CID272,DID523
CID273,DID128
CID273,DID360
CID274,DID269
CID274,DID799
CID275,DID109
CID275,DID716
CID276,DID499
CID276,DID98
CID277,DID74
CID277,DID876
CID278,DID143
CID278,DID317
CID279,DID321
CID279,DID450
CID280,DID36
CID280,DID90
CID281,DID303
CID281,DID56
CID282,DID672
CID282,DID902
CID283,DID152
CID283,DID170
CID284,DID591
CID284,DID977
CID285,DID5
CID285,DID630
CID286,DID543
CID286,DID773
CID287,DID558
CID287,DID853
CID288,DID830
CID288,DID952
CID289,DID255
CID289,DID432
CID290,DID243
CID290,DID650
CID291,DID186
CID291,DID371
CID292,DID607
CID292,DID710
CID293,DID639
CID293,DID724
CID294,DID61
CID294,DID664
CID295,DID588
CID295,DID895
CID296,DID326
CID296,DID667
CID297,DID139
CID297,DID352
CID298,DID468
CID298,DID842
CID299,DID682
CID299,DID878
CID300,DID573
CID300,DID734
CID301,DID111
CID301,DID156
CID302,DID304
CID302,DID323
CID303,DID575
CID303,DID671
CID304,DID220
CID304,DID949
CID305,DID154
CID305,DID438
CID306,DID244
CID306,DID892
CID307,DID125
CID307,DID462
CID308,DID209
CID308,DID215
CID309,DID733
CID309,DID980
CID310,DID295
CID310,DID703
CID311,DID724
CID311,DID963
CID312,DID915
CID312,DID94
CID313,DID173
CID313,DID535
CID314,DID201
CID314,DID7
CID315,DID425
CID315,DID829
CID316,DID107
CID316,DID554
CID317,DID718
CID317,DID92
CID318,DID256
CID318,DID350
CID319,DID336
CID319,DID895
CID320,DID185
CID320,DID604
CID321,DID205
CID321,DID837
CID322,DID618
CID322,DID845
CID323,DID399
CID323,DID690
CID324,DID148
CID324,DID226
CID325,DID190
CID325,DID606
CID326,DID187
CID326,DID667
CID327,DID371
CID327,DID422
CID328,DID26
CID328,DID562
CID329,DID320
CID329,DID680
CID330,DID600
CID330,DID984
CID331,DID757
CID331,DID912
CID332,DID612
CID332,DID752
CID333,DID525
CID333,DID908
CID334,DID326
CID334,DID885
CID335,DID410
CID335,DID44
CID336,DID189
CID336,DID722
CID337,DID33
CID337,DID530
CID338,DID820
CID338,DID863
CID339,DID686
CID339,DID797
CID340,DID267
CID340,DID981
CID341,DID11
CID341,DID830
CID342,DID551
CID342,DID819
CID343,DID125
CID343,DID139
CID344,DID312
CID344,DID915
CID345,DID326
CID345,DID357
CID346,DID761
CID346,DID875
CID347,DID364
CID347,DID561
CID348,DID224
CID348,DID670
CID349,DID415
CID349,DID98
CID350,DID450
CID350,DID899
CID351,DID321
CID351,DID84
CID352,DID162
CID352,DID381
CID353,DID147
CID353,DID168
CID354,DID55
CID354,DID844
CID355,DID500
CID355,DID713
CID356,DID187
CID356,DID977
CID357,DID613
CID357,DID996
CID358,DID43
CID358,DID684
CID359,DID82
CID359,DID901
CID360,DID841
CID360,DID972
CID361,DID665
CID361,DID90
CID362,DID336
CID362,DID415
CID363,DID140
CID363,DID851
CID364,DID588
CID364,DID839
CID365,DID303
CID365,DID94
CID366,DID598
CID366,DID624
CID367,DID899
CID367,DID933
CID368,DID678
CID368,DID967
CID369,DID983
CID369,DID986
CID370,DID259
CID370,DID863
CID371,DID338
CID371,DID888
CID372,DID285
CID372,DID324
CID373,DID124
CID373,DID418
CID374,DID102
CID374,DID889
CID375,DID110
CID375,DID252
CID376,DID893
CID376,DID91
CID377,DID130
CID377,DID44
CID378,DID185
CID378,DID277
CID379,DID755
CID379,DID92
CID380,DID5
CID380,DID721
