atid,ucid
atid1,ucid182
atid1,ucid2
atid1,ucid215
atid1,ucid274
atid1,ucid275
atid1,ucid279
atid1,ucid315
atid1,ucid381
atid1,ucid65
atid2,ucid231
atid2,ucid256
atid2,ucid32
atid2,ucid340
atid2,ucid35
atid2,ucid359
atid2,ucid36
atid2,ucid372
atid2,ucid487
atid2,ucid80
atid3,ucid138
atid3,ucid145
atid3,ucid149
atid3,ucid184
atid3,ucid194
atid3,ucid238
atid3,ucid244
atid3,ucid481
atid3,ucid482
atid3,ucid56
atid3,ucid90
atid3,ucid97
atid4,ucid12
atid4,ucid185
atid4,ucid228
atid4,ucid231
atid4,ucid240
atid4,ucid244
atid4,ucid267
atid4,ucid297
atid4,ucid416
atid4,ucid443
atid4,ucid84
atid5,ucid128
atid5,ucid168
atid5,ucid250
atid5,ucid254
atid5,ucid255
atid5,ucid257
atid5,ucid274
atid5,ucid31
atid5,ucid318
atid5,ucid363
atid5,ucid402
atid5,ucid422
atid5,ucid498
atid6,ucid101
atid6,ucid132
atid6,ucid220
atid6,ucid268
atid6,ucid290
atid6,ucid366
atid6,ucid401
atid6,ucid413
atid6,ucid436
atid6,ucid444
atid6,ucid467
atid6,ucid47
atid6,ucid60
atid6,ucid79
atid7,ucid112
atid7,ucid183
atid7,ucid225
atid7,ucid256
atid7,ucid267
atid7,ucid334
atid7,ucid347
atid7,ucid349
atid7,ucid381
atid7,ucid382
atid7,ucid429
atid7,ucid435
atid7,ucid96
atid8,ucid106
atid8,ucid116
atid8,ucid165
atid8,ucid199
atid8,ucid214
atid8,ucid226
atid8,ucid259
atid8,ucid345
atid8,ucid416
atid9,ucid124
atid9,ucid153
atid9,ucid335
atid9,ucid411
atid9,ucid445
atid9,ucid81
atid9,ucid91
atid10,ucid106
atid10,ucid191
atid10,ucid294
atid10,ucid372
atid10,ucid456
atid10,ucid490
atid11,ucid166
atid11,ucid289
atid11,ucid304
atid11,ucid399
atid11,ucid460
atid11,ucid492
atid11,ucid84
atid12,ucid1
atid12,ucid104
atid12,ucid216
atid12,ucid258
atid12,ucid26
atid12,ucid269
atid12,ucid36
atid12,ucid369
atid12,ucid411
atid12,ucid46
atid13,ucid118
atid13,ucid147
atid13,ucid173
atid13,ucid175
atid13,ucid197
atid13,ucid201
atid13,ucid254
atid13,ucid296
atid13,ucid333
atid13,ucid349
atid13,ucid372
atid13,ucid383
atid13,ucid60
atid13,ucid64
atid14,ucid100
atid14,ucid176
atid14,ucid215
atid14,ucid291
atid14,ucid297
atid14,ucid298
atid14,ucid30
atid14,ucid31
atid14,ucid348
atid14,ucid357
atid14,ucid416
atid14,ucid55
atid14,ucid74
atid15,ucid103
atid15,ucid149
atid15,ucid158
atid15,ucid252
atid15,ucid443
atid15,ucid50
atid16,ucid110
atid16,ucid391
atid16,ucid408
atid16,ucid488
atid16,ucid493
atid16,ucid83
atid16,ucid88
atid17,ucid315
atid17,ucid416
atid17,ucid455
atid17,ucid79
atid18,ucid128
atid18,ucid137
atid18,ucid229
atid18,ucid242
atid18,ucid303
atid18,ucid311
atid18,ucid319
atid18,ucid342
atid18,ucid351
atid18,ucid374
atid18,ucid420
atid18,ucid495
atid18,ucid74
atid19,ucid227
atid19,ucid249
atid19,ucid285
atid19,ucid298
atid19,ucid380
atid19,ucid4
atid19,ucid408
atid19,ucid411
atid19,ucid425
atid19,ucid464
atid19,ucid465
atid19,ucid466
atid19,ucid68
atid19,ucid81
atid20,ucid2
atid20,ucid309
atid20,ucid395
atid21,ucid141
atid21,ucid178
atid21,ucid212
atid21,ucid257
atid21,ucid322
atid21,ucid372
atid21,ucid381
atid21,ucid458
atid21,ucid468
atid21,ucid497
atid22,ucid138
atid22,ucid332
atid22,ucid347
atid22,ucid423
atid22,ucid51
atid22,ucid59
atid23,ucid108
atid23,ucid113
atid23,ucid129
atid23,ucid176
atid23,ucid211
atid23,ucid22
atid23,ucid267
atid23,ucid318
atid23,ucid350
atid23,ucid368
atid23,ucid381
atid23,ucid447
atid24,ucid139
atid24,ucid144
atid24,ucid189
atid24,ucid356
atid24,ucid415
atid24,ucid431
atid24,ucid434
atid24,ucid81
atid24,ucid82
atid24,ucid88
atid24,ucid90
atid25,ucid159
atid25,ucid188
atid25,ucid201
atid25,ucid222
atid25,ucid235
atid25,ucid324
atid25,ucid330
atid25,ucid371
atid25,ucid376
atid25,ucid394
atid25,ucid458
atid25,ucid469
atid25,ucid98
atid26,ucid163
atid26,ucid182
atid26,ucid19
atid26,ucid236
atid26,ucid241
atid26,ucid339
atid26,ucid428
atid26,ucid431
atid26,ucid434
atid26,ucid455
atid26,ucid474
atid26,ucid73
atid26,ucid90
atid27,ucid219
atid27,ucid349
atid27,ucid391
atid27,ucid400
atid27,ucid418
atid27,ucid421
atid27,ucid453
atid27,ucid459
atid27,ucid489
atid27,ucid498
atid27,ucid7
atid28,ucid182
atid28,ucid217
atid28,ucid249
atid28,ucid268
atid28,ucid269
atid28,ucid309
atid28,ucid316
atid28,ucid354
atid28,ucid358
atid28,ucid359
atid28,ucid366
atid28,ucid451
atid28,ucid82
atid29,ucid141
atid29,ucid164
atid29,ucid242
atid29,ucid336
atid29,ucid387
atid29,ucid43
atid29,ucid495
atid30,ucid108
atid30,ucid239
atid30,ucid253
atid30,ucid286
atid30,ucid352
atid30,ucid355
atid30,ucid378
atid30,ucid417
atid30,ucid423
atid30,ucid476
atid30,ucid67
atid30,ucid71
atid31,ucid1
atid31,ucid122
atid31,ucid183
atid31,ucid196
atid31,ucid207
atid31,ucid253
atid31,ucid263
atid31,ucid310
atid31,ucid50
atid31,ucid500
atid31,ucid58
atid31,ucid9
atid32,ucid13
atid32,ucid14
atid32,ucid165
atid32,ucid184
atid32,ucid193
atid32,ucid232
atid32,ucid235
atid32,ucid325
atid32,ucid377
atid32,ucid401
atid32,ucid417
atid32,ucid419
atid32,ucid96
atid33,ucid139
atid33,ucid159
atid33,ucid163
atid33,ucid196
atid33,ucid2
atid33,ucid270
atid33,ucid275
atid33,ucid301
atid33,ucid36
atid33,ucid42
atid33,ucid423
atid33,ucid469
atid33,ucid64
