clsid,clsdesc,CLSAUTHOR,clsstartdate,clsversion,clsclasses
clsid1,Used for the majority of grant programs processed in CORe,Caleb36,6/4/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AllowAllAuthenticator.java
clsid2,Codes for child support services,Caleb2,5/5/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AllowAllAuthorizer.java
clsid3,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,4/5/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AllowAllInternodeAuthenticator.java
clsid4,Codes for Juvenile Justice (Youth Aids) services,Caleb36,3/6/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AuthenticatedUser.java
clsid5,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,2/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AuthKeyspace.java
clsid6,Used for the majority of grant programs processed in CORe,Caleb1,1/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AuthMigrationListener.java
clsid7,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,12/7/2015,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\CassandraAuthorizer.java
clsid8,Codes for Juvenile Justice (Youth Aids) services,Caleb24,11/7/2015,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\CassandraRoleManager.java
clsid9,Codes related to other Child Care services,Caleb2,10/8/2015,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\DataResource.java
clsid10,Codes related to other Child Care services,Caleb1,9/8/2015,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\FunctionResource.java
clsid11,Codes related to other Child Care services,Caleb35,6/4/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\IAuthenticator.java
clsid12,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,5/5/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\IAuthorizer.java
clsid13,Codes related to State County Contract  for Human or Social  Services contracts,Caleb42,4/5/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\IInternodeAuthenticator.java
clsid14,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,3/6/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\IResource.java
clsid15,Codes related to other Child Care services,Caleb2,2/5/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\IRoleManager.java
clsid16,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb6,1/6/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\PasswordAuthenticator.java
clsid17,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb17,12/7/2015,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\Permission.java
clsid18,Codes related to County and Tribe Child Care services,Caleb1,11/7/2015,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\PermissionDetails.java
clsid19,Codes for child support services,Caleb2,10/8/2015,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\PermissionsCache.java
clsid20,Codes for Juvenile Justice (Youth Aids) services,Caleb25,9/8/2015,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\PermissionsCacheMBean.java
clsid21,Codes related to County and Tribe Child Care services,Caleb37,6/4/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\Resources.java
clsid22,Codes related to other Child Care services,Caleb19,5/5/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\RoleOptions.java
clsid23,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,4/5/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\RoleResource.java
clsid24,Used for the majority of grant programs processed in CORe,Caleb1,3/6/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\Roles.java
clsid25,Codes for Juvenile Justice (Youth Aids) services,Caleb2,2/5/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\RolesCache.java
clsid26,Codes related to County and Tribe Child Care services,Caleb1,1/6/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\RolesCacheMBean.java
clsid27,Codes for Juvenile Justice (Youth Aids) services,Caleb1,12/7/2015,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\AutoSavingCache.java
clsid28,Codes for Juvenile Justice (Youth Aids) services,Caleb2,11/7/2015,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\CacheKey.java
clsid29,Codes related to other Child Care services,Caleb2,10/8/2015,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\CacheProvider.java
clsid30,Codes related to other Child Care services,Caleb2,9/8/2015,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\CachingOptions.java
clsid31,Codes for child support services,Caleb1,6/4/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\ConcurrentLinkedHashCache.java
clsid32,Codes for Juvenile Justice (Youth Aids) services,Caleb2,5/5/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\CounterCacheKey.java
clsid33,Used for the majority of grant programs processed in CORe,Caleb1,4/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\ICache.java
clsid34,Used for the majority of grant programs processed in CORe,Caleb2,3/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\IMeasurableMemory.java
clsid35,Codes for child support services,Caleb2,2/5/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\InstrumentingCache.java
clsid36,Codes for Juvenile Justice (Youth Aids) services,Caleb1,1/6/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\IRowCacheEntry.java
clsid37,Used for the majority of grant programs processed in CORe,Caleb1,12/7/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\KeyCacheKey.java
