"CLSID","PPLID"
"clsid1878","pplid2913"
"clsid1878","pplid3965"
"clsid1878","pplid4103"
"clsid2127","pplid1771"
"clsid2127","pplid1916"
"clsid2127","pplid2692"
"clsid2127","pplid4731"
"clsid10405","pplid2893"
"clsid10405","pplid887"
"clsid10475","pplid2893"
"clsid10475","pplid887"
"clsid12736","pplid184"
"clsid12736","pplid2034"
"clsid12736","pplid614"
"clsid2331","pplid1120"
"clsid12108","pplid1319"
"clsid12108","pplid2967"
"clsid12108","pplid698"
"clsid2241","pplid1319"
"clsid2241","pplid2967"
"clsid2241","pplid698"
"clsid7460","pplid1319"
"clsid7460","pplid2967"
"clsid7460","pplid698"
"clsid3052","pplid450"
"clsid10466","pplid438"
"clsid2822","pplid438"
"clsid11524","pplid2023"
"clsid11524","pplid3499"
"clsid11524","pplid3808"
"clsid11524","pplid704"
"clsid3686","pplid2023"
"clsid3686","pplid3499"
"clsid3686","pplid3808"
"clsid3686","pplid704"
"clsid814","pplid2023"
"clsid814","pplid3499"
"clsid814","pplid3808"
"clsid814","pplid704"
"clsid5779","pplid193"
"clsid5779","pplid2119"
"clsid5779","pplid4235"
"clsid464","pplid1608"
"clsid464","pplid3109"
"clsid10089","pplid1734"
"clsid8998","pplid1734"
"clsid10710","pplid2035"
"clsid1129","pplid1350"
"clsid1129","pplid1728"
"clsid4748","pplid1350"
"clsid4748","pplid1728"
"clsid8090","pplid1350"
"clsid8090","pplid1728"
"clsid3203","pplid2158"
"clsid3203","pplid2924"
"clsid3203","pplid3059"
"clsid3203","pplid3431"
"clsid7822","pplid2158"
"clsid7822","pplid2924"
"clsid7822","pplid3059"
"clsid7822","pplid3431"
"clsid3979","pplid1249"
"clsid10727","pplid2449"
"clsid10727","pplid4125"
"clsid10727","pplid4440"
"clsid10727","pplid4728"
"clsid1212","pplid2449"
"clsid1212","pplid4125"
"clsid1212","pplid4440"
"clsid1212","pplid4728"
"clsid3254","pplid2449"
"clsid3254","pplid4125"
"clsid3254","pplid4440"
"clsid3254","pplid4728"
"clsid8583","pplid2449"
"clsid8583","pplid4125"
"clsid8583","pplid4440"
"clsid8583","pplid4728"
"clsid2876","pplid2095"
"clsid2876","pplid255"
"clsid2876","pplid2884"
"clsid2876","pplid3526"
"clsid723","pplid2095"
"clsid723","pplid255"
"clsid723","pplid2884"
"clsid723","pplid3526"
"clsid8548","pplid692"
"clsid10646","pplid4802"
"clsid4682","pplid4802"
"clsid11961","pplid1103"
"clsid11961","pplid3672"
"clsid11961","pplid3826"
"clsid11961","pplid4875"
"clsid338","pplid1103"
"clsid338","pplid3672"
"clsid338","pplid3826"
"clsid338","pplid4875"
"clsid4994","pplid2973"
"clsid4994","pplid3330"
"clsid845","pplid71"
"clsid11152","pplid1806"
"clsid11152","pplid2775"
"clsid12708","pplid1806"
"clsid12708","pplid2775"
"clsid4107","pplid1806"
"clsid4107","pplid2775"
"clsid2643","pplid181"
"clsid2643","pplid3286"
"clsid10659","pplid1780"
"clsid10659","pplid2037"
"clsid10659","pplid3344"
"clsid7185","pplid1780"
"clsid7185","pplid2037"
"clsid7185","pplid3344"
"clsid3135","pplid1270"
"clsid3135","pplid1684"
"clsid3135","pplid1767"
"clsid3135","pplid935"
"clsid4951","pplid1270"
"clsid4951","pplid1684"
"clsid4951","pplid1767"
"clsid4951","pplid935"
"clsid7070","pplid1473"
"clsid11187","pplid3224"
"clsid883","pplid4268"
"clsid8891","pplid4268"
"clsid10442","pplid2200"
"clsid10442","pplid3605"
"clsid8729","pplid2200"
"clsid8729","pplid3605"
"clsid12334","pplid4915"
"clsid3194","pplid4915"
"clsid3257","pplid4915"
"clsid5556","pplid4915"
