utid,clsid
utid1,clsid10445
utid1,clsid10653
utid1,clsid11931
utid1,clsid5842
utid1,clsid7406
utid2,clsid10996
utid2,clsid11244
utid2,clsid2388
utid2,clsid2454
utid2,clsid4344
utid2,clsid7230
utid2,clsid8022
utid2,clsid8656
utid3,clsid1814
utid3,clsid3159
utid3,clsid5016
utid3,clsid5161
utid3,clsid6900
utid3,clsid8566
utid3,clsid9025
utid3,clsid9996
utid4,clsid4740
utid5,clsid11892
utid5,clsid12671
utid5,clsid1615
utid5,clsid3087
utid5,clsid4032
utid5,clsid4994
utid5,clsid7266
utid5,clsid9534
utid6,clsid12251
utid6,clsid12846
utid6,clsid1805
utid6,clsid3077
utid6,clsid4912
utid6,clsid6156
utid6,clsid6189
utid6,clsid6234
utid6,clsid6676
utid7,clsid1735
utid7,clsid3402
utid7,clsid5193
utid7,clsid7013
utid7,clsid938
utid8,clsid10269
utid8,clsid11901
utid8,clsid12740
utid8,clsid265
utid8,clsid3411
utid8,clsid4504
utid8,clsid4734
utid8,clsid5901
utid8,clsid6405
utid9,clsid10145
utid9,clsid10315
utid9,clsid10901
utid9,clsid10918
utid9,clsid12040
utid9,clsid1505
utid9,clsid2442
utid9,clsid3391
utid9,clsid6659
utid9,clsid7610
utid9,clsid7737
utid9,clsid7745
utid9,clsid7785
utid9,clsid9629
utid10,clsid10041
utid10,clsid12513
utid10,clsid1636
utid10,clsid2076
utid10,clsid2219
utid10,clsid2436
utid10,clsid4397
utid10,clsid6284
utid11,clsid4359
utid11,clsid8873
utid12,clsid1379
utid12,clsid4000
utid13,clsid11740
utid13,clsid1907
utid13,clsid2634
utid13,clsid5167
utid13,clsid7028
utid13,clsid7114
utid13,clsid8189
utid13,clsid8194
utid14,clsid11015
utid14,clsid11257
utid14,clsid12361
utid14,clsid12482
utid14,clsid3846
utid14,clsid4987
utid14,clsid5519
utid14,clsid6508
utid14,clsid7651
utid14,clsid9788
utid15,clsid11468
utid15,clsid1152
utid15,clsid1794
utid15,clsid655
utid15,clsid8677
utid16,clsid12547
utid16,clsid2842
utid16,clsid3274
utid16,clsid4825
utid16,clsid5181
utid16,clsid5701
utid16,clsid658
utid16,clsid8363
utid16,clsid901
utid17,clsid11740
utid17,clsid4595
utid17,clsid4859
utid17,clsid6542
utid17,clsid8521
utid18,clsid2043
utid19,clsid4193
utid19,clsid8433
utid20,clsid4036
utid21,clsid10724
utid22,clsid12963
utid22,clsid3321
utid22,clsid5119
utid23,clsid6532
utid24,clsid10164
utid24,clsid1127
utid24,clsid11712
utid24,clsid11836
utid24,clsid1203
utid24,clsid12226
utid24,clsid1367
utid24,clsid1434
utid24,clsid2177
utid24,clsid4019
utid24,clsid7601
utid24,clsid8367
utid24,clsid8369
utid25,clsid1230
utid25,clsid3081
utid25,clsid4771
utid25,clsid903
utid26,clsid10555
utid26,clsid1236
utid26,clsid12849
utid26,clsid1956
utid26,clsid3560
utid26,clsid9873
utid27,clsid10073
utid27,clsid10166
utid27,clsid10759
utid27,clsid10992
utid27,clsid12768
utid27,clsid4504
utid27,clsid6342
utid27,clsid7302
utid27,clsid8131
utid27,clsid8181
utid28,clsid10215
utid28,clsid11519
utid28,clsid12834
utid28,clsid2893
