drqid,drqtype,drqdesc
drqid1,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid2,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid3,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid4,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid5,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid6,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid7,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid8,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid9,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid10,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid11,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid12,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid13,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid14,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid15,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid16,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid17,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid18,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid19,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid20,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid21,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid22,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid23,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid24,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid25,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid26,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid27,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid28,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid29,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid30,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid31,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid32,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid33,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid34,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid35,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid36,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid37,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid38,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid39,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid40,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid41,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid42,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid43,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid44,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid45,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid46,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid47,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid48,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid49,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid50,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid51,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid52,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid53,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid54,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid55,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid56,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid57,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid58,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid59,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid60,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid61,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid62,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid63,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid64,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid65,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid66,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid67,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid68,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid69,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid70,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid71,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid72,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid73,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid74,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid75,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid76,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid77,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid78,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid79,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid80,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid81,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid82,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid83,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid84,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid85,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid86,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid87,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid88,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid89,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid90,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid91,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid92,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid93,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid94,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid95,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid96,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid97,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid98,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid99,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid100,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid101,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid102,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid103,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid104,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
