"DRQID","BGRID"
"drqid1","bgrid496"
"drqid1","bgrid5640"
"drqid1","bgrid8238"
"drqid1","bgrid8619"
"drqid1","bgrid12463"
"drqid2","bgrid1774"
"drqid3","bgrid4088"
"drqid3","bgrid10267"
"drqid4","bgrid5480"
"drqid4","bgrid3617"
"drqid4","bgrid7360"
"drqid4","bgrid5689"
"drqid4","bgrid8136"
"drqid5","bgrid935"
"drqid5","bgrid9410"
"drqid5","bgrid114"
"drqid5","bgrid4194"
"drqid5","bgrid4460"
"drqid5","bgrid11884"
"drqid5","bgrid3420"
"drqid5","bgrid2326"
"drqid5","bgrid899"
"drqid6","bgrid3841"
"drqid6","bgrid7081"
"drqid6","bgrid7550"
"drqid6","bgrid9284"
"drqid6","bgrid9533"
"drqid6","bgrid923"
"drqid6","bgrid2926"
"drqid6","bgrid7373"
"drqid6","bgrid5165"
"drqid6","bgrid8691"
"drqid6","bgrid10961"
"drqid7","bgrid419"
"drqid7","bgrid3699"
"drqid7","bgrid5299"
"drqid7","bgrid5660"
"drqid7","bgrid5743"
"drqid7","bgrid8040"
"drqid8","bgrid3088"
"drqid8","bgrid7748"
"drqid8","bgrid9451"
"drqid8","bgrid12296"
"drqid9","bgrid1003"
"drqid9","bgrid8931"
"drqid9","bgrid11688"
"drqid9","bgrid10494"
"drqid9","bgrid11822"
"drqid9","bgrid1096"
"drqid10","bgrid5685"
"drqid10","bgrid4251"
"drqid10","bgrid4878"
"drqid10","bgrid9515"
"drqid10","bgrid10725"
"drqid10","bgrid7354"
"drqid10","bgrid11690"
"drqid10","bgrid12410"
"drqid11","bgrid6521"
"drqid11","bgrid6750"
"drqid11","bgrid9856"
"drqid11","bgrid3895"
"drqid11","bgrid5778"
"drqid11","bgrid10800"
"drqid11","bgrid10835"
"drqid11","bgrid1755"
"drqid11","bgrid5457"
"drqid11","bgrid1063"
"drqid11","bgrid6343"
"drqid11","bgrid6468"
"drqid12","bgrid8939"
"drqid12","bgrid2157"
"drqid12","bgrid8652"
"drqid12","bgrid8796"
"drqid12","bgrid2183"
"drqid12","bgrid8007"
"drqid13","bgrid11409"
"drqid13","bgrid3248"
"drqid13","bgrid12745"
"drqid13","bgrid3929"
"drqid13","bgrid7544"
"drqid13","bgrid12022"
"drqid13","bgrid11491"
"drqid13","bgrid12777"
"drqid13","bgrid8651"
"drqid13","bgrid10601"
"drqid13","bgrid2359"
"drqid13","bgrid4002"
"drqid13","bgrid6135"
"drqid13","bgrid11175"
