drqid,clsid
drqid1,clsid1089
drqid1,clsid2602
drqid1,clsid2848
drqid1,clsid665
drqid2,clsid9663
drqid3,clsid12070
drqid4,clsid3839
drqid4,clsid8398
drqid4,clsid9102
drqid5,clsid1016
drqid5,clsid12203
drqid5,clsid12937
drqid5,clsid9337
drqid5,clsid9946
drqid6,clsid12367
drqid6,clsid2021
drqid6,clsid2502
drqid6,clsid2838
drqid7,clsid6464
drqid8,clsid4485
drqid9,clsid2068
drqid9,clsid4257
drqid9,clsid9553
drqid10,clsid11002
drqid10,clsid1568
drqid10,clsid3277
drqid10,clsid7528
drqid11,clsid1174
drqid11,clsid12075
drqid11,clsid12777
drqid11,clsid8571
drqid11,clsid8885
drqid12,clsid10328
drqid12,clsid12105
drqid12,clsid2142
drqid12,clsid5689
drqid12,clsid5724
drqid13,clsid10786
drqid13,clsid11001
drqid13,clsid11201
drqid13,clsid11904
drqid13,clsid12291
drqid13,clsid2045
drqid13,clsid2881
drqid13,clsid351
drqid13,clsid3679
drqid13,clsid3967
drqid13,clsid5979
drqid13,clsid7077
drqid13,clsid7290
drqid13,clsid8060
drqid13,clsid9624
drqid13,clsid9812
drqid14,clsid12767
drqid14,clsid207
drqid14,clsid4987
drqid15,clsid11862
drqid15,clsid9448
drqid16,clsid3655
drqid17,clsid10489
drqid17,clsid503
drqid17,clsid5460
drqid18,clsid2579
drqid18,clsid3951
drqid19,clsid10375
drqid19,clsid11048
drqid19,clsid2038
drqid19,clsid2781
drqid19,clsid2859
drqid19,clsid2961
drqid19,clsid3999
drqid19,clsid4850
drqid19,clsid8347
drqid19,clsid8587
drqid19,clsid8843
drqid19,clsid9956
drqid20,clsid10250
drqid20,clsid3496
drqid20,clsid8958
drqid20,clsid9003
drqid21,clsid4528
drqid22,clsid11419
drqid22,clsid8626
drqid22,clsid8706
drqid23,clsid10014
drqid23,clsid4419
drqid23,clsid6270
drqid23,clsid8241
drqid24,clsid11079
drqid25,clsid10971
drqid25,clsid4046
drqid25,clsid9485
drqid26,clsid10081
drqid26,clsid10807
drqid26,clsid4851
drqid27,clsid6706
drqid28,clsid3631
drqid28,clsid8133
drqid29,clsid10687
drqid29,clsid1491
drqid30,clsid12480
drqid30,clsid12834
drqid31,clsid2319
drqid31,clsid5616
drqid31,clsid8447
drqid32,clsid1631
drqid32,clsid2323
drqid32,clsid2809
drqid32,clsid3070
drqid32,clsid503
drqid32,clsid5240
drqid32,clsid8317
drqid32,clsid910
drqid33,clsid1221
drqid33,clsid6040
drqid33,clsid837
drqid34,clsid10976
drqid34,clsid12117
drqid34,clsid1969
drqid34,clsid2040
drqid34,clsid2221
drqid34,clsid2403
drqid34,clsid2465
drqid34,clsid2889
drqid34,clsid2907
drqid34,clsid3426
drqid34,clsid455
drqid34,clsid4948
drqid34,clsid5009
drqid34,clsid5139
drqid34,clsid6527
drqid34,clsid667
drqid34,clsid7565
drqid34,clsid8811
drqid34,clsid9073
drqid34,clsid9122
drqid34,clsid9221
drqid34,clsid9259
drqid34,clsid9296
drqid34,clsid9503
drqid35,clsid10531
drqid35,clsid3065
drqid35,clsid485
drqid35,clsid5006
drqid36,clsid12950
drqid36,clsid2079
drqid36,clsid7444
drqid36,clsid9783
drqid37,clsid3442
drqid37,clsid5227
drqid37,clsid698
drqid37,clsid8058
drqid38,clsid1054
drqid38,clsid11412
drqid38,clsid12135
drqid38,clsid12402
drqid38,clsid12469
drqid38,clsid12814
drqid38,clsid1597
drqid38,clsid1633
drqid38,clsid3281
drqid38,clsid3913
drqid38,clsid5337
drqid38,clsid5771
drqid38,clsid724
drqid38,clsid7632
drqid38,clsid8315
drqid38,clsid8915
drqid38,clsid9283
drqid38,clsid9651
drqid39,clsid225
drqid40,clsid11310
drqid40,clsid2680
drqid40,clsid3653
drqid40,clsid4929
drqid41,clsid8140
drqid42,clsid10948
drqid42,clsid11772
drqid42,clsid12709
drqid43,clsid1617
drqid44,clsid8328
drqid45,clsid11398
drqid45,clsid4014
drqid45,clsid4790
drqid45,clsid6391
drqid45,clsid9975
drqid46,clsid10392
drqid46,clsid10650
