fltid,fltdesc,flttype
fltid1,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid2,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid3,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid4,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid5,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid6,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid7,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid8,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid9,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid10,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid11,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid12,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid13,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid14,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid15,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid16,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid17,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid18,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid19,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid20,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid21,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid22,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid23,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid24,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid25,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid26,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid27,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid28,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid29,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid30,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid31,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid32,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid33,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid34,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid35,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid36,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid37,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid38,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid39,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid40,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid41,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid42,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid43,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid44,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid45,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid46,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid47,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid48,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid49,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid50,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid51,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid52,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid53,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid54,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid55,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid56,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid57,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid58,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid59,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid60,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid61,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid62,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid63,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid64,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid65,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid66,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid67,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid68,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid69,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid70,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid71,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid72,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid73,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid74,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid75,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid76,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid77,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid78,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid79,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid80,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid81,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid82,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid83,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
