glid,gldesc
glid1,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid2,Requirements are often unclear when first elicited from clients and stakeholders.
glid3,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid4,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid5,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid6,Requirements are often unclear when first elicited from clients and stakeholders.
glid7,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid8,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid9,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid10,Requirements are often unclear when first elicited from clients and stakeholders.
glid11,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid12,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid13,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid14,Requirements are often unclear when first elicited from clients and stakeholders.
glid15,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid16,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid17,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid18,Requirements are often unclear when first elicited from clients and stakeholders.
glid19,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid20,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid21,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid22,Requirements are often unclear when first elicited from clients and stakeholders.
glid23,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid24,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid25,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid26,Requirements are often unclear when first elicited from clients and stakeholders.
glid27,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid28,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid29,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid30,Requirements are often unclear when first elicited from clients and stakeholders.
glid31,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid32,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid33,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid34,Requirements are often unclear when first elicited from clients and stakeholders.
glid35,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid36,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid37,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid38,Requirements are often unclear when first elicited from clients and stakeholders.
glid39,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid40,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid41,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid42,Requirements are often unclear when first elicited from clients and stakeholders.
glid43,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid44,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid45,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid46,Requirements are often unclear when first elicited from clients and stakeholders.
glid47,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid48,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid49,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid50,Requirements are often unclear when first elicited from clients and stakeholders.
glid51,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid52,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid53,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid54,Requirements are often unclear when first elicited from clients and stakeholders.
glid55,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid56,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid57,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid58,Requirements are often unclear when first elicited from clients and stakeholders.
glid59,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid60,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid61,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid62,Requirements are often unclear when first elicited from clients and stakeholders.
glid63,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid64,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid65,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid66,Requirements are often unclear when first elicited from clients and stakeholders.
glid67,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid68,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid69,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
glid70,Requirements are often unclear when first elicited from clients and stakeholders.
glid71,Goals provide a useful way of dealing with conflict because the meeting of one goal may interfere with the meeting of others.
glid72,A goal-oriented approach would allow the requirements to be refined and clarified through an incremental process.
glid73,Goals are seen to have substantial promise in aiding the elicitation and elaboration of requirements.
