ssrqid,ssrqtype,ssrqdesc
ssrqid1,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid2,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid3,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid4,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid5,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid6,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid7,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid8,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid9,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid10,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid11,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid12,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid13,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid14,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid15,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid16,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid17,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid18,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid19,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid20,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid21,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid22,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid23,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid24,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid25,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid26,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid27,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid28,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid29,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid30,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid31,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid32,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid33,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid34,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid35,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid36,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid37,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid38,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid39,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid40,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid41,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid42,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid43,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid44,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid45,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid46,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid47,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid48,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid49,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid50,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid51,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid52,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid53,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid54,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid55,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid56,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid57,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid58,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid59,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid60,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid61,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid62,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid63,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid64,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid65,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid66,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid67,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid68,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid69,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid70,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid71,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid72,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid73,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid74,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid75,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid76,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid77,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid78,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid79,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid80,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid81,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid82,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid83,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid84,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid85,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid86,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid87,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid88,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid89,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid90,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid91,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid92,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid93,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid94,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid95,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid96,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid97,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid98,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid99,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid100,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid101,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid102,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid103,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid104,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid105,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid106,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid107,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid108,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid109,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid110,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid111,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid112,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid113,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid114,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid115,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid116,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid117,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid118,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid119,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid120,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid121,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid122,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid123,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid124,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid125,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid126,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid127,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid128,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid129,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid130,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid131,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid132,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid133,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid134,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid135,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid136,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid137,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid138,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid139,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid140,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid141,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid142,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid143,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid144,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid145,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid146,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid147,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid148,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid149,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid150,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid151,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid152,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid153,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid154,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid155,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid156,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid157,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid158,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid159,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid160,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid161,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid162,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid163,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid164,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid165,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid166,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid167,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid168,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid169,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid170,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid171,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid172,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid173,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid174,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid175,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid176,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid177,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
