"SSRQID","CLSID"
"ssrqid1","clsid1239"
"ssrqid2","clsid3517"
"ssrqid2","clsid4442"
"ssrqid3","clsid11103"
"ssrqid3","clsid261"
"ssrqid3","clsid2967"
"ssrqid3","clsid4515"
"ssrqid3","clsid4628"
"ssrqid3","clsid9342"
"ssrqid3","clsid1601"
"ssrqid3","clsid2949"
"ssrqid3","clsid6872"
"ssrqid3","clsid8545"
"ssrqid4","clsid103"
"ssrqid4","clsid2333"
"ssrqid4","clsid7258"
"ssrqid4","clsid8210"
"ssrqid4","clsid9741"
"ssrqid4","clsid12824"
"ssrqid4","clsid43"
"ssrqid4","clsid5171"
"ssrqid4","clsid7299"
"ssrqid4","clsid8476"
"ssrqid5","clsid249"
"ssrqid5","clsid5372"
"ssrqid6","clsid1047"
"ssrqid6","clsid12471"
"ssrqid6","clsid4912"
"ssrqid6","clsid784"
"ssrqid6","clsid9611"
"ssrqid6","clsid3609"
"ssrqid6","clsid3628"
"ssrqid7","clsid11329"
"ssrqid7","clsid11369"
"ssrqid7","clsid12455"
"ssrqid7","clsid7101"
"ssrqid7","clsid11715"
"ssrqid7","clsid12793"
"ssrqid7","clsid2450"
"ssrqid7","clsid3623"
"ssrqid7","clsid4174"
"ssrqid7","clsid4560"
"ssrqid7","clsid4678"
"ssrqid7","clsid6902"
"ssrqid7","clsid8909"
"ssrqid8","clsid2822"
"ssrqid8","clsid5267"
"ssrqid8","clsid5387"
"ssrqid8","clsid5859"
"ssrqid8","clsid9563"
"ssrqid9","clsid5203"
"ssrqid9","clsid6983"
"ssrqid10","clsid12006"
"ssrqid10","clsid12114"
"ssrqid10","clsid5836"
"ssrqid10","clsid8165"
"ssrqid10","clsid9082"
"ssrqid11","clsid5527"
"ssrqid11","clsid11140"
"ssrqid11","clsid4166"
"ssrqid12","clsid6449"
"ssrqid12","clsid8692"
"ssrqid13","clsid10735"
"ssrqid13","clsid374"
"ssrqid13","clsid3789"
"ssrqid13","clsid5588"
"ssrqid13","clsid621"
"ssrqid13","clsid6523"
"ssrqid13","clsid7708"
"ssrqid14","clsid12534"
"ssrqid14","clsid2108"
"ssrqid14","clsid687"
"ssrqid14","clsid979"
"ssrqid14","clsid2054"
"ssrqid14","clsid3129"
"ssrqid14","clsid4256"
"ssrqid14","clsid6297"
"ssrqid15","clsid11469"
"ssrqid15","clsid4725"
"ssrqid15","clsid5585"
"ssrqid16","clsid1185"
"ssrqid16","clsid3145"
"ssrqid16","clsid12190"
"ssrqid16","clsid2222"
"ssrqid17","clsid10954"
"ssrqid17","clsid10256"
"ssrqid17","clsid4069"
"ssrqid18","clsid7013"
"ssrqid18","clsid7615"
"ssrqid18","clsid8456"
"ssrqid18","clsid11805"
"ssrqid18","clsid3428"
"ssrqid18","clsid4046"
"ssrqid18","clsid5650"
"ssrqid18","clsid7697"
"ssrqid19","clsid1999"
"ssrqid19","clsid331"
