ssrqid,drqid
ssrqid1,drqid2616
ssrqid2,drqid2788
ssrqid3,drqid1686
ssrqid3,drqid2529
ssrqid4,drqid1590
ssrqid4,drqid1911
ssrqid5,drqid3035
ssrqid6,drqid1147
ssrqid6,drqid2423
ssrqid7,drqid2685
ssrqid7,drqid3613
ssrqid8,drqid1716
ssrqid9,drqid53
ssrqid10,drqid2122
ssrqid11,drqid3044
ssrqid11,drqid3917
ssrqid12,drqid2297
ssrqid13,drqid1171
ssrqid13,drqid2977
ssrqid14,drqid1382
ssrqid14,drqid2001
ssrqid14,drqid783
ssrqid15,drqid684
ssrqid16,drqid119
ssrqid16,drqid707
ssrqid17,drqid1712
ssrqid17,drqid2399
ssrqid18,drqid3452
ssrqid18,drqid3693
ssrqid19,drqid3243
ssrqid19,drqid3351
ssrqid20,drqid1899
ssrqid20,drqid3156
ssrqid21,drqid1676
ssrqid21,drqid2358
ssrqid22,drqid1143
ssrqid22,drqid1723
ssrqid23,drqid3791
ssrqid23,drqid743
ssrqid24,drqid3299
ssrqid25,drqid3301
ssrqid26,drqid156
ssrqid26,drqid1922
ssrqid27,drqid3626
ssrqid27,drqid3703
ssrqid28,drqid1438
ssrqid28,drqid3653
ssrqid29,drqid2215
ssrqid29,drqid3294
ssrqid30,drqid2811
ssrqid30,drqid2880
ssrqid31,drqid2977
ssrqid31,drqid734
ssrqid32,drqid3502
ssrqid33,drqid2030
ssrqid33,drqid912
ssrqid34,drqid1177
ssrqid34,drqid1502
ssrqid34,drqid533
ssrqid35,drqid3853
ssrqid35,drqid847
ssrqid36,drqid1425
ssrqid36,drqid1956
ssrqid37,drqid3267
ssrqid37,drqid3918
ssrqid38,drqid1303
ssrqid38,drqid182
ssrqid39,drqid1907
ssrqid40,drqid1585
ssrqid40,drqid3221
ssrqid41,drqid3402
ssrqid41,drqid3824
ssrqid42,drqid1032
ssrqid43,drqid1100
ssrqid43,drqid1523
ssrqid44,drqid3858
ssrqid45,drqid1022
ssrqid46,drqid1049
ssrqid46,drqid3792
ssrqid47,drqid1365
ssrqid47,drqid2452
ssrqid48,drqid708
ssrqid48,drqid991
ssrqid49,drqid1208
ssrqid49,drqid3075
ssrqid50,drqid3907
ssrqid51,drqid2768
ssrqid51,drqid333
ssrqid52,drqid1171
ssrqid52,drqid1992
ssrqid53,drqid1293
ssrqid53,drqid1711
ssrqid54,drqid1361
ssrqid54,drqid70
ssrqid55,drqid3413
ssrqid56,drqid265
ssrqid57,drqid3567
ssrqid58,drqid341
ssrqid58,drqid768
ssrqid59,drqid2723
ssrqid59,drqid3046
ssrqid60,drqid1242
ssrqid60,drqid1388
ssrqid61,drqid3809
ssrqid61,drqid884
ssrqid62,drqid1873
ssrqid63,drqid1745
ssrqid63,drqid2316
ssrqid64,drqid1291
ssrqid65,drqid279
ssrqid66,drqid3152
ssrqid67,drqid3515
ssrqid68,drqid298
ssrqid68,drqid3356
ssrqid69,drqid568
ssrqid70,drqid32
ssrqid70,drqid435
ssrqid71,drqid2066
ssrqid71,drqid3790
ssrqid72,drqid740
ssrqid72,drqid764
ssrqid73,drqid1133
ssrqid74,drqid3671
ssrqid75,drqid2708
ssrqid75,drqid3225
ssrqid76,drqid1480
ssrqid77,drqid3562
ssrqid77,drqid3768
ssrqid77,drqid3841
ssrqid78,drqid2956
ssrqid79,drqid475
ssrqid80,drqid1049
ssrqid80,drqid2777
ssrqid81,drqid736
ssrqid82,drqid2433
ssrqid82,drqid853
ssrqid83,drqid1407
ssrqid84,drqid1090
ssrqid84,drqid3171
ssrqid85,drqid2675
ssrqid85,drqid3943
ssrqid85,drqid419
ssrqid86,drqid1863
ssrqid86,drqid545
ssrqid87,drqid2757
ssrqid87,drqid2889
ssrqid88,drqid2918
ssrqid88,drqid2922
ssrqid89,drqid296
ssrqid90,drqid650
ssrqid91,drqid2468
ssrqid92,drqid3273
ssrqid92,drqid410
ssrqid93,drqid110
ssrqid93,drqid2619
ssrqid93,drqid3799
ssrqid94,drqid1364
ssrqid94,drqid2957
ssrqid95,drqid3946
ssrqid95,drqid578
ssrqid96,drqid134
ssrqid96,drqid2139
ssrqid97,drqid2423
ssrqid98,drqid2417
ssrqid98,drqid2956
ssrqid99,drqid1543
ssrqid100,drqid147
ssrqid100,drqid3158
ssrqid101,drqid1903
ssrqid101,drqid3403
ssrqid101,drqid3899
ssrqid102,drqid2538
ssrqid102,drqid2894
ssrqid102,drqid3726
ssrqid103,drqid985
ssrqid104,drqid1399
ssrqid104,drqid1784
ssrqid105,drqid1707
ssrqid106,drqid1599
ssrqid106,drqid1787
ssrqid107,drqid2036
ssrqid108,drqid468
ssrqid108,drqid616
ssrqid109,drqid1099
ssrqid109,drqid774
ssrqid110,drqid2747
ssrqid110,drqid2774
ssrqid111,drqid766
ssrqid112,drqid1175
ssrqid112,drqid323
ssrqid113,drqid1729
ssrqid114,drqid735
ssrqid115,drqid2211
ssrqid116,drqid973
ssrqid117,drqid3649
ssrqid117,drqid645
ssrqid118,drqid124
ssrqid119,drqid1289
ssrqid120,drqid3359
ssrqid120,drqid997
ssrqid121,drqid1300
ssrqid121,drqid3121
ssrqid122,drqid2500
ssrqid122,drqid823
ssrqid123,drqid931
ssrqid124,drqid2043
ssrqid124,drqid2108
ssrqid125,drqid736
ssrqid126,drqid3345
ssrqid127,drqid3793
ssrqid128,drqid321
ssrqid128,drqid597
ssrqid129,drqid1243
ssrqid129,drqid2038
ssrqid129,drqid3046
ssrqid130,drqid1059
