ucid,ucpactor,uctitle,ucdesc
ucid1,Patient,normal Operation,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid2,Clinician,Patient-Requested Bolus,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid3,ICE app,Clinician-Requested Bolus,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid4,Clinician,ICE-Dectected Hazard,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid5,Clinician or APP,Resume Operation After ICE-Dected Hazard,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid6,Clinician,ICE-initiated Audible Alarm Inactivation,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid7,Clinician,Resume Infusion,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid8,Patient,Flush Pump,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid9,Clinician,Prime Pump,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid10,ICE app,normal Operation,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid11,Clinician,Patient-Requested Bolus,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid12,Clinician or APP,Clinician-Requested Bolus,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid13,Clinician,ICE-Dectected Hazard,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid14,Clinician,Resume Operation After ICE-Dected Hazard,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid15,Patient,ICE-initiated Audible Alarm Inactivation,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid16,Clinician,Resume Infusion,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid17,ICE app,Flush Pump,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid18,Clinician,Prime Pump,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid19,Clinician or APP,normal Operation,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid20,Clinician,Patient-Requested Bolus,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid21,Clinician,Clinician-Requested Bolus,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid22,Patient,ICE-Dectected Hazard,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid23,Clinician,Resume Operation After ICE-Dected Hazard,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid24,ICE app,ICE-initiated Audible Alarm Inactivation,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid25,Clinician,Resume Infusion,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid26,Clinician or APP,Flush Pump,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid27,Clinician,Prime Pump,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid28,Clinician,normal Operation,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid29,Patient,Patient-Requested Bolus,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid30,Clinician,Clinician-Requested Bolus,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid31,ICE app,ICE-Dectected Hazard,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid32,Clinician,Resume Operation After ICE-Dected Hazard,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid33,Clinician or APP,ICE-initiated Audible Alarm Inactivation,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid34,Clinician,Resume Infusion,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid35,Clinician,Flush Pump,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid36,Patient,Prime Pump,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid37,Clinician,normal Operation,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid38,ICE app,Patient-Requested Bolus,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid39,Clinician,Clinician-Requested Bolus,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid40,Clinician or APP,ICE-Dectected Hazard,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid41,Clinician,Resume Operation After ICE-Dected Hazard,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid42,Clinician,ICE-initiated Audible Alarm Inactivation,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid43,Patient,Resume Infusion,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid44,Clinician,Flush Pump,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid45,ICE app,Prime Pump,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid46,Clinician,normal Operation,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid47,Clinician or APP,Patient-Requested Bolus,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid48,Clinician,Clinician-Requested Bolus,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid49,Clinician,ICE-Dectected Hazard,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid50,Patient,Resume Operation After ICE-Dected Hazard,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid51,Clinician,ICE-initiated Audible Alarm Inactivation,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid52,ICE app,Resume Infusion,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid53,Clinician,Flush Pump,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid54,Clinician or APP,Prime Pump,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid55,Clinician,normal Operation,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid56,Clinician,Patient-Requested Bolus,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid57,Patient,Clinician-Requested Bolus,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid58,Clinician,ICE-Dectected Hazard,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid59,ICE app,Resume Operation After ICE-Dected Hazard,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid60,Clinician,ICE-initiated Audible Alarm Inactivation,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid61,Clinician or APP,Resume Infusion,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid62,Clinician,Flush Pump,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid63,Clinician,Prime Pump,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid64,Patient,normal Operation,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid65,Clinician,Patient-Requested Bolus,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
