"CLASSNAME","DESCRIPTION","CREATEDBY","CREATEDON","VERSION","CLASSES"
"PCA1","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-07-11","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AllowAllAuthenticator.java"
"PCA2","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-07-11","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AllowAllAuthorizer.java"
"PCA3","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-07-11","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AllowAllInternodeAuthenticator.java"
"PCA4","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-07-11","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AuthenticatedUser.java"
"PCA5"," ","Caleb","2016-07-11","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AuthKeyspace.java"
"PCA6","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-07-11","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\AuthMigrationListener.java"
"PCA7","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-07-11","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\CassandraAuthorizer.java"
"PCA8","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-07-11","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\CassandraRoleManager.java"
"PCA9","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-07-11","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\DataResource.java"
"PCA10"," ","Caleb","2016-07-10","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\FunctionResource.java"
"PCA11","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-07-10","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\IAuthenticator.java"
