"COMPONENTID","COMPONENTNAME","FUNCTION"
"CP1","ICE Bus Adapter","The patient should receive enough drug to relieve the pain."
"CP2","Commands","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP3","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP4","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP5","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"CP6","Power Control","The patient should not receive so much drug that makes him unaware"
"CP7","Control Panel","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP9","Operation Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP10","Drug Libary Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP11","Event Logger Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP12","Scanner","Performs primary pump operation"
"CP13","Security Subsystem","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP14","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP15","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP16","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP17","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP18","Drug Reservoir","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP19","Patient Button","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP20","Safety","The patient should receive enough drug to relieve the pain."
"CP21","Failture LED","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP22","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP23","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP24","Error Dector","Patient''s health information should be available to those caring for the patient, and only those."
"CP25","Fault Logger","The patient should not receive so much drug that makes him unaware"
"CP26","Upstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP27","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP28","ICE Bus Adapter","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP29","Commands","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP30","Parameters","Patient''s health information should be available to those caring for the patient, and only those."
"CP31","Security Status","Performs primary pump operation"
"CP32","Alarms","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP33","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP34","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP35","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP36","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP37","Drug Libary Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP38","Event Logger Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP39","Scanner","The patient should receive enough drug to relieve the pain."
"CP40","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP41","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP42","Pump","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP43","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP44","Downstream Monitor","The patient should not receive so much drug that makes him unaware"
"CP45","Drug Reservoir","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP46","Patient Button","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP47","Safety","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP48","Failture LED","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP49","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP50","Pump fault manager","Performs primary pump operation"
"CP51","Error Dector","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP52","Fault Logger","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP53","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP54","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP55","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"CP56","Commands","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP57","Parameters","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP58","Security Status","The patient should receive enough drug to relieve the pain."
"CP59","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP60","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP61","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP62","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"CP63","Operation Thread","The patient should not receive so much drug that makes him unaware"
"CP64","Drug Libary Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP65","Event Logger Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP66","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP67","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP68","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP69","Pump","Performs primary pump operation"
"CP70","Upstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP71","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP72","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP73","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP74","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"CP75","Failture LED","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP76","Alarm Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP77","Pump fault manager","The patient should receive enough drug to relieve the pain."
"CP78","Error Dector","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP79","Fault Logger","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP80","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP81","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP82","ICE Bus Adapter","The patient should not receive so much drug that makes him unaware"
"CP83","Commands","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP84","Parameters","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP85","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP86","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP87","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"CP88","Control Panel","Performs primary pump operation"
"CP89","Operation Process","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP90","Operation Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP91","Drug Libary Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP92","Event Logger Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP93","Scanner","Patient''s health information should be available to those caring for the patient, and only those."
"CP94","Security Subsystem","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP95","Security Subsystem","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP96","Pump","The patient should receive enough drug to relieve the pain."
"CP97","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP98","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP99","Drug Reservoir","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP100","Patient Button","Patient''s health information should be available to those caring for the patient, and only those."
"CP101","Safety","The patient should not receive so much drug that makes him unaware"
"CP102","Failture LED","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP103","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP104","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP105","Error Dector","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP106","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"CP107","Upstream Monitor","Performs primary pump operation"
"CP108","Downstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP109","ICE Bus Adapter","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP110","Commands","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP111","Parameters","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP112","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"CP113","Alarms","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP114","Power Control","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP115","Control Panel","The patient should receive enough drug to relieve the pain."
"CP116","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP117","Operation Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP118","Drug Libary Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP119","Event Logger Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP120","Scanner","The patient should not receive so much drug that makes him unaware"
"CP121","Security Subsystem","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP122","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP123","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP124","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP125","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP126","Drug Reservoir","Performs primary pump operation"
"CP127","Patient Button","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP128","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP129","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP130","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP131","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"CP132","Error Dector","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP133","Fault Logger","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP134","Upstream Monitor","The patient should receive enough drug to relieve the pain."
"CP135","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP136","ICE Bus Adapter","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP137","Commands","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP138","Parameters","Patient''s health information should be available to those caring for the patient, and only those."
"CP139","Security Status","The patient should not receive so much drug that makes him unaware"
"CP140","Alarms","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP141","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP142","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP143","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP144","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
