"COMPONENTID","CLASSNAME"
"CP46","PCA88"
"CP46","PCA3948"
"CP46","PCA9306"
"CP18","PCA1590"
"CP18","PCA5700"
"CP18","PCA5451"
"CP2616","PCA9510"
"CP6490","PCA9510"
"CP8383","PCA9510"
"CP2616","PCA4683"
"CP6490","PCA4683"
"CP8383","PCA4683"
"CP2616","PCA7908"
"CP6490","PCA7908"
"CP8383","PCA7908"
"CP61","PCA52"
"CP6602","PCA28"
"CP987","PCA28"
"CP5354","PCA28"
"CP33","PCA7568"
"CP33","PCA7303"
"CP33","PCA9468"
"CP4240","PCA7003"
"CP8927","PCA7003"
"CP9133","PCA7003"
"CP4240","PCA6041"
"CP8927","PCA6041"
"CP9133","PCA6041"
"CP4240","PCA7431"
"CP8927","PCA7431"
"CP9133","PCA7431"
"CP27","PCA9377"
"CP27","PCA8628"
"CP27","PCA9063"
"CP2983","PCA54"
"CP6138","PCA54"
"CP5477","PCA54"
"CP51","PCA15"
"CP66","PCA7089"
"CP66","PCA8081"
"CP66","PCA5184"
"CP6220","PCA14"
"CP1647","PCA14"
"CP1662","PCA14"
"CP20","PCA567"
"CP20","PCA7280"
"CP20","PCA832"
"CP53","PCA3027"
"CP53","PCA7425"
"CP53","PCA9123"
"CP8073","PCA24"
"CP4981","PCA24"
"CP9587","PCA24"
"CP11","PCA54"
"CP5194","PCA7"
"CP4646","PCA7"
"CP1440","PCA7"
"CP63","PCA6269"
"CP63","PCA2443"
"CP63","PCA4362"
"CP9926","PCA60"
"CP2086","PCA60"
"CP353","PCA60"
"CP1","PCA9560"
"CP1","PCA4159"
"CP1","PCA383"
"CP23","PCA37"
"CP946","PCA1851"
"CP4169","PCA1851"
"CP8058","PCA1851"
"CP946","PCA8612"
"CP4169","PCA8612"
"CP8058","PCA8612"
"CP946","PCA2072"
"CP4169","PCA2072"
"CP8058","PCA2072"
"CP9329","PCA7494"
"CP2972","PCA7494"
"CP5239","PCA7494"
"CP9329","PCA9080"
"CP2972","PCA9080"
"CP5239","PCA9080"
"CP9329","PCA5938"
"CP2972","PCA5938"
"CP5239","PCA5938"
"CP7","PCA7647"
"CP7","PCA4004"
"CP7","PCA9520"
"CP7689","PCA12"
"CP943","PCA12"
"CP8439","PCA12"
"CP5594","PCA22"
"CP6317","PCA22"
"CP4249","PCA22"
"CP2285","PCA54"
"CP3135","PCA54"
"CP6475","PCA54"
"CP42","PCA2148"
"CP42","PCA2655"
"CP42","PCA5594"
"CP66","PCA41"
"CP56","PCA4651"
"CP56","PCA1188"
"CP56","PCA8867"
"CP48","PCA1250"
"CP48","PCA8053"
"CP48","PCA6121"
"CP8547","PCA3061"
"CP1549","PCA3061"
"CP3685","PCA3061"
"CP8547","PCA6997"
"CP1549","PCA6997"
"CP3685","PCA6997"
"CP8547","PCA6930"
"CP1549","PCA6930"
"CP3685","PCA6930"
"CP64","PCA5286"
"CP64","PCA5864"
"CP64","PCA7215"
"CP4098","PCA13"
"CP2432","PCA13"
"CP6810","PCA13"
"CP50","PCA16"
"CP9709","PCA7025"
"CP5166","PCA7025"
"CP305","PCA7025"
"CP9709","PCA591"
"CP5166","PCA591"
"CP305","PCA591"
"CP9709","PCA2232"
"CP5166","PCA2232"
"CP305","PCA2232"
"CP25","PCA4592"
"CP25","PCA9724"
"CP25","PCA9435"
"CP4","PCA31"
"CP44","PCA9746"
"CP44","PCA2699"
"CP44","PCA3377"
"CP2","PCA4"
"CP693","PCA311"
"CP658","PCA311"
"CP1510","PCA311"
"CP693","PCA9917"
"CP658","PCA9917"
"CP1510","PCA9917"
"CP693","PCA929"
"CP658","PCA929"
"CP1510","PCA929"
"CP1457","PCA16"
"CP7900","PCA16"
"CP6098","PCA16"
"CP36","PCA53"
"CP1334","PCA710"
"CP1111","PCA710"
"CP8058","PCA710"
"CP1334","PCA4065"
"CP1111","PCA4065"
"CP8058","PCA4065"
"CP1334","PCA5859"
"CP1111","PCA5859"
"CP8058","PCA5859"
"CP7040","PCA4957"
"CP3479","PCA4957"
"CP570","PCA4957"
"CP7040","PCA1712"
"CP3479","PCA1712"
"CP570","PCA1712"
"CP7040","PCA4820"
"CP3479","PCA4820"
"CP570","PCA4820"
"CP4463","PCA52"
"CP1084","PCA52"
"CP4020","PCA52"
"CP70","PCA69"
"CP55","PCA9"
"CP1862","PCA58"
"CP7207","PCA58"
"CP3894","PCA58"
"CP5509","PCA55"
"CP6620","PCA55"
"CP5615","PCA55"
"CP8919","PCA56"
"CP6297","PCA56"
"CP9382","PCA56"
"CP9","PCA6787"
"CP9","PCA6338"
"CP9","PCA4567"
"CP22","PCA42"
"CP3085","PCA3924"
"CP1384","PCA3924"
"CP7908","PCA3924"
"CP3085","PCA9817"
"CP1384","PCA9817"
"CP7908","PCA9817"
"CP3085","PCA2269"
"CP1384","PCA2269"
"CP7908","PCA2269"
"CP35","PCA67"
"CP8162","PCA22"
"CP6248","PCA22"
"CP6003","PCA22"
"CP56","PCA9283"
"CP56","PCA6943"
"CP56","PCA9970"
"CP2","PCA10"
"CP7","PCA70"
"CP4291","PCA19"
"CP2847","PCA19"
"CP5573","PCA19"
"CP3233","PCA3500"
"CP6990","PCA3500"
"CP9325","PCA3500"
"CP3233","PCA1589"
"CP6990","PCA1589"
"CP9325","PCA1589"
"CP3233","PCA5102"
"CP6990","PCA5102"
"CP9325","PCA5102"
"CP9708","PCA4529"
"CP774","PCA4529"
"CP3807","PCA4529"
"CP9708","PCA2008"
"CP774","PCA2008"
"CP3807","PCA2008"
"CP9708","PCA5521"
"CP774","PCA5521"
"CP3807","PCA5521"
"CP20","PCA69"
"CP24","PCA3688"
"CP24","PCA9373"
"CP24","PCA2948"
"CP13","PCA43"
"CP762","PCA3368"
"CP8592","PCA3368"
"CP364","PCA3368"
"CP762","PCA603"
"CP8592","PCA603"
"CP364","PCA603"
"CP762","PCA1308"
"CP8592","PCA1308"
"CP364","PCA1308"
"CP41","PCA12"
"CP29","PCA10"
"CP9093","PCA7761"
"CP9898","PCA7761"
"CP8232","PCA7761"
"CP9093","PCA9499"
"CP9898","PCA9499"
"CP8232","PCA9499"
"CP9093","PCA3824"
"CP9898","PCA3824"
"CP8232","PCA3824"
"CP6871","PCA2522"
"CP4929","PCA2522"
"CP9637","PCA2522"
"CP6871","PCA4178"
"CP4929","PCA4178"
"CP9637","PCA4178"
"CP6871","PCA1058"
"CP4929","PCA1058"
"CP9637","PCA1058"
"CP9397","PCA1589"
"CP7441","PCA1589"
"CP9715","PCA1589"
"CP9397","PCA5047"
"CP7441","PCA5047"
"CP9715","PCA5047"
"CP9397","PCA2900"
"CP7441","PCA2900"
"CP9715","PCA2900"
"CP52","PCA3585"
"CP52","PCA4273"
"CP52","PCA6121"
"CP3445","PCA6017"
"CP9869","PCA6017"
"CP3288","PCA6017"
"CP3445","PCA502"
"CP9869","PCA502"
"CP3288","PCA502"
"CP3445","PCA1626"
"CP9869","PCA1626"
"CP3288","PCA1626"
"CP3778","PCA9148"
