"COMPONENTID","EXCEPTIONCASEID"
"CP5588","EC7682"
"CP2809","EC7682"
"CP3347","EC7682"
"CP59","EC7682"
"CP10","EC7682"
"CP7","EC7682"
"CP8255","EC7682"
"CP1383","EC7682"
"CP49","EC7682"
"CP46","EC7682"
"CP1509","EC7682"
"CP2186","EC7682"
"CP2378","EC7682"
"CP49","EC7682"
"CP5588","EC5211"
"CP2809","EC5211"
"CP3347","EC5211"
"CP59","EC5211"
"CP10","EC5211"
"CP7","EC5211"
"CP8255","EC5211"
"CP1383","EC5211"
"CP49","EC5211"
"CP46","EC5211"
"CP1509","EC5211"
"CP2186","EC5211"
"CP2378","EC5211"
"CP49","EC5211"
"CP5588","EC5308"
"CP2809","EC5308"
"CP3347","EC5308"
"CP59","EC5308"
"CP10","EC5308"
"CP7","EC5308"
"CP8255","EC5308"
"CP1383","EC5308"
"CP49","EC5308"
"CP46","EC5308"
"CP1509","EC5308"
"CP2186","EC5308"
"CP2378","EC5308"
"CP49","EC5308"
"CP20","EC5258"
"CP20","EC2093"
"CP20","EC6373"
"CP4100","EC26"
"CP7156","EC26"
"CP1355","EC26"
"CP4","EC6496"
"CP50","EC6496"
"CP55","EC6496"
"CP756","EC6496"
"CP3463","EC6496"
"CP5567","EC6496"
"CP276","EC6496"
"CP1884","EC6496"
"CP2549","EC6496"
"CP3258","EC6496"
"CP3316","EC6496"
"CP5312","EC6496"
"CP3249","EC6496"
"CP7555","EC6496"
"CP6099","EC6496"
"CP8956","EC6496"
"CP7776","EC6496"
"CP4744","EC6496"
"CP25","EC6496"
"CP2204","EC6496"
"CP9001","EC6496"
"CP9354","EC6496"
"CP47","EC6496"
"CP8521","EC6496"
"CP4988","EC6496"
"CP1194","EC6496"
"CP37","EC6496"
"CP51","EC6496"
"CP4","EC8966"
"CP50","EC8966"
"CP55","EC8966"
"CP756","EC8966"
"CP3463","EC8966"
"CP5567","EC8966"
"CP276","EC8966"
"CP1884","EC8966"
"CP2549","EC8966"
"CP3258","EC8966"
"CP3316","EC8966"
"CP5312","EC8966"
"CP3249","EC8966"
"CP7555","EC8966"
"CP6099","EC8966"
"CP8956","EC8966"
"CP7776","EC8966"
"CP4744","EC8966"
"CP25","EC8966"
"CP2204","EC8966"
"CP9001","EC8966"
"CP9354","EC8966"
"CP47","EC8966"
"CP8521","EC8966"
"CP4988","EC8966"
"CP1194","EC8966"
"CP37","EC8966"
"CP51","EC8966"
"CP4","EC6021"
"CP50","EC6021"
"CP55","EC6021"
"CP756","EC6021"
"CP3463","EC6021"
"CP5567","EC6021"
"CP276","EC6021"
"CP1884","EC6021"
"CP2549","EC6021"
"CP3258","EC6021"
"CP3316","EC6021"
"CP5312","EC6021"
"CP3249","EC6021"
"CP7555","EC6021"
"CP6099","EC6021"
"CP8956","EC6021"
"CP7776","EC6021"
"CP4744","EC6021"
"CP25","EC6021"
"CP2204","EC6021"
"CP9001","EC6021"
"CP9354","EC6021"
"CP47","EC6021"
"CP8521","EC6021"
"CP4988","EC6021"
"CP1194","EC6021"
"CP37","EC6021"
"CP51","EC6021"
"CP37","EC5855"
"CP3172","EC5855"
"CP9461","EC5855"
"CP8273","EC5855"
"CP5833","EC5855"
"CP4757","EC5855"
"CP8019","EC5855"
"CP60","EC5855"
"CP37","EC7089"
"CP3172","EC7089"
"CP9461","EC7089"
"CP8273","EC7089"
"CP5833","EC7089"
"CP4757","EC7089"
"CP8019","EC7089"
"CP60","EC7089"
"CP37","EC9332"
"CP3172","EC9332"
"CP9461","EC9332"
"CP8273","EC9332"
"CP5833","EC9332"
"CP4757","EC9332"
"CP8019","EC9332"
"CP60","EC9332"
"CP7607","EC8274"
"CP3203","EC8274"
"CP690","EC8274"
"CP7607","EC5824"
"CP3203","EC5824"
"CP690","EC5824"
"CP7607","EC8734"
"CP3203","EC8734"
"CP690","EC8734"
"CP5011","EC68"
"CP3734","EC68"
"CP9700","EC68"
"CP20","EC68"
"CP20","EC68"
"CP42","EC68"
"CP6","EC68"
"CP4450","EC68"
"CP6487","EC68"
"CP6667","EC68"
"CP33","EC68"
"CP3661","EC68"
"CP8592","EC68"
"CP5208","EC68"
"CP47","EC68"
"CP188","EC468"
"CP7167","EC468"
"CP7904","EC468"
"CP26","EC468"
"CP3880","EC468"
"CP5915","EC468"
"CP1140","EC468"
"CP6546","EC468"
"CP1035","EC468"
"CP9326","EC468"
"CP6973","EC468"
"CP2382","EC468"
"CP9383","EC468"
"CP5920","EC468"
"CP511","EC468"
"CP801","EC468"
"CP295","EC468"
"CP6212","EC468"
"CP7578","EC468"
"CP47","EC468"
"CP188","EC4714"
"CP7167","EC4714"
"CP7904","EC4714"
"CP26","EC4714"
"CP3880","EC4714"
"CP5915","EC4714"
"CP1140","EC4714"
"CP6546","EC4714"
"CP1035","EC4714"
"CP9326","EC4714"
"CP6973","EC4714"
"CP2382","EC4714"
"CP9383","EC4714"
"CP5920","EC4714"
"CP511","EC4714"
"CP801","EC4714"
"CP295","EC4714"
"CP6212","EC4714"
"CP7578","EC4714"
"CP47","EC4714"
"CP188","EC8300"
"CP7167","EC8300"
"CP7904","EC8300"
"CP26","EC8300"
"CP3880","EC8300"
"CP5915","EC8300"
"CP1140","EC8300"
"CP6546","EC8300"
"CP1035","EC8300"
"CP9326","EC8300"
"CP6973","EC8300"
"CP2382","EC8300"
"CP9383","EC8300"
"CP5920","EC8300"
"CP511","EC8300"
"CP801","EC8300"
"CP295","EC8300"
"CP6212","EC8300"
"CP7578","EC8300"
"CP47","EC8300"
"CP9202","EC61"
"CP9539","EC61"
"CP4298","EC61"
"CP10","EC61"
"CP637","EC61"
"CP3371","EC61"
"CP6873","EC61"
"CP4957","EC61"
"CP3807","EC61"
"CP1324","EC61"
"CP1862","EC60"
"CP7207","EC60"
"CP3894","EC60"
"CP7","EC60"
"CP6","EC60"
"CP1137","EC60"
"CP384","EC60"
"CP531","EC60"
"CP17","EC60"
