"COMPONENTID","SUBCOMPONENTID"
"CP46","SCP2"
"CP9","SCP5"
"CP5","SCP8"
"CP9","SCP9"
"CP18","SCP10"
"CP8294","SCP11"
"CP63","SCP11"
"CP4024","SCP11"
"CP2616","SCP14"
"CP6490","SCP14"
"CP8383","SCP14"
"CP5132","SCP15"
"CP5692","SCP15"
"CP5502","SCP15"
"CP9","SCP17"
"CP442","SCP19"
"CP2022","SCP19"
"CP9353","SCP19"
"CP6837","SCP29"
"CP5331","SCP29"
"CP925","SCP29"
"CP6920","SCP31"
"CP8175","SCP31"
"CP6670","SCP31"
"CP457","SCP33"
"CP9446","SCP33"
"CP498","SCP33"
"CP3505","SCP38"
"CP2472","SCP38"
"CP1609","SCP38"
"CP61","SCP41"
"CP49","SCP42"
"CP6602","SCP43"
"CP987","SCP43"
"CP5354","SCP43"
"CP33","SCP44"
"CP4240","SCP49"
"CP8927","SCP49"
"CP9133","SCP49"
"CP45","SCP53"
"CP5947","SCP55"
"CP4623","SCP55"
"CP7401","SCP55"
"CP6143","SCP57"
"CP9350","SCP57"
"CP6539","SCP57"
"CP27","SCP59"
"CP2983","SCP62"
"CP6138","SCP62"
"CP5477","SCP62"
"CP68","SCP66"
"CP8","SCP71"
"CP42","SCP75"
"CP51","SCP77"
"CP66","SCP82"
"CP6220","SCP83"
"CP1647","SCP83"
"CP1662","SCP83"
"CP20","SCP84"
"CP9936","SCP86"
"CP909","SCP86"
"CP7634","SCP86"
"CP53","SCP91"
"CP58","SCP92"
"CP9052","SCP94"
"CP8167","SCP94"
"CP1802","SCP94"
"CP8073","SCP97"
"CP4981","SCP97"
"CP9587","SCP97"
"CP11","SCP102"
"CP5194","SCP106"
"CP4646","SCP106"
"CP1440","SCP106"
"CP7923","SCP110"
"CP1055","SCP110"
"CP1684","SCP110"
"CP2311","SCP112"
"CP4339","SCP112"
"CP9625","SCP112"
"CP19","SCP116"
"CP63","SCP118"
"CP54","SCP120"
"CP8388","SCP124"
"CP9184","SCP124"
"CP2743","SCP124"
"CP13","SCP125"
"CP1902","SCP129"
"CP130","SCP129"
"CP2987","SCP129"
"CP9926","SCP131"
"CP2086","SCP131"
"CP353","SCP131"
"CP1","SCP132"
"CP23","SCP141"
"CP66","SCP145"
"CP9039","SCP147"
"CP7271","SCP147"
"CP6841","SCP147"
"CP946","SCP148"
"CP4169","SCP148"
"CP8058","SCP148"
"CP32","SCP149"
"CP6365","SCP153"
"CP3831","SCP153"
"CP4075","SCP153"
"CP9329","SCP159"
"CP2972","SCP159"
"CP5239","SCP159"
"CP9224","SCP163"
"CP1974","SCP163"
"CP3942","SCP163"
"CP7","SCP164"
"CP7656","SCP166"
"CP5671","SCP166"
"CP121","SCP166"
"CP7689","SCP167"
"CP943","SCP167"
"CP8439","SCP167"
"CP5594","SCP169"
"CP6317","SCP169"
"CP4249","SCP169"
"CP2285","SCP171"
"CP3135","SCP171"
"CP6475","SCP171"
"CP34","SCP173"
"CP7544","SCP174"
"CP114","SCP174"
"CP4354","SCP174"
"CP38","SCP177"
"CP20","SCP178"
"CP6818","SCP180"
"CP2825","SCP180"
"CP4509","SCP180"
"CP7900","SCP181"
"CP6993","SCP181"
"CP643","SCP181"
"CP5773","SCP182"
"CP695","SCP182"
"CP8972","SCP182"
"CP2610","SCP184"
"CP8805","SCP184"
"CP7238","SCP184"
"CP8961","SCP185"
"CP3072","SCP185"
"CP9386","SCP185"
"CP59","SCP189"
