"COMPONENTID","USECASESTEPID"
"CP46","UseCaseStep7430"
"CP18","UseCaseStep17373"
"CP18","UseCaseStep17930"
"CP2616","UseCaseStep1099"
"CP2616","UseCaseStep6310"
"CP2616","UseCaseStep10277"
"CP6490","UseCaseStep1099"
"CP6490","UseCaseStep6310"
"CP6490","UseCaseStep10277"
"CP8383","UseCaseStep1099"
"CP8383","UseCaseStep6310"
"CP8383","UseCaseStep10277"
"CP2616","UseCaseStep9178"
"CP2616","UseCaseStep9973"
"CP2616","UseCaseStep17552"
"CP2616","UseCaseStep18276"
"CP6490","UseCaseStep9178"
"CP6490","UseCaseStep9973"
"CP6490","UseCaseStep17552"
"CP6490","UseCaseStep18276"
"CP8383","UseCaseStep9178"
"CP8383","UseCaseStep9973"
"CP8383","UseCaseStep17552"
"CP8383","UseCaseStep18276"
"CP61","UseCaseStep180"
"CP61","UseCaseStep337"
"CP61","UseCaseStep466"
"CP61","UseCaseStep878"
"CP61","UseCaseStep1050"
"CP61","UseCaseStep2151"
"CP61","UseCaseStep2161"
"CP61","UseCaseStep2802"
"CP61","UseCaseStep2827"
"CP61","UseCaseStep4751"
"CP61","UseCaseStep4874"
"CP61","UseCaseStep5639"
"CP61","UseCaseStep5807"
"CP61","UseCaseStep6157"
"CP61","UseCaseStep7135"
"CP61","UseCaseStep7296"
"CP61","UseCaseStep7613"
"CP61","UseCaseStep7625"
"CP61","UseCaseStep7674"
"CP61","UseCaseStep7753"
"CP61","UseCaseStep7862"
"CP61","UseCaseStep8520"
"CP61","UseCaseStep9258"
"CP61","UseCaseStep9334"
"CP61","UseCaseStep9459"
"CP61","UseCaseStep9838"
"CP61","UseCaseStep9867"
"CP61","UseCaseStep10955"
"CP61","UseCaseStep10958"
"CP61","UseCaseStep12466"
"CP61","UseCaseStep13337"
"CP61","UseCaseStep13700"
"CP61","UseCaseStep13769"
"CP61","UseCaseStep13866"
"CP61","UseCaseStep13870"
"CP61","UseCaseStep14998"
"CP61","UseCaseStep15202"
"CP61","UseCaseStep15282"
"CP61","UseCaseStep15537"
"CP61","UseCaseStep15603"
"CP61","UseCaseStep15963"
"CP61","UseCaseStep16295"
"CP61","UseCaseStep16323"
"CP61","UseCaseStep16736"
"CP61","UseCaseStep17245"
"CP61","UseCaseStep17349"
"CP61","UseCaseStep17377"
"CP61","UseCaseStep17443"
"CP61","UseCaseStep17748"
"CP61","UseCaseStep17768"
"CP61","UseCaseStep18483"
"CP61","UseCaseStep18524"
"CP61","UseCaseStep18725"
"CP61","UseCaseStep18875"
"CP61","UseCaseStep19203"
"CP6602","UseCaseStep40"
"CP6602","UseCaseStep623"
"CP6602","UseCaseStep771"
"CP6602","UseCaseStep836"
"CP6602","UseCaseStep1089"
"CP6602","UseCaseStep1442"
"CP6602","UseCaseStep1476"
"CP6602","UseCaseStep1580"
"CP6602","UseCaseStep2234"
"CP6602","UseCaseStep2249"
"CP6602","UseCaseStep2860"
"CP6602","UseCaseStep3123"
"CP6602","UseCaseStep3209"
"CP6602","UseCaseStep4506"
"CP6602","UseCaseStep4575"
"CP6602","UseCaseStep5172"
"CP6602","UseCaseStep5852"
"CP6602","UseCaseStep6130"
"CP6602","UseCaseStep6468"
"CP6602","UseCaseStep7413"
"CP6602","UseCaseStep8391"
"CP6602","UseCaseStep9422"
"CP6602","UseCaseStep9514"
"CP6602","UseCaseStep9578"
"CP6602","UseCaseStep10102"
"CP6602","UseCaseStep10424"
"CP6602","UseCaseStep11531"
"CP6602","UseCaseStep11719"
"CP6602","UseCaseStep12056"
"CP6602","UseCaseStep12063"
"CP6602","UseCaseStep12292"
"CP6602","UseCaseStep13442"
"CP6602","UseCaseStep13597"
"CP6602","UseCaseStep13890"
"CP6602","UseCaseStep14417"
"CP6602","UseCaseStep14779"
"CP6602","UseCaseStep15051"
"CP6602","UseCaseStep15173"
"CP6602","UseCaseStep15342"
"CP6602","UseCaseStep15648"
"CP6602","UseCaseStep16086"
"CP6602","UseCaseStep16132"
"CP6602","UseCaseStep16528"
"CP6602","UseCaseStep16554"
"CP6602","UseCaseStep16890"
"CP6602","UseCaseStep17071"
"CP6602","UseCaseStep18201"
"CP6602","UseCaseStep18722"
"CP6602","UseCaseStep19005"
"CP6602","UseCaseStep19062"
"CP6602","UseCaseStep19201"
"CP6602","UseCaseStep19261"
"CP6602","UseCaseStep19655"
"CP987","UseCaseStep40"
"CP987","UseCaseStep623"
"CP987","UseCaseStep771"
"CP987","UseCaseStep836"
"CP987","UseCaseStep1089"
"CP987","UseCaseStep1442"
"CP987","UseCaseStep1476"
"CP987","UseCaseStep1580"
"CP987","UseCaseStep2234"
"CP987","UseCaseStep2249"
"CP987","UseCaseStep2860"
"CP987","UseCaseStep3123"
"CP987","UseCaseStep3209"
"CP987","UseCaseStep4506"
"CP987","UseCaseStep4575"
"CP987","UseCaseStep5172"
"CP987","UseCaseStep5852"
"CP987","UseCaseStep6130"
"CP987","UseCaseStep6468"
"CP987","UseCaseStep7413"
"CP987","UseCaseStep8391"
"CP987","UseCaseStep9422"
"CP987","UseCaseStep9514"
"CP987","UseCaseStep9578"
"CP987","UseCaseStep10102"
"CP987","UseCaseStep10424"
"CP987","UseCaseStep11531"
"CP987","UseCaseStep11719"
"CP987","UseCaseStep12056"
"CP987","UseCaseStep12063"
"CP987","UseCaseStep12292"
"CP987","UseCaseStep13442"
"CP987","UseCaseStep13597"
"CP987","UseCaseStep13890"
"CP987","UseCaseStep14417"
"CP987","UseCaseStep14779"
"CP987","UseCaseStep15051"
"CP987","UseCaseStep15173"
"CP987","UseCaseStep15342"
"CP987","UseCaseStep15648"
"CP987","UseCaseStep16086"
"CP987","UseCaseStep16132"
"CP987","UseCaseStep16528"
"CP987","UseCaseStep16554"
"CP987","UseCaseStep16890"
"CP987","UseCaseStep17071"
"CP987","UseCaseStep18201"
"CP987","UseCaseStep18722"
"CP987","UseCaseStep19005"
"CP987","UseCaseStep19062"
"CP987","UseCaseStep19201"
"CP987","UseCaseStep19261"
"CP987","UseCaseStep19655"
"CP5354","UseCaseStep40"
"CP5354","UseCaseStep623"
"CP5354","UseCaseStep771"
"CP5354","UseCaseStep836"
"CP5354","UseCaseStep1089"
"CP5354","UseCaseStep1442"
"CP5354","UseCaseStep1476"
"CP5354","UseCaseStep1580"
"CP5354","UseCaseStep2234"
"CP5354","UseCaseStep2249"
"CP5354","UseCaseStep2860"
"CP5354","UseCaseStep3123"
"CP5354","UseCaseStep3209"
"CP5354","UseCaseStep4506"
"CP5354","UseCaseStep4575"
"CP5354","UseCaseStep5172"
"CP5354","UseCaseStep5852"
"CP5354","UseCaseStep6130"
"CP5354","UseCaseStep6468"
"CP5354","UseCaseStep7413"
"CP5354","UseCaseStep8391"
"CP5354","UseCaseStep9422"
"CP5354","UseCaseStep9514"
"CP5354","UseCaseStep9578"
"CP5354","UseCaseStep10102"
"CP5354","UseCaseStep10424"
"CP5354","UseCaseStep11531"
"CP5354","UseCaseStep11719"
"CP5354","UseCaseStep12056"
"CP5354","UseCaseStep12063"
"CP5354","UseCaseStep12292"
"CP5354","UseCaseStep13442"
"CP5354","UseCaseStep13597"
"CP5354","UseCaseStep13890"
"CP5354","UseCaseStep14417"
"CP5354","UseCaseStep14779"
"CP5354","UseCaseStep15051"
"CP5354","UseCaseStep15173"
"CP5354","UseCaseStep15342"
"CP5354","UseCaseStep15648"
"CP5354","UseCaseStep16086"
"CP5354","UseCaseStep16132"
"CP5354","UseCaseStep16528"
"CP5354","UseCaseStep16554"
"CP5354","UseCaseStep16890"
"CP5354","UseCaseStep17071"
"CP5354","UseCaseStep18201"
"CP5354","UseCaseStep18722"
"CP5354","UseCaseStep19005"
"CP5354","UseCaseStep19062"
"CP5354","UseCaseStep19201"
"CP5354","UseCaseStep19261"
"CP5354","UseCaseStep19655"
"CP33","UseCaseStep545"
"CP33","UseCaseStep504"
"CP4240","UseCaseStep11445"
"CP4240","UseCaseStep12665"
"CP8927","UseCaseStep11445"
"CP8927","UseCaseStep12665"
"CP9133","UseCaseStep11445"
"CP9133","UseCaseStep12665"
"CP4240","UseCaseStep13101"
"CP8927","UseCaseStep13101"
"CP9133","UseCaseStep13101"
"CP4240","UseCaseStep11379"
"CP4240","UseCaseStep14647"
"CP8927","UseCaseStep11379"
"CP8927","UseCaseStep14647"
"CP9133","UseCaseStep11379"
"CP9133","UseCaseStep14647"
"CP27","UseCaseStep19828"
"CP27","UseCaseStep1545"
"CP2983","UseCaseStep140"
"CP2983","UseCaseStep198"
"CP2983","UseCaseStep413"
"CP2983","UseCaseStep1006"
"CP2983","UseCaseStep1202"
"CP2983","UseCaseStep1218"
"CP2983","UseCaseStep1365"
"CP2983","UseCaseStep1655"
"CP2983","UseCaseStep1748"
"CP2983","UseCaseStep1990"
"CP2983","UseCaseStep2865"
"CP2983","UseCaseStep2886"
"CP2983","UseCaseStep3042"
"CP2983","UseCaseStep3715"
"CP2983","UseCaseStep4204"
"CP2983","UseCaseStep4922"
"CP2983","UseCaseStep5297"
"CP2983","UseCaseStep5324"
"CP2983","UseCaseStep5867"
"CP2983","UseCaseStep6262"
"CP2983","UseCaseStep6434"
"CP2983","UseCaseStep6445"
"CP2983","UseCaseStep6665"
"CP2983","UseCaseStep7633"
"CP2983","UseCaseStep7755"
"CP2983","UseCaseStep8117"
"CP2983","UseCaseStep8188"
"CP2983","UseCaseStep8566"
"CP2983","UseCaseStep8885"
"CP2983","UseCaseStep8940"
"CP2983","UseCaseStep8958"
"CP2983","UseCaseStep9639"
"CP2983","UseCaseStep9945"
"CP2983","UseCaseStep9961"
"CP2983","UseCaseStep10142"
"CP2983","UseCaseStep10388"
"CP2983","UseCaseStep10490"
"CP2983","UseCaseStep10883"
"CP2983","UseCaseStep10977"
"CP2983","UseCaseStep11656"
"CP2983","UseCaseStep11890"
"CP2983","UseCaseStep12006"
"CP2983","UseCaseStep12046"
"CP2983","UseCaseStep12132"
"CP2983","UseCaseStep12978"
"CP2983","UseCaseStep14334"
"CP2983","UseCaseStep14378"
"CP2983","UseCaseStep14599"
"CP2983","UseCaseStep15142"
"CP2983","UseCaseStep15267"
"CP2983","UseCaseStep15613"
"CP2983","UseCaseStep15955"
"CP2983","UseCaseStep16411"
"CP2983","UseCaseStep16537"
"CP2983","UseCaseStep16549"
"CP2983","UseCaseStep16630"
"CP2983","UseCaseStep16973"
"CP2983","UseCaseStep17091"
"CP2983","UseCaseStep17596"
"CP2983","UseCaseStep17662"
"CP2983","UseCaseStep18265"
"CP2983","UseCaseStep19504"
"CP2983","UseCaseStep19594"
"CP2983","UseCaseStep19597"
"CP6138","UseCaseStep140"
"CP6138","UseCaseStep198"
"CP6138","UseCaseStep413"
"CP6138","UseCaseStep1006"
"CP6138","UseCaseStep1202"
"CP6138","UseCaseStep1218"
"CP6138","UseCaseStep1365"
"CP6138","UseCaseStep1655"
"CP6138","UseCaseStep1748"
"CP6138","UseCaseStep1990"
"CP6138","UseCaseStep2865"
"CP6138","UseCaseStep2886"
"CP6138","UseCaseStep3042"
"CP6138","UseCaseStep3715"
"CP6138","UseCaseStep4204"
"CP6138","UseCaseStep4922"
"CP6138","UseCaseStep5297"
"CP6138","UseCaseStep5324"
"CP6138","UseCaseStep5867"
"CP6138","UseCaseStep6262"
"CP6138","UseCaseStep6434"
"CP6138","UseCaseStep6445"
"CP6138","UseCaseStep6665"
"CP6138","UseCaseStep7633"
"CP6138","UseCaseStep7755"
"CP6138","UseCaseStep8117"
"CP6138","UseCaseStep8188"
"CP6138","UseCaseStep8566"
"CP6138","UseCaseStep8885"
"CP6138","UseCaseStep8940"
"CP6138","UseCaseStep8958"
"CP6138","UseCaseStep9639"
"CP6138","UseCaseStep9945"
