"EXCEPTIONCASEID","PRIMARYACTOR","TITLE","DESCRIPTION"
"EC1","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC2","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC3","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC4","ICE app","Air-in-line Embolism","bubble detection"
"EC5","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC6","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC7","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC8","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9","Patient","Sound Failure","no audible alarm"
"EC10","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC11","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC12","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC13","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC14","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC15","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC16","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC17","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC18","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC19","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC20","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC21","Patient","Downstream Occlusion","blockage between pump and patient"
"EC22","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC23","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC24","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC25","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC26","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC27","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC28","ICE app","Sound Failure","no audible alarm"
"EC29","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC30","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC31","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC32","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC33","Patient","Power-On Self Test Failure","power-on self test fails"
