"EXCEPTIONCASESTEPID","DESCRIPTION"
"ECS1","Bolus request denied because minimum time between boluses had not elapsed."
"ECS2","blockage between pump and patient"
"ECS3","blockage between reservoir and pump"
"ECS4","bubble detection"
"ECS5","dose reaches maximum allowed by drug library"
"ECS6","clinician not authorized to operate pump"
"ECS7","basal rate or bolus VTBI exceeded hard limit"
"ECS8","power-on self test fails"
"ECS9","PCA pump detects its own failure"
"ECS10","pump fails to prime after loading drug reservoir"
"ECS11","measured flow rate exceeds setting"
"ECS12","measured flow rate below setting"
"ECS13","pump temperature exceeds 55 C"
"ECS14","ng drug reservoir"
"ECS15","measured flow rate exceeds setting"
"ECS16","patient not admitted to hospital"
"ECS17","drug or prescription not intended for this patient"
"ECS18","no audible alarm"
"ECS19","indication of no ICE alarms enabled"
"ECS20","Bolus request denied because minimum time between boluses had not elapsed."
"ECS21","blockage between pump and patient"
"ECS22","blockage between reservoir and pump"
"ECS23","bubble detection"
"ECS24","dose reaches maximum allowed by drug library"
"ECS25","clinician not authorized to operate pump"
"ECS26","patient not admitted to hospital"
"ECS27","the drug libary fails authenticity or integrity check"
"ECS28","basal rate or bolus VTBI exceeded soft limit"
"ECS29","measured flow rate below setting"
"ECS30","pump temperature exceeds 55 C"
"ECS31","Bolus request denied because minimum time between boluses had not elapsed."
"ECS32","blockage between pump and patient"
"ECS33","blockage between reservoir and pump"
"ECS34","bubble detection"
"ECS35","dose reaches maximum allowed by drug library"
"ECS36","clinician not authorized to operate pump"
"ECS37","basal rate or bolus VTBI exceeded hard limit"
"ECS38","power-on self test fails"
"ECS39","PCA pump detects its own failure"
"ECS40","pump fails to prime after loading drug reservoir"
"ECS41","measured flow rate exceeds setting"
"ECS42","measured flow rate below setting"
"ECS43","pump temperature exceeds 55 C"
"ECS44","ng drug reservoir"
"ECS45","measured flow rate exceeds setting"
"ECS46","patient not admitted to hospital"
"ECS47","drug or prescription not intended for this patient"
"ECS48","no audible alarm"
"ECS49","indication of no ICE alarms enabled"
"ECS50","Bolus request denied because minimum time between boluses had not elapsed."
"ECS51","blockage between pump and patient"
"ECS52","blockage between reservoir and pump"
"ECS53","bubble detection"
"ECS54","dose reaches maximum allowed by drug library"
"ECS55","clinician not authorized to operate pump"
"ECS56","patient not admitted to hospital"
"ECS57","the drug libary fails authenticity or integrity check"
"ECS58","basal rate or bolus VTBI exceeded soft limit"
"ECS59","measured flow rate below setting"
"ECS60","pump temperature exceeds 55 C"
"ECS61","Bolus request denied because minimum time between boluses had not elapsed."
"ECS62","blockage between pump and patient"
"ECS63","blockage between reservoir and pump"
"ECS64","bubble detection"
"ECS65","dose reaches maximum allowed by drug library"
"ECS66","clinician not authorized to operate pump"
"ECS67","basal rate or bolus VTBI exceeded hard limit"
"ECS68","power-on self test fails"
"ECS69","PCA pump detects its own failure"
"ECS70","pump fails to prime after loading drug reservoir"
"ECS71","measured flow rate exceeds setting"
"ECS72","measured flow rate below setting"
"ECS73","pump temperature exceeds 55 C"
"ECS74","ng drug reservoir"
"ECS75","measured flow rate exceeds setting"
"ECS76","patient not admitted to hospital"
"ECS77","drug or prescription not intended for this patient"
"ECS78","no audible alarm"
"ECS79","indication of no ICE alarms enabled"
"ECS80","Bolus request denied because minimum time between boluses had not elapsed."
"ECS81","blockage between pump and patient"
"ECS82","blockage between reservoir and pump"
"ECS83","bubble detection"
"ECS84","dose reaches maximum allowed by drug library"
"ECS85","clinician not authorized to operate pump"
"ECS86","patient not admitted to hospital"
"ECS87","the drug libary fails authenticity or integrity check"
"ECS88","basal rate or bolus VTBI exceeded soft limit"
"ECS89","measured flow rate below setting"
"ECS90","pump temperature exceeds 55 C"
"ECS91","Bolus request denied because minimum time between boluses had not elapsed."
"ECS92","blockage between pump and patient"
"ECS93","blockage between reservoir and pump"
"ECS94","bubble detection"
"ECS95","dose reaches maximum allowed by drug library"
"ECS96","clinician not authorized to operate pump"
"ECS97","basal rate or bolus VTBI exceeded hard limit"
"ECS98","power-on self test fails"
"ECS99","PCA pump detects its own failure"
"ECS100","pump fails to prime after loading drug reservoir"
"ECS101","measured flow rate exceeds setting"
"ECS102","measured flow rate below setting"
"ECS103","pump temperature exceeds 55 C"
"ECS104","ng drug reservoir"
"ECS105","measured flow rate exceeds setting"
"ECS106","patient not admitted to hospital"
"ECS107","drug or prescription not intended for this patient"
"ECS108","no audible alarm"
"ECS109","indication of no ICE alarms enabled"
"ECS110","Bolus request denied because minimum time between boluses had not elapsed."
"ECS111","blockage between pump and patient"
"ECS112","blockage between reservoir and pump"
"ECS113","bubble detection"
"ECS114","dose reaches maximum allowed by drug library"
"ECS115","clinician not authorized to operate pump"
"ECS116","patient not admitted to hospital"
"ECS117","the drug libary fails authenticity or integrity check"
"ECS118","basal rate or bolus VTBI exceeded soft limit"
"ECS119","measured flow rate below setting"
"ECS120","pump temperature exceeds 55 C"
"ECS121","Bolus request denied because minimum time between boluses had not elapsed."
"ECS122","blockage between pump and patient"
"ECS123","blockage between reservoir and pump"
"ECS124","bubble detection"
"ECS125","dose reaches maximum allowed by drug library"
"ECS126","clinician not authorized to operate pump"
"ECS127","basal rate or bolus VTBI exceeded hard limit"
"ECS128","power-on self test fails"
"ECS129","PCA pump detects its own failure"
"ECS130","pump fails to prime after loading drug reservoir"
"ECS131","measured flow rate exceeds setting"
"ECS132","measured flow rate below setting"
"ECS133","pump temperature exceeds 55 C"
"ECS134","ng drug reservoir"
"ECS135","measured flow rate exceeds setting"
"ECS136","patient not admitted to hospital"
"ECS137","drug or prescription not intended for this patient"
"ECS138","no audible alarm"
"ECS139","indication of no ICE alarms enabled"
"ECS140","Bolus request denied because minimum time between boluses had not elapsed."
"ECS141","blockage between pump and patient"
"ECS142","blockage between reservoir and pump"
"ECS143","bubble detection"
"ECS144","dose reaches maximum allowed by drug library"
"ECS145","clinician not authorized to operate pump"
"ECS146","patient not admitted to hospital"
"ECS147","the drug libary fails authenticity or integrity check"
"ECS148","basal rate or bolus VTBI exceeded soft limit"
"ECS149","measured flow rate below setting"
"ECS150","pump temperature exceeds 55 C"
"ECS151","Bolus request denied because minimum time between boluses had not elapsed."
"ECS152","blockage between pump and patient"
"ECS153","blockage between reservoir and pump"
"ECS154","bubble detection"
"ECS155","dose reaches maximum allowed by drug library"
"ECS156","clinician not authorized to operate pump"
"ECS157","basal rate or bolus VTBI exceeded hard limit"
"ECS158","power-on self test fails"
"ECS159","PCA pump detects its own failure"
"ECS160","pump fails to prime after loading drug reservoir"
"ECS161","measured flow rate exceeds setting"
"ECS162","measured flow rate below setting"
