"GOALID","EXCEPTIONCASEID"
"G56","EC532"
"G56","EC5938"
"G56","EC2699"
"G68","EC70"
"G68","EC63"
"G68","EC2648"
"G68","EC2026"
"G68","EC8932"
"G21","EC70"
"G21","EC63"
"G21","EC2648"
"G21","EC2026"
"G21","EC8932"
"G66","EC70"
"G66","EC63"
"G66","EC2648"
"G66","EC2026"
"G66","EC8932"
"G30","EC3667"
"G30","EC6253"
"G30","EC2237"
"G14","EC3667"
"G14","EC6253"
"G14","EC2237"
"G11","EC3667"
"G11","EC6253"
"G11","EC2237"
"G35","EC2"
"G51","EC17"
"G59","EC7882"
"G59","EC383"
"G59","EC9945"
"G15","EC7882"
"G15","EC383"
"G15","EC9945"
"G5","EC7882"
"G5","EC383"
"G5","EC9945"
"G19","EC9"
"G12","EC9"
"G51","EC9"
"G8","EC65"
"G20","EC65"
"G40","EC65"
"G46","EC25"
"G69","EC68"
"G69","EC7380"
"G69","EC3366"
"G69","EC6918"
"G69","EC64"
"G17","EC68"
"G17","EC7380"
"G17","EC3366"
"G17","EC6918"
"G17","EC64"
"G61","EC68"
"G61","EC7380"
"G61","EC3366"
"G61","EC6918"
"G61","EC64"
"G62","EC9"
"G29","EC7996"
"G29","EC4091"
"G29","EC6831"
"G64","EC7996"
"G64","EC4091"
"G64","EC6831"
"G59","EC7996"
"G59","EC4091"
"G59","EC6831"
"G21","EC9"
"G38","EC9"
"G54","EC9"
"G9","EC4290"
"G9","EC3034"
"G9","EC3082"
"G19","EC32"
"G52","EC32"
"G45","EC32"
"G42","EC34"
"G51","EC34"
"G43","EC34"
"G27","EC5027"
"G27","EC5343"
"G27","EC2047"
"G15","EC33"
"G60","EC33"
"G48","EC33"
"G19","EC3290"
"G19","EC1514"
"G19","EC6184"
"G51","EC9742"
"G51","EC307"
"G51","EC270"
"G1","EC9742"
"G1","EC307"
"G1","EC270"
"G66","EC9742"
"G66","EC307"
"G66","EC270"
"G31","EC4322"
"G31","EC855"
"G31","EC308"
"G35","EC6892"
"G35","EC346"
"G35","EC7105"
"G4","EC33"
"G4","EC35"
"G62","EC8946"
"G62","EC7547"
"G62","EC4112"
"G38","EC9482"
"G38","EC7903"
"G38","EC8716"
"G40","EC15"
"G37","EC15"
"G43","EC15"
"G39","EC3749"
"G39","EC3256"
"G39","EC7455"
"G29","EC3749"
"G29","EC3256"
"G29","EC7455"
"G46","EC3749"
"G46","EC3256"
"G46","EC7455"
"G8","EC2679"
"G8","EC2288"
"G8","EC5412"
"G69","EC49"
"G30","EC49"
"G55","EC49"
"G70","EC1807"
"G70","EC6634"
"G70","EC8922"
"G70","EC9688"
"G70","EC3664"
"G70","EC4944"
"G70","EC2261"
"G70","EC5637"
"G70","EC5356"
"G21","EC9021"
"G21","EC8595"
"G21","EC7851"
"G52","EC68"
"G8","EC68"
"G36","EC68"
"G44","EC654"
"G44","EC5046"
"G44","EC4233"
"G67","EC21"
"G67","EC5761"
"G67","EC9616"
"G67","EC9424"
"G55","EC21"
"G55","EC5761"
"G55","EC9616"
"G55","EC9424"
"G24","EC21"
"G24","EC5761"
"G24","EC9616"
"G24","EC9424"
"G49","EC22"
"G43","EC22"
"G21","EC22"
"G52","EC43"
"G52","EC18"
"G62","EC17"
"G43","EC66"
"G43","EC42"
"G22","EC1758"
"G22","EC5114"
"G22","EC8820"
"G28","EC9879"
"G28","EC5635"
"G28","EC6157"
"G21","EC9879"
"G21","EC5635"
"G21","EC6157"
"G65","EC9879"
"G65","EC5635"
"G65","EC6157"
"G29","EC23"
"G9","EC23"
"G1","EC23"
"G22","EC9135"
"G22","EC6219"
"G22","EC7454"
"G22","EC33"
"G57","EC4892"
"G57","EC1491"
"G57","EC4905"
"G57","EC69"
"G69","EC6956"
"G69","EC97"
"G69","EC3922"
"G21","EC4097"
"G21","EC4592"
"G21","EC9105"
"G21","EC5027"
"G21","EC5343"
"G21","EC2047"
"G65","EC7296"
"G65","EC4521"
"G65","EC4713"
"G65","EC2984"
"G65","EC5074"
"G65","EC7569"
"G65","EC44"
"G53","EC7296"
"G53","EC4521"
"G53","EC4713"
"G53","EC2984"
"G53","EC5074"
"G53","EC7569"
"G53","EC44"
"G35","EC7296"
"G35","EC4521"
"G35","EC4713"
"G35","EC2984"
"G35","EC5074"
"G35","EC7569"
"G35","EC44"
"G27","EC26"
"G19","EC26"
"G39","EC26"
"G69","EC1"
"G25","EC43"
"G20","EC1147"
"G20","EC646"
"G20","EC2385"
"G20","EC6557"
"G20","EC335"
"G20","EC7849"
"G38","EC1147"
"G38","EC646"
"G38","EC2385"
"G38","EC6557"
"G38","EC335"
"G38","EC7849"
"G14","EC1147"
"G14","EC646"
"G14","EC2385"
"G14","EC6557"
"G14","EC335"
"G14","EC7849"
"G54","EC15"
"G14","EC15"
"G44","EC15"
"G41","EC15"
"G37","EC15"
"G7","EC15"
"G36","EC9797"
"G36","EC6921"
"G36","EC2894"
"G1","EC9797"
"G1","EC6921"
"G1","EC2894"
"G58","EC9797"
"G58","EC6921"
"G58","EC2894"
"G70","EC1864"
"G70","EC9734"
"G70","EC9563"
