"GOALID","EXCEPTIONCASESTEPID"
"G56","ECS9681"
"G56","ECS24846"
"G56","ECS16387"
"G56","ECS18568"
"G56","ECS18863"
"G56","ECS20162"
"G56","ECS22262"
"G68","ECS966"
"G68","ECS1031"
"G68","ECS1576"
"G68","ECS1710"
"G68","ECS1800"
"G68","ECS1900"
"G68","ECS2532"
"G68","ECS3086"
"G68","ECS3127"
"G68","ECS3507"
"G68","ECS3513"
"G68","ECS3659"
"G68","ECS3690"
"G68","ECS4276"
"G68","ECS4518"
"G68","ECS4975"
"G68","ECS5775"
"G68","ECS6795"
"G68","ECS6958"
"G68","ECS7704"
"G68","ECS8036"
"G68","ECS8312"
"G68","ECS8614"
"G68","ECS8835"
"G68","ECS8857"
"G68","ECS8942"
"G68","ECS10423"
"G68","ECS11050"
"G68","ECS11143"
"G68","ECS11177"
"G68","ECS11455"
"G68","ECS12421"
"G68","ECS12606"
"G68","ECS13169"
"G68","ECS13250"
"G68","ECS13408"
"G68","ECS13773"
"G68","ECS13899"
"G68","ECS14397"
"G68","ECS14724"
"G68","ECS14934"
"G68","ECS15525"
"G68","ECS15960"
"G68","ECS16337"
"G68","ECS16511"
"G68","ECS16903"
"G68","ECS17215"
"G68","ECS17333"
"G68","ECS17543"
"G68","ECS19005"
"G68","ECS19098"
"G68","ECS19104"
"G68","ECS19169"
"G68","ECS19432"
"G68","ECS19476"
"G68","ECS19486"
"G68","ECS20142"
"G68","ECS20256"
"G68","ECS20440"
"G68","ECS21897"
"G68","ECS22275"
"G68","ECS22385"
"G68","ECS22514"
"G68","ECS22769"
"G68","ECS22820"
"G68","ECS23104"
"G68","ECS23167"
"G68","ECS23342"
"G68","ECS23472"
"G68","ECS24183"
"G68","ECS24382"
"G68","ECS25106"
"G68","ECS25285"
"G68","ECS25517"
"G68","ECS25689"
"G68","ECS25816"
"G68","ECS26108"
"G68","ECS26760"
"G68","ECS26862"
"G68","ECS28197"
"G68","ECS28204"
"G68","ECS28317"
"G68","ECS28582"
"G68","ECS28585"
"G68","ECS28659"
"G68","ECS28869"
"G68","ECS29272"
"G68","ECS29289"
"G68","ECS29418"
"G68","ECS29439"
"G68","ECS601"
"G68","ECS614"
"G68","ECS906"
"G68","ECS2223"
"G68","ECS2578"
"G68","ECS2695"
"G68","ECS2764"
"G68","ECS2799"
"G68","ECS2885"
"G68","ECS3036"
"G68","ECS3517"
"G68","ECS3813"
"G68","ECS4516"
"G68","ECS4956"
"G68","ECS5279"
"G68","ECS6063"
"G68","ECS6198"
"G68","ECS6218"
"G68","ECS6445"
"G68","ECS7099"
"G68","ECS7158"
"G68","ECS7643"
"G68","ECS7657"
"G68","ECS7896"
"G68","ECS8000"
"G68","ECS10160"
"G68","ECS10215"
"G68","ECS10425"
"G68","ECS10889"
"G68","ECS11073"
"G68","ECS11305"
"G68","ECS11574"
"G68","ECS11635"
"G68","ECS11843"
"G68","ECS12536"
"G68","ECS13312"
"G68","ECS13414"
"G68","ECS13705"
"G68","ECS13950"
"G68","ECS14664"
"G68","ECS15194"
"G68","ECS16199"
"G68","ECS16205"
"G68","ECS16359"
"G68","ECS16785"
"G68","ECS17074"
"G68","ECS17103"
"G68","ECS17366"
"G68","ECS17397"
"G68","ECS17434"
"G68","ECS18286"
"G68","ECS18857"
"G68","ECS19070"
"G68","ECS19868"
"G68","ECS20638"
"G68","ECS22209"
"G68","ECS22574"
"G68","ECS23582"
"G68","ECS23689"
"G68","ECS23731"
"G68","ECS23916"
"G68","ECS23931"
"G68","ECS24025"
"G68","ECS24714"
"G68","ECS25913"
"G68","ECS26188"
"G68","ECS26222"
"G68","ECS26662"
"G68","ECS26893"
"G68","ECS27031"
"G68","ECS27243"
"G68","ECS27318"
"G68","ECS27566"
"G68","ECS28209"
"G68","ECS28557"
"G68","ECS28739"
"G68","ECS29012"
"G68","ECS29250"
"G68","ECS29742"
"G68","ECS29827"
"G68","ECS19952"
"G68","ECS13552"
"G21","ECS966"
"G21","ECS1031"
"G21","ECS1576"
"G21","ECS1710"
"G21","ECS1800"
"G21","ECS1900"
"G21","ECS2532"
"G21","ECS3086"
"G21","ECS3127"
"G21","ECS3507"
"G21","ECS3513"
"G21","ECS3659"
"G21","ECS3690"
"G21","ECS4276"
"G21","ECS4518"
"G21","ECS4975"
"G21","ECS5775"
"G21","ECS6795"
"G21","ECS6958"
"G21","ECS7704"
"G21","ECS8036"
"G21","ECS8312"
"G21","ECS8614"
"G21","ECS8835"
"G21","ECS8857"
"G21","ECS8942"
"G21","ECS10423"
"G21","ECS11050"
"G21","ECS11143"
"G21","ECS11177"
"G21","ECS11455"
"G21","ECS12421"
"G21","ECS12606"
"G21","ECS13169"
"G21","ECS13250"
"G21","ECS13408"
"G21","ECS13773"
"G21","ECS13899"
"G21","ECS14397"
"G21","ECS14724"
"G21","ECS14934"
"G21","ECS15525"
"G21","ECS15960"
"G21","ECS16337"
"G21","ECS16511"
"G21","ECS16903"
"G21","ECS17215"
"G21","ECS17333"
"G21","ECS17543"
"G21","ECS19005"
"G21","ECS19098"
"G21","ECS19104"
"G21","ECS19169"
"G21","ECS19432"
"G21","ECS19476"
"G21","ECS19486"
"G21","ECS20142"
"G21","ECS20256"
"G21","ECS20440"
"G21","ECS21897"
"G21","ECS22275"
"G21","ECS22385"
"G21","ECS22514"
"G21","ECS22769"
"G21","ECS22820"
