"GOALID","USECASEID"
"G35","UC3"
"G56","UC6"
"G69","UC7"
"G15","UC8"
"G20","UC10"
"G35","UC12"
"G68","UC17"
"G21","UC17"
"G66","UC17"
"G33","UC20"
"G52","UC20"
"G53","UC20"
"G44","UC22"
"G25","UC22"
"G41","UC22"
"G30","UC27"
"G67","UC28"
"G36","UC28"
"G57","UC28"
"G30","UC30"
"G14","UC30"
"G11","UC30"
"G6","UC31"
"G44","UC32"
"G23","UC32"
"G4","UC32"
"G35","UC34"
"G51","UC35"
"G59","UC44"
"G15","UC44"
"G5","UC44"
"G19","UC47"
"G12","UC47"
"G51","UC47"
"G25","UC50"
"G11","UC50"
"G23","UC50"
"G50","UC51"
"G8","UC51"
"G41","UC51"
"G8","UC52"
"G20","UC52"
"G40","UC52"
"G46","UC54"
"G3","UC60"
"G69","UC71"
"G17","UC71"
"G61","UC71"
"G62","UC72"
"G29","UC73"
"G64","UC73"
"G59","UC73"
"G17","UC75"
"G69","UC75"
"G50","UC75"
"G6","UC76"
"G59","UC76"
"G31","UC76"
"G21","UC77"
"G38","UC77"
"G54","UC77"
"G43","UC82"
"G17","UC86"
"G11","UC86"
"G27","UC86"
"G9","UC87"
"G19","UC89"
"G52","UC89"
"G45","UC89"
"G3","UC90"
"G20","UC92"
"G54","UC93"
"G42","UC94"
"G51","UC94"
"G43","UC94"
"G35","UC95"
"G27","UC99"
"G15","UC100"
"G60","UC100"
"G48","UC100"
"G60","UC102"
"G57","UC102"
"G3","UC102"
"G19","UC104"
"G51","UC107"
"G1","UC107"
"G66","UC107"
"G31","UC108"
"G35","UC110"
"G4","UC116"
"G62","UC124"
"G9","UC128"
"G38","UC130"
"G44","UC132"
"G13","UC135"
"G66","UC135"
"G10","UC135"
"G40","UC136"
"G37","UC136"
"G43","UC136"
"G41","UC137"
"G39","UC138"
"G29","UC138"
"G46","UC138"
"G39","UC139"
"G8","UC140"
"G48","UC141"
"G64","UC141"
"G42","UC141"
"G22","UC144"
"G16","UC144"
"G64","UC144"
"G22","UC145"
"G70","UC145"
"G55","UC145"
"G69","UC146"
"G30","UC146"
"G55","UC146"
"G70","UC148"
"G14","UC149"
"G51","UC149"
"G44","UC149"
"G21","UC150"
"G52","UC153"
"G8","UC153"
"G36","UC153"
"G41","UC154"
"G55","UC154"
"G48","UC154"
"G5","UC155"
"G25","UC155"
"G17","UC155"
"G1","UC163"
"G43","UC164"
"G55","UC165"
"G44","UC169"
"G45","UC171"
"G42","UC171"
"G29","UC171"
"G67","UC175"
"G55","UC175"
"G24","UC175"
"G49","UC183"
"G43","UC183"
"G21","UC183"
"G41","UC184"
"G58","UC184"
"G31","UC184"
"G70","UC194"
"G28","UC196"
"G30","UC196"
"G7","UC196"
"G42","UC198"
"G52","UC199"
"G1","UC202"
"G11","UC202"
"G63","UC202"
"G62","UC203"
"G70","UC205"
"G43","UC206"
"G32","UC207"
"G54","UC208"
"G64","UC208"
"G40","UC208"
"G37","UC213"
"G15","UC213"
"G10","UC213"
"G63","UC215"
"G19","UC215"
"G11","UC215"
"G22","UC216"
"G28","UC218"
"G21","UC218"
"G65","UC218"
"G29","UC221"
"G9","UC221"
"G1","UC221"
"G32","UC223"
"G57","UC223"
"G12","UC223"
"G27","UC224"
"G63","UC224"
"G56","UC224"
"G56","UC225"
"G22","UC226"
"G21","UC229"
"G57","UC229"
"G66","UC229"
"G37","UC230"
"G64","UC235"
"G35","UC235"
"G42","UC235"
"G52","UC236"
"G57","UC237"
"G69","UC239"
"G21","UC243"
"G49","UC244"
"G53","UC245"
"G57","UC245"
"G55","UC245"
"G65","UC246"
"G53","UC246"
"G35","UC246"
"G19","UC248"
"G27","UC250"
"G19","UC250"
"G39","UC250"
"G69","UC252"
"G16","UC254"
"G51","UC254"
"G23","UC254"
"G25","UC255"
"G20","UC261"
"G38","UC261"
"G14","UC261"
"G10","UC262"
"G16","UC262"
"G38","UC262"
"G46","UC266"
"G41","UC266"
"G13","UC266"
"G31","UC270"
"G3","UC270"
"G68","UC270"
"G58","UC271"
"G30","UC273"
"G54","UC277"
"G14","UC277"
"G44","UC277"
"G41","UC280"
"G37","UC280"
"G7","UC280"
"G1","UC281"
"G54","UC281"
"G55","UC281"
"G5","UC282"
"G36","UC284"
"G1","UC284"
"G58","UC284"
"G70","UC286"
"G29","UC287"
"G30","UC288"
"G62","UC288"
"G28","UC288"
"G56","UC289"
"G65","UC290"
"G47","UC293"
"G20","UC293"
"G62","UC293"
"G3","UC297"
"G25","UC297"
"G58","UC297"
"G8","UC299"
"G10","UC304"
"G13","UC305"
"G24","UC312"
"G34","UC312"
"G41","UC312"
"G52","UC317"
"G33","UC318"
"G47","UC318"
"G43","UC318"
"G4","UC319"
"G57","UC319"
"G6","UC319"
"G55","UC321"
"G13","UC326"
"G4","UC326"
"G44","UC326"
"G39","UC328"
"G34","UC328"
"G16","UC328"
"G41","UC330"
"G43","UC334"
"G68","UC334"
"G65","UC334"
"G28","UC340"
"G47","UC340"
"G3","UC340"
"G26","UC341"
"G4","UC341"
"G11","UC341"
"G58","UC344"
"G30","UC345"
"G68","UC349"
