"GOALID","USECASESTEPID"
"G56","UseCaseStep3570"
"G56","UseCaseStep4330"
"G56","UseCaseStep7803"
"G56","UseCaseStep10471"
"G56","UseCaseStep13480"
"G56","UseCaseStep16399"
"G56","UseCaseStep19991"
"G69","UseCaseStep19596"
"G35","UseCaseStep13893"
"G35","UseCaseStep13976"
"G68","UseCaseStep238"
"G68","UseCaseStep1835"
"G68","UseCaseStep13741"
"G68","UseCaseStep17450"
"G21","UseCaseStep238"
"G21","UseCaseStep1835"
"G21","UseCaseStep13741"
"G21","UseCaseStep17450"
"G66","UseCaseStep238"
"G66","UseCaseStep1835"
"G66","UseCaseStep13741"
"G66","UseCaseStep17450"
"G33","UseCaseStep15049"
"G52","UseCaseStep15049"
"G53","UseCaseStep15049"
"G44","UseCaseStep15057"
"G44","UseCaseStep17698"
"G25","UseCaseStep15057"
"G25","UseCaseStep17698"
"G41","UseCaseStep15057"
"G41","UseCaseStep17698"
"G67","UseCaseStep7849"
"G67","UseCaseStep19269"
"G36","UseCaseStep7849"
"G36","UseCaseStep19269"
"G57","UseCaseStep7849"
"G57","UseCaseStep19269"
"G30","UseCaseStep1879"
"G30","UseCaseStep10843"
"G30","UseCaseStep10974"
"G30","UseCaseStep11743"
"G14","UseCaseStep1879"
"G14","UseCaseStep10843"
"G14","UseCaseStep10974"
"G14","UseCaseStep11743"
"G11","UseCaseStep1879"
"G11","UseCaseStep10843"
"G11","UseCaseStep10974"
"G11","UseCaseStep11743"
"G35","UseCaseStep9478"
"G35","UseCaseStep13652"
"G51","UseCaseStep2952"
"G59","UseCaseStep3718"
"G59","UseCaseStep12325"
"G59","UseCaseStep14611"
"G15","UseCaseStep3718"
"G15","UseCaseStep12325"
"G15","UseCaseStep14611"
"G5","UseCaseStep3718"
"G5","UseCaseStep12325"
"G5","UseCaseStep14611"
"G19","UseCaseStep3581"
"G19","UseCaseStep12199"
"G12","UseCaseStep3581"
"G12","UseCaseStep12199"
"G51","UseCaseStep3581"
"G51","UseCaseStep12199"
"G25","UseCaseStep14176"
"G11","UseCaseStep14176"
