"ID","EXCEPTIONCASEID"
"R5.9.0(6)","EC7682"
"R6.5.0(1)","EC7682"
"R5.1.0(1)","EC7682"
"R6.3.0(1)","EC7682"
"R5.8.0(9)","EC7682"
"R5.8.0(1)","EC7682"
"R6.5.0(1)","EC7682"
"R7.3.0(4)","EC7682"
"R7.3.0(4)","EC7682"
"R6.4.0(7)","EC7682"
"R6.4.0(7)","EC7682"
"R5.1.0(1)","EC7682"
"R5.1.0(1)","EC7682"
"R6.4.0(7)","EC7682"
"R5.6.0(1)","EC7682"
"R5.1.0(1)","EC7682"
"R5.8.0(9)","EC7682"
"R6.2.0(8)","EC7682"
"R5.7.0(1)","EC7682"
"R5.9.0(6)","EC7682"
"R5.9.0(6)","EC5211"
"R6.5.0(1)","EC5211"
"R5.1.0(1)","EC5211"
"R6.3.0(1)","EC5211"
"R5.8.0(9)","EC5211"
"R5.8.0(1)","EC5211"
"R6.5.0(1)","EC5211"
"R7.3.0(4)","EC5211"
"R7.3.0(4)","EC5211"
"R6.4.0(7)","EC5211"
"R6.4.0(7)","EC5211"
"R5.1.0(1)","EC5211"
"R5.1.0(1)","EC5211"
"R6.4.0(7)","EC5211"
"R5.6.0(1)","EC5211"
"R5.1.0(1)","EC5211"
"R5.8.0(9)","EC5211"
"R6.2.0(8)","EC5211"
"R5.7.0(1)","EC5211"
"R5.9.0(6)","EC5211"
"R5.9.0(6)","EC5308"
"R6.5.0(1)","EC5308"
"R5.1.0(1)","EC5308"
"R6.3.0(1)","EC5308"
"R5.8.0(9)","EC5308"
"R5.8.0(1)","EC5308"
"R6.5.0(1)","EC5308"
"R7.3.0(4)","EC5308"
"R7.3.0(4)","EC5308"
"R6.4.0(7)","EC5308"
"R6.4.0(7)","EC5308"
"R5.1.0(1)","EC5308"
"R5.1.0(1)","EC5308"
"R6.4.0(7)","EC5308"
"R5.6.0(1)","EC5308"
"R5.1.0(1)","EC5308"
"R5.8.0(9)","EC5308"
"R6.2.0(8)","EC5308"
"R5.7.0(1)","EC5308"
"R5.9.0(6)","EC5308"
"R6.4.0(1)","EC5258"
"R6.3.0(8)","EC5258"
"R5.8.0(1)","EC5258"
"R6.4.0(1)","EC2093"
"R6.3.0(8)","EC2093"
"R5.8.0(1)","EC2093"
"R6.4.0(1)","EC6373"
"R6.3.0(8)","EC6373"
"R5.8.0(1)","EC6373"
"R5.9.0(6)","EC5"
"R6.5.0(1)","EC5"
"R5.1.0(1)","EC5"
"R6.1.0(1)","EC26"
"R5.8.0(1)","EC26"
"R5.4.4(3)","EC26"
"R6.1.0(1)","EC6496"
"R5.8.0(1)","EC6496"
"R5.4.4(3)","EC6496"
"R6.3.0(8)","EC6496"
"R4.1.0(1)","EC6496"
"R4.1.0(1)","EC6496"
"R6.2.0(8)","EC6496"
"R6.1.0(1)","EC6496"
"R6.3.0(9)","EC6496"
"R4.1.0(1)","EC6496"
"R5.9.0(1)","EC6496"
"R5.8.0(9)","EC6496"
"R6.3.0(9)","EC6496"
"R5.8.0(1)","EC6496"
"R7.3.0(4)","EC6496"
"R5.7.0(1)","EC6496"
"R6.5.0(1)","EC6496"
"R6.4.0(1)","EC6496"
"R6.1.0(1)","EC8966"
"R5.8.0(1)","EC8966"
"R5.4.4(3)","EC8966"
"R6.3.0(8)","EC8966"
"R4.1.0(1)","EC8966"
"R4.1.0(1)","EC8966"
"R6.2.0(8)","EC8966"
"R6.1.0(1)","EC8966"
"R6.3.0(9)","EC8966"
"R4.1.0(1)","EC8966"
"R5.9.0(1)","EC8966"
"R5.8.0(9)","EC8966"
"R6.3.0(9)","EC8966"
"R5.8.0(1)","EC8966"
"R7.3.0(4)","EC8966"
"R5.7.0(1)","EC8966"
"R6.5.0(1)","EC8966"
"R6.4.0(1)","EC8966"
"R6.1.0(1)","EC6021"
"R5.8.0(1)","EC6021"
"R5.4.4(3)","EC6021"
"R6.3.0(8)","EC6021"
"R4.1.0(1)","EC6021"
"R4.1.0(1)","EC6021"
"R6.2.0(8)","EC6021"
"R6.1.0(1)","EC6021"
"R6.3.0(9)","EC6021"
"R4.1.0(1)","EC6021"
"R5.9.0(1)","EC6021"
"R5.8.0(9)","EC6021"
"R6.3.0(9)","EC6021"
"R5.8.0(1)","EC6021"
"R7.3.0(4)","EC6021"
"R5.7.0(1)","EC6021"
"R6.5.0(1)","EC6021"
"R6.4.0(1)","EC6021"
"R6.4.0(1)","EC5855"
"R6.3.0(8)","EC5855"
"R5.8.0(1)","EC5855"
"R5.9.0(6)","EC5855"
"R5.5.0(1)","EC5855"
"R6.2.0(8)","EC5855"
"R6.4.0(7)","EC5855"
"R6.1.0(1)","EC5855"
"R5.8.0(1)","EC5855"
"R5.4.4(3)","EC5855"
"R6.1.0(1)","EC5855"
"R5.6.0(1)","EC5855"
"R6.4.0(1)","EC7089"
"R6.3.0(8)","EC7089"
"R5.8.0(1)","EC7089"
"R5.9.0(6)","EC7089"
"R5.5.0(1)","EC7089"
"R6.2.0(8)","EC7089"
"R6.4.0(7)","EC7089"
"R6.1.0(1)","EC7089"
"R5.8.0(1)","EC7089"
"R5.4.4(3)","EC7089"
"R6.1.0(1)","EC7089"
"R5.6.0(1)","EC7089"
"R6.4.0(1)","EC9332"
"R6.3.0(8)","EC9332"
"R5.8.0(1)","EC9332"
"R5.9.0(6)","EC9332"
"R5.5.0(1)","EC9332"
"R6.2.0(8)","EC9332"
"R6.4.0(7)","EC9332"
"R6.1.0(1)","EC9332"
"R5.8.0(1)","EC9332"
"R5.4.4(3)","EC9332"
"R6.1.0(1)","EC9332"
"R5.6.0(1)","EC9332"
"R6.4.0(6)","EC68"
"R6.4.0(1)","EC68"
"R6.4.0(1)","EC68"
"R6.3.0(8)","EC68"
"R6.3.0(8)","EC68"
"R5.8.0(1)","EC68"
"R5.8.0(1)","EC68"
"R6.2.0(1)","EC68"
"R6.3.0(8)","EC68"
"R5.6.0(1)","EC68"
"R5.5.0(9)","EC68"
"R6.1.0(1)","EC68"
"R5.5.0(1)","EC68"
"R5.6.0(1)","EC68"
"R6.1.0(1)","EC68"
