"ID","SUBCOMPONENTID"
"R6.4.0(6)","SCP132"
"R6.4.0(6)","SCP222"
"R6.4.0(6)","SCP432"
"R6.4.0(6)","SCP656"
"R6.4.0(6)","SCP1237"
"R6.4.0(6)","SCP1450"
"R6.4.0(6)","SCP1581"
"R6.4.0(6)","SCP2610"
"R6.4.0(6)","SCP2829"
"R6.4.0(6)","SCP2970"
"R6.4.0(6)","SCP3575"
"R6.4.0(6)","SCP3804"
"R6.4.0(6)","SCP3838"
"R6.4.0(6)","SCP4050"
"R6.4.0(6)","SCP4574"
"R6.4.0(6)","SCP4967"
"R6.4.0(6)","SCP6047"
"R6.4.0(6)","SCP6195"
"R6.4.0(6)","SCP6567"
"R6.4.0(6)","SCP6982"
"R6.4.0(6)","SCP7191"
"R6.4.0(6)","SCP7275"
"R6.4.0(6)","SCP7293"
"R6.4.0(6)","SCP8249"
"R6.4.0(6)","SCP8945"
"R6.4.0(6)","SCP9343"
"R6.4.0(6)","SCP9662"
"R6.4.0(6)","SCP9788"
"R6.4.0(6)","SCP10104"
"R6.4.0(6)","SCP10286"
"R6.4.0(6)","SCP10836"
"R6.4.0(6)","SCP10966"
"R6.4.0(6)","SCP11175"
"R6.4.0(6)","SCP11763"
"R6.4.0(6)","SCP12127"
"R6.4.0(6)","SCP12524"
"R6.4.0(6)","SCP13030"
"R6.4.0(6)","SCP13137"
"R6.4.0(6)","SCP13522"
"R6.4.0(6)","SCP13821"
"R6.4.0(6)","SCP14540"
"R4.1.0(1)","SCP132"
"R4.1.0(1)","SCP222"
"R4.1.0(1)","SCP432"
"R4.1.0(1)","SCP656"
"R4.1.0(1)","SCP1237"
"R4.1.0(1)","SCP1450"
"R4.1.0(1)","SCP1581"
"R4.1.0(1)","SCP2610"
"R4.1.0(1)","SCP2829"
"R4.1.0(1)","SCP2970"
"R4.1.0(1)","SCP3575"
"R4.1.0(1)","SCP3804"
"R4.1.0(1)","SCP3838"
"R4.1.0(1)","SCP4050"
"R4.1.0(1)","SCP4574"
"R4.1.0(1)","SCP4967"
"R4.1.0(1)","SCP6047"
"R4.1.0(1)","SCP6195"
"R4.1.0(1)","SCP6567"
"R4.1.0(1)","SCP6982"
"R4.1.0(1)","SCP7191"
"R4.1.0(1)","SCP7275"
"R4.1.0(1)","SCP7293"
"R4.1.0(1)","SCP8249"
"R4.1.0(1)","SCP8945"
"R4.1.0(1)","SCP9343"
"R4.1.0(1)","SCP9662"
"R4.1.0(1)","SCP9788"
"R4.1.0(1)","SCP10104"
"R4.1.0(1)","SCP10286"
"R4.1.0(1)","SCP10836"
"R4.1.0(1)","SCP10966"
"R4.1.0(1)","SCP11175"
"R4.1.0(1)","SCP11763"
"R4.1.0(1)","SCP12127"
"R4.1.0(1)","SCP12524"
"R4.1.0(1)","SCP13030"
"R4.1.0(1)","SCP13137"
"R4.1.0(1)","SCP13522"
"R4.1.0(1)","SCP13821"
"R4.1.0(1)","SCP14540"
"R6.1.0(1)","SCP132"
"R6.1.0(1)","SCP222"
"R6.1.0(1)","SCP432"
"R6.1.0(1)","SCP656"
"R6.1.0(1)","SCP1237"
"R6.1.0(1)","SCP1450"
"R6.1.0(1)","SCP1581"
"R6.1.0(1)","SCP2610"
"R6.1.0(1)","SCP2829"
"R6.1.0(1)","SCP2970"
"R6.1.0(1)","SCP3575"
"R6.1.0(1)","SCP3804"
"R6.1.0(1)","SCP3838"
"R6.1.0(1)","SCP4050"
"R6.1.0(1)","SCP4574"
"R6.1.0(1)","SCP4967"
"R6.1.0(1)","SCP6047"
"R6.1.0(1)","SCP6195"
"R6.1.0(1)","SCP6567"
"R6.1.0(1)","SCP6982"
"R6.1.0(1)","SCP7191"
"R6.1.0(1)","SCP7275"
"R6.1.0(1)","SCP7293"
"R6.1.0(1)","SCP8249"
"R6.1.0(1)","SCP8945"
"R6.1.0(1)","SCP9343"
"R6.1.0(1)","SCP9662"
"R6.1.0(1)","SCP9788"
"R6.1.0(1)","SCP10104"
"R6.1.0(1)","SCP10286"
"R6.1.0(1)","SCP10836"
"R6.1.0(1)","SCP10966"
"R6.1.0(1)","SCP11175"
"R6.1.0(1)","SCP11763"
"R6.1.0(1)","SCP12127"
"R6.1.0(1)","SCP12524"
"R6.1.0(1)","SCP13030"
"R6.1.0(1)","SCP13137"
"R6.1.0(1)","SCP13522"
"R6.1.0(1)","SCP13821"
"R6.1.0(1)","SCP14540"
"R4.1.0(1)","SCP253"
"R4.1.0(1)","SCP348"
"R4.1.0(1)","SCP1104"
"R4.1.0(1)","SCP2020"
"R4.1.0(1)","SCP2445"
"R4.1.0(1)","SCP2656"
"R4.1.0(1)","SCP3984"
"R4.1.0(1)","SCP4430"
"R4.1.0(1)","SCP6212"
"R4.1.0(1)","SCP6237"
"R4.1.0(1)","SCP6526"
"R4.1.0(1)","SCP6601"
"R4.1.0(1)","SCP6849"
"R4.1.0(1)","SCP7244"
"R4.1.0(1)","SCP7297"
"R4.1.0(1)","SCP7938"
"R4.1.0(1)","SCP8179"
"R4.1.0(1)","SCP8225"
"R4.1.0(1)","SCP8866"
"R4.1.0(1)","SCP9613"
"R4.1.0(1)","SCP9817"
"R4.1.0(1)","SCP10257"
"R4.1.0(1)","SCP10401"
"R4.1.0(1)","SCP10901"
"R4.1.0(1)","SCP10902"
"R4.1.0(1)","SCP11183"
"R4.1.0(1)","SCP11335"
"R4.1.0(1)","SCP11896"
"R4.1.0(1)","SCP12259"
"R4.1.0(1)","SCP12994"
"R4.1.0(1)","SCP13178"
"R4.1.0(1)","SCP13404"
"R4.1.0(1)","SCP13798"
"R4.1.0(1)","SCP14017"
"R4.1.0(1)","SCP14140"
"R4.1.0(1)","SCP14306"
"R4.1.0(1)","SCP14512"
"R4.1.0(1)","SCP14949"
"R6.4.0(6)","SCP331"
"R6.4.0(6)","SCP475"
"R6.4.0(6)","SCP522"
"R6.4.0(6)","SCP832"
"R6.4.0(6)","SCP1117"
"R6.4.0(6)","SCP1126"
"R6.4.0(6)","SCP1402"
"R6.4.0(6)","SCP1473"
"R6.4.0(6)","SCP1884"
"R6.4.0(6)","SCP3670"
"R6.4.0(6)","SCP3945"
"R6.4.0(6)","SCP3954"
"R6.4.0(6)","SCP3993"
"R6.4.0(6)","SCP3995"
"R6.4.0(6)","SCP4125"
"R6.4.0(6)","SCP4252"
"R6.4.0(6)","SCP4456"
"R6.4.0(6)","SCP4516"
"R6.4.0(6)","SCP4854"
"R6.4.0(6)","SCP4892"
"R6.4.0(6)","SCP4957"
"R6.4.0(6)","SCP5123"
"R6.4.0(6)","SCP5183"
"R6.4.0(6)","SCP5186"
"R6.4.0(6)","SCP5890"
"R6.4.0(6)","SCP6449"
"R6.4.0(6)","SCP6700"
"R6.4.0(6)","SCP7050"
"R6.4.0(6)","SCP7313"
"R6.4.0(6)","SCP7359"
"R6.4.0(6)","SCP7600"
"R6.4.0(6)","SCP7795"
"R6.4.0(6)","SCP7987"
"R6.4.0(6)","SCP8032"
"R6.4.0(6)","SCP8219"
"R6.4.0(6)","SCP8493"
"R6.4.0(6)","SCP9587"
"R6.4.0(6)","SCP10638"
"R6.4.0(6)","SCP10959"
"R6.4.0(6)","SCP11128"
"R6.4.0(6)","SCP11322"
"R6.4.0(6)","SCP12301"
"R6.4.0(6)","SCP12319"
"R6.4.0(6)","SCP13500"
"R6.4.0(6)","SCP14387"
"R6.4.0(6)","SCP14417"
"R6.4.0(6)","SCP14464"
"R6.4.0(6)","SCP14930"
"R5.9.0(6)","SCP897"
"R5.9.0(6)","SCP1268"
"R5.9.0(6)","SCP1386"
"R5.9.0(6)","SCP1611"
"R5.9.0(6)","SCP1647"
"R5.9.0(6)","SCP1917"
"R5.9.0(6)","SCP2877"
"R5.9.0(6)","SCP2943"
"R5.9.0(6)","SCP3315"
"R5.9.0(6)","SCP3438"
"R5.9.0(6)","SCP3601"
"R5.9.0(6)","SCP3775"
"R5.9.0(6)","SCP4019"
"R5.9.0(6)","SCP4155"
"R5.9.0(6)","SCP4395"
"R5.9.0(6)","SCP4396"
"R5.9.0(6)","SCP4562"
"R5.9.0(6)","SCP4808"
"R5.9.0(6)","SCP4809"
"R5.9.0(6)","SCP5118"
"R5.9.0(6)","SCP5131"
"R5.9.0(6)","SCP5134"
"R5.9.0(6)","SCP5712"
"R5.9.0(6)","SCP5740"
"R5.9.0(6)","SCP6410"
"R5.9.0(6)","SCP6459"
"R5.9.0(6)","SCP6504"
"R5.9.0(6)","SCP7036"
"R5.9.0(6)","SCP8011"
"R5.9.0(6)","SCP8053"
"R5.9.0(6)","SCP8122"
"R5.9.0(6)","SCP8360"
"R5.9.0(6)","SCP8507"
"R5.9.0(6)","SCP8576"
"R5.9.0(6)","SCP9955"
"R5.9.0(6)","SCP10098"
"R5.9.0(6)","SCP10328"
"R5.9.0(6)","SCP10600"
"R5.9.0(6)","SCP10637"
"R5.9.0(6)","SCP11102"
"R5.9.0(6)","SCP11750"
"R5.9.0(6)","SCP11936"
"R5.9.0(6)","SCP11979"
"R5.9.0(6)","SCP12214"
"R5.9.0(6)","SCP12250"
"R5.9.0(6)","SCP12282"
"R5.9.0(6)","SCP12555"
"R5.9.0(6)","SCP12914"
"R5.9.0(6)","SCP13133"
"R5.9.0(6)","SCP13228"
"R5.9.0(6)","SCP13289"
"R5.9.0(6)","SCP13548"
