"ID","USECASESTEPID"
"R6.4.0(6)","UseCaseStep9221"
"R6.4.0(6)","UseCaseStep13634"
"R6.4.0(6)","UseCaseStep656"
"R6.4.0(6)","UseCaseStep8171"
"R6.4.0(6)","UseCaseStep11552"
"R6.4.0(6)","UseCaseStep13130"
"R6.4.0(6)","UseCaseStep1700"
"R6.4.0(6)","UseCaseStep14388"
"R6.4.0(6)","UseCaseStep8881"
"R6.4.0(6)","UseCaseStep13119"
"R6.4.0(6)","UseCaseStep8197"
"R6.4.0(6)","UseCaseStep17152"
"R6.4.0(6)","UseCaseStep183"
"R6.4.0(6)","UseCaseStep11220"
"R6.4.0(6)","UseCaseStep698"
"R6.4.0(6)","UseCaseStep16978"
"R6.4.0(6)","UseCaseStep4636"
"R6.4.0(6)","UseCaseStep7518"
"R6.4.0(6)","UseCaseStep13985"
"R6.4.0(6)","UseCaseStep228"
"R6.4.0(6)","UseCaseStep346"
"R6.4.0(6)","UseCaseStep488"
"R6.4.0(6)","UseCaseStep830"
"R6.4.0(6)","UseCaseStep1196"
"R6.4.0(6)","UseCaseStep1494"
"R6.4.0(6)","UseCaseStep1676"
"R6.4.0(6)","UseCaseStep1836"
"R6.4.0(6)","UseCaseStep2908"
"R6.4.0(6)","UseCaseStep3436"
"R6.4.0(6)","UseCaseStep3592"
"R6.4.0(6)","UseCaseStep4488"
"R6.4.0(6)","UseCaseStep4775"
"R6.4.0(6)","UseCaseStep5175"
"R6.4.0(6)","UseCaseStep5561"
"R6.4.0(6)","UseCaseStep5816"
"R6.4.0(6)","UseCaseStep5871"
"R6.4.0(6)","UseCaseStep5916"
"R6.4.0(6)","UseCaseStep6654"
"R6.4.0(6)","UseCaseStep6802"
"R6.4.0(6)","UseCaseStep7053"
"R6.4.0(6)","UseCaseStep7093"
"R6.4.0(6)","UseCaseStep8089"
"R6.4.0(6)","UseCaseStep8183"
"R6.4.0(6)","UseCaseStep8380"
"R6.4.0(6)","UseCaseStep8528"
"R6.4.0(6)","UseCaseStep8767"
"R6.4.0(6)","UseCaseStep8956"
"R6.4.0(6)","UseCaseStep8997"
"R6.4.0(6)","UseCaseStep9090"
"R6.4.0(6)","UseCaseStep9124"
"R6.4.0(6)","UseCaseStep9352"
"R6.4.0(6)","UseCaseStep9826"
"R6.4.0(6)","UseCaseStep10117"
"R6.4.0(6)","UseCaseStep10646"
"R6.4.0(6)","UseCaseStep10670"
"R6.4.0(6)","UseCaseStep11077"
"R6.4.0(6)","UseCaseStep11480"
"R6.4.0(6)","UseCaseStep11654"
"R6.4.0(6)","UseCaseStep12209"
"R6.4.0(6)","UseCaseStep14684"
"R6.4.0(6)","UseCaseStep15021"
"R6.4.0(6)","UseCaseStep15901"
"R6.4.0(6)","UseCaseStep16106"
"R6.4.0(6)","UseCaseStep16127"
"R6.4.0(6)","UseCaseStep16219"
"R6.4.0(6)","UseCaseStep16523"
"R6.4.0(6)","UseCaseStep16605"
"R6.4.0(6)","UseCaseStep16748"
"R6.4.0(6)","UseCaseStep17532"
"R6.4.0(6)","UseCaseStep18306"
"R6.4.0(6)","UseCaseStep18832"
"R6.4.0(6)","UseCaseStep19145"
"R6.4.0(6)","UseCaseStep19635"
"R6.4.0(6)","UseCaseStep19811"
"R6.4.0(6)","UseCaseStep19874"
"R6.4.0(6)","UseCaseStep19906"
"R6.4.0(6)","UseCaseStep19942"
"R6.4.0(6)","UseCaseStep11042"
"R6.4.0(6)","UseCaseStep19443"
"R6.4.0(6)","UseCaseStep8578"
"R6.4.0(6)","UseCaseStep16623"
"R6.4.0(6)","UseCaseStep3019"
"R6.4.0(6)","UseCaseStep7915"
"R6.4.0(6)","UseCaseStep13735"
"R6.4.0(6)","UseCaseStep328"
"R6.4.0(6)","UseCaseStep525"
"R6.4.0(6)","UseCaseStep645"
