"SUBCOMPONENTID","COMPONENTNAME","FUNCTION"
"SCP1","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP2","Pump fault manager","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP3","Security Status","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP4","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"SCP5","Power Control","The patient should not receive so much drug that makes him unaware"
"SCP6","Control Panel","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP7","Operation Process","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP8","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP9","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP10","Drug Reservoir","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP11","Patient Button","Patient''s health information should be available to those caring for the patient, and only those."
"SCP12","Safety","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13","Failture LED","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP14","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP15","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP16","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"SCP17","Alarms","Performs primary pump operation"
"SCP18","Power Control","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP19","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP20","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP21","Operation Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP22","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP23","Event Logger Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP24","Scanner","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP25","Security Subsystem","The patient should receive enough drug to relieve the pain."
"SCP26","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP27","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP28","Error Dector","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP29","Fault Logger","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP30","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP31","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP32","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"SCP33","Commands","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP34","Parameters","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP35","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP36","Pump fault manager","The patient should not receive so much drug that makes him unaware"
"SCP37","Security Status","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP38","Alarms","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP39","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP40","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP41","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP42","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP43","Downstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP44","Drug Reservoir","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP45","Patient Button","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP46","Safety","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP47","Failture LED","Patient''s health information should be available to those caring for the patient, and only those."
"SCP48","Alarm Thread","Performs primary pump operation"
"SCP49","Pump fault manager","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP50","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP51","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP52","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP53","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"SCP54","Operation Process","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP55","Operation Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP56","Drug Libary Thread","The patient should receive enough drug to relieve the pain."
"SCP57","Event Logger Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP58","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP59","Security Subsystem","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP60","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP61","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP62","Error Dector","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP63","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"SCP64","Upstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP65","Downstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP66","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"SCP67","Commands","The patient should not receive so much drug that makes him unaware"
"SCP68","Parameters","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP69","Alarm Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP70","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP71","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP72","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP73","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"SCP74","Control Panel","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP75","Operation Process","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP76","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP77","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP78","Drug Reservoir","Patient''s health information should be available to those caring for the patient, and only those."
"SCP79","Patient Button","Performs primary pump operation"
"SCP80","Safety","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP81","Failture LED","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP82","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP83","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP84","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"SCP85","Alarms","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP86","Power Control","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP87","Control Panel","The patient should receive enough drug to relieve the pain."
"SCP88","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP89","Operation Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP90","Drug Libary Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP91","Event Logger Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP92","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP93","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP94","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"SCP95","Pump","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP96","Error Dector","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP97","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"SCP98","Upstream Monitor","The patient should not receive so much drug that makes him unaware"
"SCP99","Downstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP100","ICE Bus Adapter","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP101","Commands","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP102","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP103","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP104","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP105","Security Status","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP106","Alarms","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP107","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP108","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP109","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"SCP110","Upstream Monitor","Performs primary pump operation"
"SCP111","Downstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP112","Drug Reservoir","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP113","Patient Button","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP114","Safety","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP115","Failture LED","Patient''s health information should be available to those caring for the patient, and only those."
"SCP116","Alarm Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP117","Pump fault manager","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP118","Security Status","The patient should receive enough drug to relieve the pain."
"SCP119","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP120","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP121","Control Panel","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP122","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP123","Operation Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP124","Drug Libary Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP125","Event Logger Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP126","Scanner","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP127","Security Subsystem","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP128","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"SCP129","Pump","The patient should not receive so much drug that makes him unaware"
"SCP130","Error Dector","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP131","Fault Logger","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP132","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP133","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP134","ICE Bus Adapter","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP135","Commands","Patient''s health information should be available to those caring for the patient, and only those."
"SCP136","Parameters","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP137","Alarm Thread","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP138","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP139","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP140","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"SCP141","Power Control","Performs primary pump operation"
"SCP142","Control Panel","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP143","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP144","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP145","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP146","Drug Reservoir","Patient''s health information should be available to those caring for the patient, and only those."
"SCP147","Patient Button","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP148","Safety","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP149","Failture LED","The patient should receive enough drug to relieve the pain."
"SCP150","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP151","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP152","Security Status","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP153","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP154","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP155","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP156","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"SCP157","Operation Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP158","Drug Libary Thread","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP159","Event Logger Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP160","Scanner","The patient should not receive so much drug that makes him unaware"
"SCP161","Security Subsystem","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP162","Security Subsystem","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP163","Pump","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP164","Error Dector","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP165","Fault Logger","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP166","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP167","Downstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP168","ICE Bus Adapter","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP169","Commands","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
