"SUBCOMPONENTID","CLASSNAME"
"SCP2","PCA88"
"SCP2","PCA3948"
"SCP2","PCA9306"
"SCP6","PCA1560"
"SCP6","PCA5370"
"SCP6","PCA2299"
"SCP7","PCA41"
"SCP10","PCA1590"
"SCP10","PCA5700"
"SCP10","PCA5451"
"SCP12","PCA20"
"SCP13","PCA51"
"SCP14","PCA9510"
"SCP14","PCA4683"
"SCP14","PCA7908"
"SCP18","PCA11"
"SCP20","PCA6"
"SCP28","PCA66"
"SCP28","PCA5989"
"SCP28","PCA1672"
"SCP36","PCA5985"
"SCP36","PCA9250"
"SCP36","PCA9675"
"SCP39","PCA9613"
"SCP39","PCA4970"
"SCP39","PCA1665"
"SCP41","PCA52"
"SCP43","PCA28"
"SCP44","PCA7568"
"SCP44","PCA7303"
"SCP44","PCA9468"
"SCP45","PCA1720"
"SCP45","PCA9590"
"SCP45","PCA3242"
"SCP46","PCA1238"
"SCP46","PCA4864"
"SCP46","PCA9075"
"SCP47","PCA60"
"SCP49","PCA7003"
"SCP49","PCA6041"
"SCP49","PCA7431"
"SCP50","PCA6936"
"SCP50","PCA3568"
"SCP50","PCA4058"
"SCP52","PCA56"
"SCP56","PCA43"
"SCP59","PCA9377"
"SCP59","PCA8628"
"SCP59","PCA9063"
"SCP60","PCA31"
"SCP61","PCA41"
"SCP62","PCA54"
"SCP64","PCA54"
"SCP65","PCA10"
"SCP67","PCA427"
"SCP67","PCA3153"
"SCP67","PCA1150"
"SCP68","PCA51"
"SCP69","PCA67"
"SCP70","PCA43"
"SCP72","PCA30"
"SCP77","PCA15"
"SCP80","PCA69"
"SCP82","PCA7089"
"SCP82","PCA8081"
"SCP82","PCA5184"
"SCP83","PCA14"
"SCP84","PCA567"
"SCP84","PCA7280"
"SCP84","PCA832"
"SCP85","PCA3921"
"SCP85","PCA5544"
"SCP85","PCA3137"
"SCP87","PCA6"
"SCP88","PCA3991"
"SCP88","PCA1009"
"SCP88","PCA1287"
"SCP89","PCA2077"
"SCP89","PCA4012"
"SCP89","PCA4312"
"SCP90","PCA7438"
"SCP90","PCA7948"
"SCP90","PCA2125"
"SCP91","PCA3027"
"SCP91","PCA7425"
"SCP91","PCA9123"
"SCP97","PCA24"
"SCP98","PCA56"
"SCP99","PCA4"
"SCP100","PCA9122"
"SCP100","PCA5026"
"SCP100","PCA8656"
"SCP102","PCA54"
"SCP104","PCA66"
"SCP106","PCA7"
"SCP111","PCA9"
"SCP113","PCA736"
"SCP113","PCA927"
"SCP113","PCA9071"
"SCP117","PCA5512"
"SCP117","PCA8971"
"SCP117","PCA7536"
"SCP118","PCA6269"
"SCP118","PCA2443"
"SCP118","PCA4362"
"SCP119","PCA37"
"SCP121","PCA11"
"SCP126","PCA62"
"SCP131","PCA60"
"SCP132","PCA9560"
"SCP132","PCA4159"
"SCP132","PCA383"
"SCP133","PCA3587"
"SCP133","PCA2734"
"SCP133","PCA334"
"SCP134","PCA1"
"SCP137","PCA3729"
"SCP137","PCA3791"
"SCP137","PCA2748"
"SCP140","PCA44"
"SCP141","PCA37"
"SCP142","PCA69"
"SCP148","PCA1851"
"SCP148","PCA8612"
"SCP148","PCA2072"
"SCP150","PCA58"
"SCP151","PCA57"
"SCP152","PCA18"
"SCP158","PCA5523"
"SCP158","PCA9324"
"SCP158","PCA5922"
"SCP159","PCA7494"
"SCP159","PCA9080"
"SCP159","PCA5938"
"SCP160","PCA373"
"SCP160","PCA9798"
"SCP160","PCA494"
"SCP162","PCA2645"
"SCP162","PCA7180"
"SCP162","PCA8658"
"SCP164","PCA7647"
"SCP164","PCA4004"
"SCP164","PCA9520"
"SCP167","PCA12"
"SCP168","PCA42"
"SCP169","PCA22"
"SCP171","PCA54"
"SCP176","PCA1356"
"SCP176","PCA964"
"SCP176","PCA7266"
"SCP183","PCA1343"
"SCP183","PCA3235"
"SCP183","PCA2910"
"SCP191","PCA56"
"SCP192","PCA6322"
"SCP192","PCA3872"
"SCP192","PCA3126"
"SCP193","PCA18"
"SCP196","PCA64"
"SCP197","PCA2148"
"SCP197","PCA2655"
"SCP197","PCA5594"
"SCP198","PCA41"
"SCP199","PCA5654"
"SCP199","PCA8798"
"SCP199","PCA949"
"SCP200","PCA54"
"SCP201","PCA63"
"SCP202","PCA63"
"SCP205","PCA4651"
"SCP205","PCA1188"
"SCP205","PCA8867"
"SCP206","PCA1250"
"SCP206","PCA8053"
"SCP206","PCA6121"
"SCP209","PCA3061"
"SCP209","PCA6997"
"SCP209","PCA6930"
"SCP210","PCA52"
"SCP213","PCA5286"
"SCP213","PCA5864"
"SCP213","PCA7215"
"SCP215","PCA68"
"SCP217","PCA13"
"SCP218","PCA16"
"SCP219","PCA38"
"SCP220","PCA3062"
"SCP220","PCA186"
"SCP220","PCA1882"
"SCP221","PCA3627"
"SCP221","PCA511"
"SCP221","PCA4846"
"SCP226","PCA30"
"SCP229","PCA1"
"SCP231","PCA7025"
"SCP231","PCA591"
"SCP231","PCA2232"
"SCP237","PCA7516"
"SCP237","PCA4164"
"SCP237","PCA4900"
"SCP240","PCA5410"
"SCP240","PCA9765"
"SCP240","PCA6084"
"SCP245","PCA46"
"SCP247","PCA4592"
"SCP247","PCA9724"
"SCP247","PCA9435"
"SCP248","PCA31"
"SCP252","PCA9746"
"SCP252","PCA2699"
"SCP252","PCA3377"
"SCP253","PCA4"
"SCP256","PCA311"
"SCP256","PCA9917"
"SCP256","PCA929"
"SCP257","PCA19"
"SCP260","PCA16"
"SCP267","PCA53"
"SCP274","PCA710"
"SCP274","PCA4065"
"SCP274","PCA5859"
"SCP278","PCA4957"
"SCP278","PCA1712"
"SCP278","PCA4820"
"SCP280","PCA1293"
"SCP280","PCA8858"
"SCP280","PCA7604"
"SCP283","PCA11"
"SCP284","PCA52"
"SCP292","PCA69"
"SCP296","PCA9"
"SCP299","PCA7740"
"SCP299","PCA4367"
"SCP299","PCA2023"
"SCP300","PCA58"
"SCP302","PCA52"
"SCP306","PCA948"
"SCP306","PCA1303"
"SCP306","PCA918"
"SCP307","PCA3608"
"SCP307","PCA1661"
"SCP307","PCA6137"
"SCP308","PCA55"
"SCP309","PCA816"
"SCP309","PCA6616"
"SCP309","PCA6273"
"SCP310","PCA56"
"SCP312","PCA994"
"SCP312","PCA6969"
"SCP312","PCA6399"
"SCP314","PCA6787"
"SCP314","PCA6338"
"SCP314","PCA4567"
"SCP316","PCA3215"
"SCP316","PCA8372"
"SCP316","PCA701"
"SCP317","PCA42"
"SCP319","PCA3924"
"SCP319","PCA9817"
"SCP319","PCA2269"
"SCP320","PCA54"
"SCP322","PCA4461"
"SCP322","PCA4864"
"SCP322","PCA373"
"SCP328","PCA55"
"SCP329","PCA8249"
"SCP329","PCA5901"
"SCP329","PCA7370"
"SCP332","PCA67"
