"SUBCOMPONENTID","EXCEPTIONCASEID"
"SCP439","EC7682"
"SCP689","EC7682"
"SCP938","EC7682"
"SCP1518","EC7682"
"SCP1550","EC7682"
"SCP2007","EC7682"
"SCP3049","EC7682"
"SCP4155","EC7682"
"SCP4337","EC7682"
"SCP439","EC5211"
"SCP689","EC5211"
"SCP938","EC5211"
"SCP1518","EC5211"
"SCP1550","EC5211"
"SCP2007","EC5211"
"SCP3049","EC5211"
"SCP4155","EC5211"
"SCP4337","EC5211"
"SCP439","EC5308"
"SCP689","EC5308"
"SCP938","EC5308"
"SCP1518","EC5308"
"SCP1550","EC5308"
"SCP2007","EC5308"
"SCP3049","EC5308"
"SCP4155","EC5308"
"SCP4337","EC5308"
"SCP3460","EC5258"
"SCP3460","EC2093"
"SCP3460","EC6373"
"SCP133","EC5"
"SCP2394","EC26"
"SCP2508","EC26"
"SCP60","EC6496"
"SCP248","EC6496"
"SCP543","EC6496"
"SCP755","EC6496"
"SCP790","EC6496"
"SCP825","EC6496"
"SCP924","EC6496"
"SCP987","EC6496"
"SCP1033","EC6496"
"SCP1348","EC6496"
"SCP2146","EC6496"
"SCP2546","EC6496"
"SCP2644","EC6496"
"SCP3455","EC6496"
"SCP3696","EC6496"
"SCP3771","EC6496"
"SCP3863","EC6496"
"SCP3930","EC6496"
"SCP3994","EC6496"
"SCP4058","EC6496"
"SCP4070","EC6496"
"SCP4286","EC6496"
"SCP4489","EC6496"
"SCP5044","EC6496"
"SCP60","EC8966"
"SCP248","EC8966"
"SCP543","EC8966"
"SCP755","EC8966"
"SCP790","EC8966"
"SCP825","EC8966"
"SCP924","EC8966"
"SCP987","EC8966"
"SCP1033","EC8966"
"SCP1348","EC8966"
"SCP2146","EC8966"
"SCP2546","EC8966"
"SCP2644","EC8966"
"SCP3455","EC8966"
"SCP3696","EC8966"
"SCP3771","EC8966"
"SCP3863","EC8966"
"SCP3930","EC8966"
"SCP3994","EC8966"
"SCP4058","EC8966"
"SCP4070","EC8966"
"SCP4286","EC8966"
"SCP4489","EC8966"
"SCP5044","EC8966"
"SCP60","EC6021"
"SCP248","EC6021"
"SCP543","EC6021"
"SCP755","EC6021"
"SCP790","EC6021"
"SCP825","EC6021"
"SCP924","EC6021"
"SCP987","EC6021"
"SCP1033","EC6021"
"SCP1348","EC6021"
"SCP2146","EC6021"
"SCP2546","EC6021"
"SCP2644","EC6021"
"SCP3455","EC6021"
"SCP3696","EC6021"
"SCP3771","EC6021"
"SCP3863","EC6021"
"SCP3930","EC6021"
"SCP3994","EC6021"
"SCP4058","EC6021"
"SCP4070","EC6021"
"SCP4286","EC6021"
"SCP4489","EC6021"
"SCP5044","EC6021"
"SCP215","EC5855"
"SCP361","EC5855"
"SCP759","EC5855"
"SCP2122","EC5855"
"SCP3521","EC5855"
"SCP3676","EC5855"
"SCP4245","EC5855"
"SCP4984","EC5855"
"SCP215","EC7089"
"SCP361","EC7089"
"SCP759","EC7089"
"SCP2122","EC7089"
"SCP3521","EC7089"
"SCP3676","EC7089"
"SCP4245","EC7089"
"SCP4984","EC7089"
"SCP215","EC9332"
"SCP361","EC9332"
"SCP759","EC9332"
"SCP2122","EC9332"
"SCP3521","EC9332"
"SCP3676","EC9332"
"SCP4245","EC9332"
"SCP4984","EC9332"
"SCP4915","EC8274"
"SCP5001","EC8274"
"SCP4915","EC5824"
"SCP5001","EC5824"
"SCP4915","EC8734"
"SCP5001","EC8734"
"SCP401","EC68"
"SCP875","EC68"
"SCP1079","EC68"
"SCP1873","EC68"
"SCP2143","EC68"
"SCP2245","EC68"
"SCP2590","EC68"
"SCP2759","EC68"
"SCP3400","EC68"
"SCP3952","EC68"
"SCP3998","EC68"
"SCP4092","EC68"
"SCP4259","EC68"
"SCP4554","EC68"
"SCP4584","EC68"
"SCP4892","EC68"
"SCP782","EC468"
"SCP834","EC468"
"SCP1255","EC468"
"SCP1553","EC468"
"SCP1919","EC468"
"SCP2031","EC468"
"SCP2726","EC468"
"SCP2760","EC468"
"SCP4071","EC468"
"SCP4354","EC468"
"SCP4363","EC468"
"SCP4605","EC468"
"SCP4677","EC468"
"SCP4688","EC468"
"SCP4827","EC468"
"SCP782","EC4714"
"SCP834","EC4714"
"SCP1255","EC4714"
"SCP1553","EC4714"
"SCP1919","EC4714"
"SCP2031","EC4714"
"SCP2726","EC4714"
"SCP2760","EC4714"
"SCP4071","EC4714"
"SCP4354","EC4714"
"SCP4363","EC4714"
"SCP4605","EC4714"
"SCP4677","EC4714"
"SCP4688","EC4714"
"SCP4827","EC4714"
"SCP782","EC8300"
"SCP834","EC8300"
"SCP1255","EC8300"
"SCP1553","EC8300"
"SCP1919","EC8300"
"SCP2031","EC8300"
"SCP2726","EC8300"
"SCP2760","EC8300"
"SCP4071","EC8300"
"SCP4354","EC8300"
"SCP4363","EC8300"
"SCP4605","EC8300"
"SCP4677","EC8300"
"SCP4688","EC8300"
"SCP4827","EC8300"
"SCP1264","EC58"
"SCP4704","EC58"
"SCP373","EC61"
"SCP642","EC61"
"SCP2074","EC61"
"SCP2306","EC61"
"SCP3138","EC61"
"SCP3169","EC61"
"SCP3235","EC61"
"SCP3314","EC61"
"SCP3438","EC61"
"SCP3466","EC61"
"SCP4029","EC61"
"SCP4107","EC61"
"SCP4737","EC61"
"SCP150","EC60"
"SCP300","EC60"
"SCP456","EC60"
"SCP628","EC60"
"SCP849","EC60"
"SCP1402","EC60"
"SCP1595","EC60"
"SCP1623","EC60"
"SCP1657","EC60"
"SCP2364","EC60"
"SCP2501","EC60"
"SCP2537","EC60"
"SCP2545","EC60"
"SCP2640","EC60"
"SCP2713","EC60"
"SCP2778","EC60"
"SCP3133","EC60"
"SCP3261","EC60"
"SCP3468","EC60"
"SCP4114","EC60"
"SCP4379","EC60"
"SCP4494","EC60"
"SCP4802","EC60"
"SCP4847","EC60"
"SCP5069","EC60"
"SCP5084","EC60"
"SCP2058","EC7"
"SCP308","EC755"
"SCP328","EC755"
"SCP475","EC755"
"SCP803","EC755"
"SCP979","EC755"
"SCP1620","EC755"
"SCP2215","EC755"
"SCP3035","EC755"
"SCP3077","EC755"
"SCP3599","EC755"
"SCP3866","EC755"
"SCP4704","EC755"
"SCP5063","EC755"
"SCP308","EC4728"
"SCP328","EC4728"
"SCP475","EC4728"
"SCP803","EC4728"
"SCP979","EC4728"
"SCP1620","EC4728"
"SCP2215","EC4728"
"SCP3035","EC4728"
"SCP3077","EC4728"
"SCP3599","EC4728"
"SCP3866","EC4728"
"SCP4704","EC4728"
"SCP5063","EC4728"
"SCP308","EC5992"
"SCP328","EC5992"
"SCP475","EC5992"
"SCP803","EC5992"
"SCP979","EC5992"
"SCP1620","EC5992"
"SCP2215","EC5992"
"SCP3035","EC5992"
"SCP3077","EC5992"
"SCP3599","EC5992"
"SCP3866","EC5992"
"SCP4704","EC5992"
"SCP5063","EC5992"
"SCP1998","EC37"
"SCP4753","EC37"
"SCP595","EC59"
"SCP968","EC59"
"SCP1161","EC59"
"SCP1240","EC59"
"SCP2104","EC59"
"SCP3387","EC59"
"SCP151","EC4278"
"SCP844","EC4278"
"SCP1891","EC4278"
"SCP2257","EC4278"
"SCP2973","EC4278"
"SCP3008","EC4278"
"SCP3464","EC4278"
"SCP4524","EC4278"
"SCP4778","EC4278"
"SCP151","EC7284"
"SCP844","EC7284"
"SCP1891","EC7284"
"SCP2257","EC7284"
"SCP2973","EC7284"
"SCP3008","EC7284"
"SCP3464","EC7284"
"SCP4524","EC7284"
"SCP4778","EC7284"
"SCP151","EC6940"
"SCP844","EC6940"
"SCP1891","EC6940"
"SCP2257","EC6940"
"SCP2973","EC6940"
"SCP3008","EC6940"
"SCP3464","EC6940"
"SCP4524","EC6940"
"SCP4778","EC6940"
"SCP587","EC54"
"SCP701","EC54"
"SCP786","EC54"
"SCP920","EC54"
"SCP1038","EC54"
"SCP1188","EC54"
"SCP1706","EC54"
"SCP2460","EC54"
"SCP3092","EC54"
"SCP3218","EC54"
"SCP3501","EC54"
"SCP3623","EC54"
"SCP3748","EC54"
"SCP4387","EC54"
"SCP4617","EC54"
"SCP5014","EC54"
"SCP72","EC4817"
"SCP226","EC4817"
"SCP481","EC4817"
