"USECASESTEPID","EXCEPTIONCASEID"
"UseCaseStep2","EC15"
"UseCaseStep3","EC3551"
"UseCaseStep3","EC8474"
"UseCaseStep3","EC2359"
"UseCaseStep4","EC7682"
"UseCaseStep4","EC5211"
"UseCaseStep4","EC5308"
"UseCaseStep5","EC47"
"UseCaseStep6","EC5258"
"UseCaseStep6","EC2093"
"UseCaseStep6","EC6373"
"UseCaseStep8","EC24"
"UseCaseStep12","EC8950"
"UseCaseStep12","EC2127"
"UseCaseStep12","EC3607"
"UseCaseStep15","EC5"
"UseCaseStep19","EC3252"
"UseCaseStep19","EC8123"
"UseCaseStep19","EC6195"
"UseCaseStep21","EC4897"
"UseCaseStep21","EC691"
"UseCaseStep21","EC3263"
"UseCaseStep22","EC26"
"UseCaseStep23","EC47"
"UseCaseStep29","EC33"
"UseCaseStep31","EC42"
"UseCaseStep32","EC7686"
"UseCaseStep32","EC8784"
"UseCaseStep32","EC1300"
"UseCaseStep34","EC6496"
"UseCaseStep34","EC8966"
"UseCaseStep34","EC6021"
"UseCaseStep36","EC5855"
"UseCaseStep36","EC7089"
"UseCaseStep36","EC9332"
"UseCaseStep37","EC8274"
"UseCaseStep37","EC5824"
"UseCaseStep37","EC8734"
"UseCaseStep41","EC68"
"UseCaseStep43","EC2739"
"UseCaseStep43","EC9778"
"UseCaseStep43","EC5957"
"UseCaseStep44","EC468"
"UseCaseStep44","EC4714"
"UseCaseStep44","EC8300"
"UseCaseStep45","EC58"
"UseCaseStep46","EC9269"
"UseCaseStep46","EC3082"
"UseCaseStep46","EC9837"
"UseCaseStep47","EC35"
"UseCaseStep50","EC36"
"UseCaseStep52","EC61"
"UseCaseStep59","EC60"
"UseCaseStep60","EC45"
"UseCaseStep62","EC7"
"UseCaseStep63","EC755"
"UseCaseStep63","EC4728"
"UseCaseStep63","EC5992"
"UseCaseStep64","EC4225"
"UseCaseStep64","EC5899"
"UseCaseStep64","EC9708"
"UseCaseStep67","EC37"
"UseCaseStep69","EC59"
"UseCaseStep71","EC6812"
"UseCaseStep71","EC5149"
"UseCaseStep71","EC4760"
"UseCaseStep75","EC3834"
"UseCaseStep75","EC157"
"UseCaseStep75","EC6181"
"UseCaseStep76","EC2377"
"UseCaseStep76","EC3109"
"UseCaseStep76","EC145"
"UseCaseStep78","EC9580"
"UseCaseStep78","EC3362"
"UseCaseStep78","EC6074"
"UseCaseStep84","EC55"
"UseCaseStep87","EC24"
"UseCaseStep88","EC1969"
"UseCaseStep88","EC1724"
"UseCaseStep88","EC8374"
"UseCaseStep90","EC4278"
"UseCaseStep90","EC7284"
"UseCaseStep90","EC6940"
"UseCaseStep97","EC1347"
"UseCaseStep97","EC6711"
"UseCaseStep97","EC5576"
"UseCaseStep98","EC873"
"UseCaseStep98","EC5303"
"UseCaseStep98","EC4867"
"UseCaseStep100","EC3992"
"UseCaseStep100","EC2256"
"UseCaseStep100","EC7339"
"UseCaseStep102","EC1468"
"UseCaseStep102","EC3347"
"UseCaseStep102","EC3065"
"UseCaseStep103","EC33"
"UseCaseStep105","EC47"
"UseCaseStep106","EC54"
"UseCaseStep115","EC54"
"UseCaseStep116","EC33"
"UseCaseStep118","EC9"
"UseCaseStep122","EC20"
"UseCaseStep124","EC34"
