"GOALID","USECASEID","USECASEID","USECASESTEPID"
"G56","UC6","UC6","UseCaseStep3570"
"G56","UC6","UC6","UseCaseStep4330"
"G56","UC6","UC6","UseCaseStep7803"
"G56","UC6","UC6","UseCaseStep10471"
"G56","UC6","UC6","UseCaseStep13480"
"G56","UC6","UC6","UseCaseStep16399"
"G56","UC6","UC6","UseCaseStep19991"
"G69","UC7","UC7","UseCaseStep19596"
"G35","UC12","UC12","UseCaseStep13893"
"G35","UC12","UC12","UseCaseStep13976"
"G68","UC17","UC17","UseCaseStep238"
"G68","UC17","UC17","UseCaseStep1835"
"G68","UC17","UC17","UseCaseStep13741"
"G68","UC17","UC17","UseCaseStep17450"
"G21","UC17","UC17","UseCaseStep238"
"G21","UC17","UC17","UseCaseStep1835"
"G21","UC17","UC17","UseCaseStep13741"
"G21","UC17","UC17","UseCaseStep17450"
"G66","UC17","UC17","UseCaseStep238"
"G66","UC17","UC17","UseCaseStep1835"
"G66","UC17","UC17","UseCaseStep13741"
"G66","UC17","UC17","UseCaseStep17450"
"G33","UC20","UC20","UseCaseStep15049"
"G52","UC20","UC20","UseCaseStep15049"
"G53","UC20","UC20","UseCaseStep15049"
"G44","UC22","UC22","UseCaseStep15057"
"G44","UC22","UC22","UseCaseStep17698"
"G25","UC22","UC22","UseCaseStep15057"
"G25","UC22","UC22","UseCaseStep17698"
"G41","UC22","UC22","UseCaseStep15057"
"G41","UC22","UC22","UseCaseStep17698"
"G67","UC28","UC28","UseCaseStep7849"
"G67","UC28","UC28","UseCaseStep19269"
"G36","UC28","UC28","UseCaseStep7849"
"G36","UC28","UC28","UseCaseStep19269"
"G57","UC28","UC28","UseCaseStep7849"
"G57","UC28","UC28","UseCaseStep19269"
"G30","UC30","UC30","UseCaseStep1879"
"G30","UC30","UC30","UseCaseStep10843"
"G30","UC30","UC30","UseCaseStep10974"
"G30","UC30","UC30","UseCaseStep11743"
"G14","UC30","UC30","UseCaseStep1879"
"G14","UC30","UC30","UseCaseStep10843"
"G14","UC30","UC30","UseCaseStep10974"
"G14","UC30","UC30","UseCaseStep11743"
